% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              tce_outflow_concentration0.1 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.1                      0                        1.1383345011908163E-14
0.1                      1                        2.2121692380860845E-11
0.1                      2                        -2.3215151431856233E-10
0.1                      3                        1.4844408676353804E-9
0.1                      4                        1.039059795605187E-8
0.1                      5                        2.6815041099558435E-8
0.1                      6                        4.705441923325495E-8
0.1                      7                        6.779070761157281E-8
0.1                      8                        8.698718256736991E-8
0.1                      9                        1.0401975543189625E-7
0.1                      10                       1.1906959301496824E-7
0.1                      11                       1.3235442662450885E-7
0.1                      12                       1.4410260863887075E-7
0.1                      13                       1.5458102957893895E-7
0.1                      14                       1.6404412397887895E-7
0.1                      15                       1.7269890108154642E-7
0.1                      16                       1.8070364987918502E-7
0.1                      17                       1.8819051357179888E-7
0.1                      18                       1.952621521354836E-7
0.1                      19                       2.0200048146942373E-7
0.1                      20                       2.0846284401022959E-7
0.1                      21                       2.1468574192333644E-7
0.1                      22                       2.2069317500650919E-7
0.1                      23                       2.2650412086812985E-7
0.1                      24                       2.3213630839557303E-7
0.1                      25                       2.3762856867318598E-7
0.1                      26                       2.429808016802945E-7
0.1                      27                       2.4818010322060803E-7
0.1                      28                       2.5323321198399135E-7
0.1                      29                       2.581424978479839E-7
0.1                      30                       2.6293723294554236E-7
0.1                      31                       2.676253100251557E-7
0.1                      32                       2.7223775333826235E-7
0.1                      33                       2.768003809659561E-7
0.1                      34                       2.8132420875144877E-7
0.1                      35                       2.858378983734879E-7
0.1                      36                       2.9034386614548017E-7
0.1                      37                       2.948514393928087E-7
0.1                      38                       2.993591714111088E-7
0.1                      39                       3.0386128160516365E-7
0.1                      40                       3.083474065657516E-7
0.1                      41                       3.1279841764065885E-7
0.1                      42                       3.1720541198672615E-7
0.1                      43                       3.2153821873103094E-7
0.1                      44                       3.2578249947188953E-7
0.1                      45                       3.299196114002417E-7
0.1                      46                       3.3391294555481494E-7
0.1                      47                       3.3775937664298466E-7
0.1                      48                       3.414324913000566E-7
0.1                      49                       3.4491772753404475E-7
0.1                      50                       3.4821014876741537E-7
0.1                      51                       3.51299353408167E-7
0.1                      52                       3.5418968584002575E-7
0.1                      53                       3.5688194988000347E-7
0.1                      54                       3.593920186103994E-7
0.1                      55                       3.6172586143891555E-7
0.1                      56                       3.6390176374232396E-7
0.1                      57                       3.6592790290835433E-7
0.1                      58                       3.678282708010017E-7
0.1                      59                       3.696302027651196E-7
0.1                      60                       3.71354786541025E-7
0.1                      61                       3.730225611064006E-7
0.1                      62                       3.7465832561857064E-7
0.1                      63                       3.762881620298207E-7
0.1                      64                       3.7792152037099365E-7
0.1                      65                       3.7955163595672904E-7
0.1                      66                       3.811697640680358E-7
0.1                      67                       3.827737786504761E-7
0.1                      68                       3.842928603212019E-7
0.1                      69                       3.8583843384902607E-7
0.1                      70                       3.8744213728310176E-7
0.1                      71                       3.889121523888779E-7
0.1                      72                       3.905897995603303E-7
0.1                      73                       3.922738199715509E-7
0.1                      74                       3.9394406379605704E-7
0.1                      75                       3.9551360545427984E-7
0.1                      76                       3.970730261505076E-7
0.1                      77                       3.9863089511546137E-7
0.1                      78                       4.001756851956675E-7
0.1                      79                       4.0169857131601376E-7
0.1                      80                       4.0320565668732863E-7
0.1                      81                       4.047396356358129E-7
0.1                      82                       4.062361169996639E-7
0.1                      83                       4.0768220487552376E-7
0.1                      84                       4.0909893114738274E-7
0.1                      85                       4.10494078733572E-7
0.1                      86                       4.1186340442774046E-7
0.1                      87                       4.13200187779526E-7
0.1                      88                       4.145015035173848E-7
0.1                      89                       4.1576717117827643E-7
0.1                      90                       4.169935679201525E-7
0.1                      91                       4.1817197664107245E-7
0.1                      92                       4.192914788561052E-7
0.1                      93                       4.203407087576243E-7
0.1                      94                       4.2131050981328255E-7
0.1                      95                       4.221926274587334E-7
0.1                      96                       4.229824800877134E-7
0.1                      97                       4.236768080120539E-7
0.1                      98                       4.2425241207389814E-7
0.1                      99                       4.247028971097754E-7
0.1                      100                      4.250262510674582E-7
0.1                      101                      4.2522194841591183E-7
0.1                      102                      4.252914308719414E-7
0.1                      103                      4.2523776979033364E-7
0.1                      104                      4.250652212778168E-7
0.1                      105                      4.247779594994729E-7
0.1                      106                      4.2438083835572913E-7
0.1                      107                      4.2387816926714544E-7
0.1                      108                      4.2327302687070537E-7
0.1                      109                      4.2256886631065486E-7
0.1                      110                      4.217664630508107E-7
0.1                      111                      4.208659598401485E-7
0.1                      112                      4.198685159604382E-7
0.1                      113                      4.187735007402289E-7
0.1                      114                      4.175915798820582E-7
0.1                      115                      4.163214442836714E-7
0.1                      116                      4.14967580303265E-7
0.1                      117                      4.1354687985330004E-7
0.1                      118                      4.120504400931701E-7
0.1                      119                      4.105017960650372E-7
0.1                      120                      4.0889983407890625E-7
0.1                      121                      4.072467660399928E-7
0.1                      122                      4.055646898879962E-7
0.1                      123                      4.0384228991616856E-7
0.1                      124                      4.020956589818603E-7
0.1                      125                      4.0032535716230933E-7
0.1                      126                      3.9853144906629353E-7
0.1                      127                      3.9672903190968407E-7
0.1                      128                      3.949105768590766E-7
0.1                      129                      3.9307608391447117E-7
0.1                      130                      3.912255530758676E-7
0.1                      131                      3.8936114784637016E-7
0.1                      132                      3.874916015770487E-7
0.1                      133                      3.8561007238177264E-7
0.1                      134                      3.8371656026054184E-7
0.1                      135                      3.818110652133567E-7
0.1                      136                      3.79896875180301E-7
0.1                      137                      3.779911701050655E-7
0.1                      138                      3.7608093697576927E-7
0.1                      139                      3.7416617579241236E-7
0.1                      140                      3.7224688655499456E-7
0.1                      141                      3.703260530484137E-7
0.1                      142                      3.6842460393005365E-7
0.1                      143                      3.6652715872572565E-7
0.1                      144                      3.646337174354298E-7
0.1                      145                      3.627442800591662E-7
0.1                      146                      3.6086057460366427E-7
0.1                      147                      3.589999041816956E-7
0.1                      148                      3.571498950921327E-7
0.1                      149                      3.553105473349757E-7
0.1                      150                      3.5348186091022477E-7
0.1                      151                      3.516643769550981E-7
0.1                      152                      3.49866796953601E-7
0.1                      153                      3.480830507266161E-7
0.1                      154                      3.463131382741433E-7
0.1                      155                      3.445570595961828E-7
0.1                      156                      3.428148685290568E-7
0.1                      157                      3.4108844135915473E-7
0.1                      158                      3.3937649849077726E-7
0.1                      159                      3.3767903992392453E-7
0.1                      160                      3.359960656585965E-7
0.1                      161                      3.343275756947932E-7
0.1                      162                      3.3267298782934013E-7
0.1                      163                      3.3103269019826726E-7
0.1                      164                      3.2940668355316595E-7
0.1                      165                      3.2779496789403636E-7
0.1                      166                      3.261975432208785E-7
0.1                      167                      3.2461308384944467E-7
0.1                      168                      3.2304241610058293E-7
0.1                      169                      3.214855809384101E-7
0.1                      170                      3.1994257836292606E-7
0.1                      171                      3.184134083741308E-7
0.1                      172                      3.168980709720243E-7
0.1                      173                      3.1539656615660656E-7
0.1                      174                      3.139088939278777E-7
0.1                      175                      3.1243505428583764E-7
0.1                      176                      3.109750472304865E-7
0.1                      177                      3.0952800080766835E-7
0.1                      178                      3.080945172653181E-7
0.1                      179                      3.0667468875838914E-7
0.1                      180                      3.052685152868814E-7
0.1                      181                      3.0387599685079475E-7
0.1                      182                      3.024971334501295E-7
0.1                      183                      3.0113192508488545E-7
0.1                      184                      2.997803717550625E-7
0.1                      185                      2.984424734606608E-7
0.1                      186                      2.971182302016806E-7
0.1                      187                      2.9580779715467807E-7
0.1                      188                      2.9451108296879067E-7
0.1                      189                      2.9322805824392805E-7
0.1                      190                      2.9195872298009055E-7
0.1                      191                      2.9070307717727814E-7
0.1                      192                      2.894611208354907E-7
0.1                      193                      2.8823285395472806E-7
0.1                      194                      2.8701827653499075E-7
0.1                      195                      2.8581738857627834E-7
0.1                      196                      2.8463019007859103E-7
0.1                      197                      2.8345448745493746E-7
0.1                      198                      2.82291308155344E-7
0.1                      199                      2.8114128444990974E-7
0.1                      200                      2.80004416338635E-7
0.1                      201                      2.788807038215196E-7
0.1                      202                      2.777701468985634E-7
0.1                      203                      2.7667274556976646E-7
0.1                      204                      2.75588499835129E-7
0.1                      205                      2.7451740969465074E-7
0.1                      206                      2.734594751483319E-7
0.1                      207                      2.7240379984257993E-7
0.1                      208                      2.713539179364049E-7
0.1                      209                      2.7031425841317137E-7
0.1                      210                      2.6928482127287934E-7
0.1                      211                      2.68265606515529E-7
0.1                      212                      2.6725661414112016E-7
0.1                      213                      2.66257844149653E-7
0.1                      214                      2.652692965411273E-7
0.1                      215                      2.6429097131554335E-7
0.1                      216                      2.633228684729008E-7
0.1                      217                      2.6236498801320007E-7
0.1                      218                      2.6141732993644074E-7
0.1                      219                      2.6047989424262306E-7
0.1                      220                      2.595526809317469E-7
0.1                      221                      2.586356900038123E-7
0.1                      222                      2.5772892145881935E-7
0.1                      223                      2.56832375296768E-7
0.1                      224                      2.5594605151765824E-7
0.1                      225                      2.550699501214901E-7
0.1                      226                      2.5420407110826334E-7
0.1                      227                      2.5333583121896377E-7
0.1                      228                      2.5246596499449266E-7
0.1                      229                      2.5160412445352244E-7
0.1                      230                      2.507503095960533E-7
0.1                      231                      2.499045204220852E-7
0.1                      232                      2.4906675693161816E-7
0.1                      233                      2.4823701912465227E-7
0.1                      234                      2.4741530700118727E-7
0.1                      235                      2.466016205612235E-7
0.1                      236                      2.4579595980476044E-7
0.1                      237                      2.4499832473179877E-7
0.1                      238                      2.442087153423381E-7
0.1                      239                      2.4342713163637815E-7
0.1                      240                      2.426535736139196E-7
0.1                      241                      2.4188804127496203E-7
0.1                      242                      2.411305346195055E-7
0.1                      243                      2.403810536475499E-7
0.1                      244                      2.3963959835909545E-7
0.1                      245                      2.38906168754142E-7
0.1                      246                      2.3818076483268958E-7
0.1                      247                      2.374531610271985E-7
0.1                      248                      2.367175876609738E-7
0.1                      249                      2.3598765307502096E-7
0.1                      250                      2.352633572693398E-7
0.1                      251                      2.3454470024393068E-7
0.1                      252                      2.3383168199879325E-7
0.1                      253                      2.3312430253392762E-7
0.1                      254                      2.3242256184933387E-7
0.1                      255                      2.31726459945012E-7
