% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:13
% Table:              tce_outflow_concentration0.02 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.02                     0                        7.80429376712177E-16
0.02                     1                        -2.763440283507512E-13
0.02                     2                        1.5283840068402587E-12
0.02                     3                        2.3109097154811435E-13
0.02                     4                        -1.3985345942041615E-11
0.02                     5                        -1.8112205984608036E-11
0.02                     6                        2.491825889697618E-11
0.02                     7                        1.5339627844501324E-10
0.02                     8                        3.9268090204237553E-10
0.02                     9                        7.555111898975113E-10
0.02                     10                       1.2417584343836322E-9
0.02                     11                       1.8430698834955286E-9
0.02                     12                       2.550992214254486E-9
0.02                     13                       3.3528173945097008E-9
0.02                     14                       4.2358405336084495E-9
0.02                     15                       5.18720799615496E-9
0.02                     16                       6.195226665687423E-9
0.02                     17                       7.249340709558347E-9
0.02                     18                       8.33983164906633E-9
0.02                     19                       9.458148612064722E-9
0.02                     20                       1.0594456415916544E-8
0.02                     21                       1.174259005627077E-8
0.02                     22                       1.2900322862556128E-8
0.02                     23                       1.4062515094125485E-8
0.02                     24                       1.522915530743187E-8
0.02                     25                       1.6391901145769546E-8
0.02                     26                       1.7553676031188113E-8
0.02                     27                       1.8707264022423673E-8
0.02                     28                       1.985555326143183E-8
0.02                     29                       2.0993533272589492E-8
0.02                     30                       2.2122854562993712E-8
0.02                     31                       2.324127715154214E-8
0.02                     32                       2.434884326878951E-8
0.02                     33                       2.5444997981356074E-8
0.02                     34                       2.6529333795077735E-8
0.02                     35                       2.7601898308659622E-8
0.02                     36                       2.8662360917051177E-8
0.02                     37                       2.97108794860628E-8
0.02                     38                       3.074739450949822E-8
0.02                     39                       3.177196645917916E-8
0.02                     40                       3.278484472923333E-8
0.02                     41                       3.37859282589523E-8
0.02                     42                       3.477632413617535E-8
0.02                     43                       3.5755634313142345E-8
0.02                     44                       3.672385468015892E-8
0.02                     45                       3.768098523722503E-8
0.02                     46                       3.8627870678006264E-8
0.02                     47                       3.9564509115699284E-8
0.02                     48                       4.04905643259643E-8
0.02                     49                       4.140603630880125E-8
0.02                     50                       4.231150578952554E-8
0.02                     51                       4.3208004835373764E-8
0.02                     52                       4.409465079326286E-8
0.02                     53                       4.497144366319288E-8
0.02                     54                       4.5838407248409886E-8
0.02                     55                       4.669760745349319E-8
0.02                     56                       4.754774397658051E-8
0.02                     57                       4.838881681767187E-8
0.02                     58                       4.922082597676724E-8
0.02                     59                       5.0045150412927964E-8
0.02                     60                       5.08617148145686E-8
0.02                     61                       5.1670016206560026E-8
0.02                     62                       5.2470054588902254E-8
0.02                     63                       5.326246762743577E-8
0.02                     64                       5.404826471245663E-8
0.02                     65                       5.48265544322765E-8
0.02                     66                       5.5597336786895295E-8
0.02                     67                       5.636066115752559E-8
0.02                     68                       5.711826923590079E-8
0.02                     69                       5.786905244817893E-8
0.02                     70                       5.8613010794360005E-8
0.02                     71                       5.9350144274444047E-8
0.02                     72                       6.008152980479989E-8
0.02                     73                       6.080705521209506E-8
0.02                     74                       6.152636163398922E-8
0.02                     75                       6.223944907048227E-8
0.02                     76                       6.294679163332301E-8
0.02                     77                       6.36490570540101E-8
0.02                     78                       6.434563455783529E-8
0.02                     79                       6.503652414479854E-8
0.02                     80                       6.572177843536865E-8
0.02                     81                       6.640253571744375E-8
0.02                     82                       6.707806294653685E-8
0.02                     83                       6.774836012264788E-8
0.02                     84                       6.841342724577694E-8
0.02                     85                       6.907398250845776E-8
0.02                     86                       6.972991739186896E-8
0.02                     87                       7.038101403486864E-8
0.02                     88                       7.102727243745681E-8
0.02                     89                       7.166900866978895E-8
0.02                     90                       7.230661802835151E-8
0.02                     91                       7.293972467628051E-8
0.02                     92                       7.356832861357606E-8
0.02                     93                       7.419247525332066E-8
0.02                     94                       7.481286058535863E-8
0.02                     95                       7.54290308664988E-8
0.02                     96                       7.604098609674113E-8
0.02                     97                       7.664872627608554E-8
0.02                     98                       7.725272501389186E-8
0.02                     99                       7.785288965695088E-8
0.02                     100                      7.844908997760242E-8
0.02                     101                      7.904132597584649E-8
0.02                     102                      7.962981683798596E-8
0.02                     103                      8.021480530045306E-8
0.02                     104                      8.079605047726123E-8
0.02                     105                      8.137355236841046E-8
0.02                     106                      8.194737294005581E-8
0.02                     107                      8.251823665785349E-8
0.02                     108                      8.308566509124816E-8
0.02                     109                      8.364965824023981E-8
0.02                     110                      8.421021610482847E-8
0.02                     111                      8.476733868501412E-8
0.02                     112                      8.53210259807967E-8
0.02                     113                      8.587127799217633E-8
0.02                     114                      8.641809471915285E-8
0.02                     115                      8.696175056949667E-8
0.02                     116                      8.750242348179902E-8
0.02                     117                      8.803979916628798E-8
0.02                     118                      8.857387762296347E-8
0.02                     119                      8.910465885182552E-8
0.02                     120                      8.963214285287413E-8
0.02                     121                      9.015632962610928E-8
0.02                     122                      9.0677219171531E-8
0.02                     123                      9.119538586287046E-8
0.02                     124                      9.171073916115572E-8
0.02                     125                      9.222300506610247E-8
0.02                     126                      9.27321835777106E-8
0.02                     127                      9.323827469598014E-8
0.02                     128                      9.37412784209111E-8
0.02                     129                      9.424119475250355E-8
0.02                     130                      9.473802369075734E-8
0.02                     131                      9.52324418101465E-8
0.02                     132                      9.572405142697984E-8
0.02                     133                      9.621275548312863E-8
0.02                     134                      9.669855397859289E-8
0.02                     135                      9.718144691337253E-8
0.02                     136                      9.76614342874677E-8
0.02                     137                      9.813851610087827E-8
0.02                     138                      9.861273282978969E-8
0.02                     139                      9.908464229735427E-8
0.02                     140                      9.955378922803823E-8
0.02                     141                      1.0002017362184163E-7
0.02                     142                      1.0048379547876442E-7
0.02                     143                      1.0094465479880662E-7
0.02                     144                      1.0140275158196821E-7
0.02                     145                      1.018580858282492E-7
0.02                     146                      1.0231075711549767E-7
0.02                     147                      1.0276097326492782E-7
0.02                     148                      1.0320851387933137E-7
0.02                     149                      1.0365337895870824E-7
0.02                     150                      1.0409556850305848E-7
0.02                     151                      1.0453508251238211E-7
0.02                     152                      1.0497192098667911E-7
0.02                     153                      1.0540608392594952E-7
0.02                     154                      1.0583761182357403E-7
0.02                     155                      1.0626652023148607E-7
0.02                     156                      1.0669277284896594E-7
0.02                     157                      1.071163696760134E-7
0.02                     158                      1.0753731071262865E-7
0.02                     159                      1.0795559595881157E-7
0.02                     160                      1.0837122541456228E-7
0.02                     161                      1.0878419907988067E-7
0.02                     162                      1.0919438720067715E-7
0.02                     163                      1.0960182880423231E-7
0.02                     164                      1.1000657139386647E-7
0.02                     165                      1.1040861496957972E-7
0.02                     166                      1.1080795953137191E-7
0.02                     167                      1.1120460507924317E-7
0.02                     168                      1.1159855161319343E-7
0.02                     169                      1.119897991332227E-7
0.02                     170                      1.1237797887013981E-7
0.02                     171                      1.1276333831556142E-7
0.02                     172                      1.1314590650346166E-7
0.02                     173                      1.1352568343384054E-7
0.02                     174                      1.1390266910669812E-7
0.02                     175                      1.1427686352203434E-7
0.02                     176                      1.1464826667984922E-7
0.02                     177                      1.1501681750725354E-7
0.02                     178                      1.1538210088825714E-7
0.02                     179                      1.1574447425639967E-7
0.02                     180                      1.1610393761168106E-7
0.02                     181                      1.1646049095410137E-7
0.02                     182                      1.1681413428366056E-7
0.02                     183                      1.1716486760035862E-7
0.02                     184                      1.1751269090419562E-7
0.02                     185                      1.1785743516138075E-7
0.02                     186                      1.1819886174547635E-7
0.02                     187                      1.1853725654041733E-7
0.02                     188                      1.1887261954620359E-7
0.02                     189                      1.1920495076283518E-7
0.02                     190                      1.1953425019031213E-7
0.02                     191                      1.1986051782863434E-7
0.02                     192                      1.2018375367780192E-7
0.02                     193                      1.2050372384536356E-7
0.02                     194                      1.208203944627775E-7
0.02                     195                      1.2113393189080633E-7
0.02                     196                      1.214443361294499E-7
0.02                     197                      1.2175160717870822E-7
0.02                     198                      1.2205574503858136E-7
0.02                     199                      1.2235674970906934E-7
0.02                     200                      1.22654621190172E-7
0.02                     201                      1.2294915764430383E-7
0.02                     202                      1.232404443174053E-7
0.02                     203                      1.235285360761418E-7
0.02                     204                      1.238134329205133E-7
0.02                     205                      1.240951348505199E-7
0.02                     206                      1.2437364186616143E-7
0.02                     207                      1.2464895396743805E-7
0.02                     208                      1.249210711543498E-7
0.02                     209                      1.2518995469542807E-7
0.02                     210                      1.25455633432231E-7
0.02                     211                      1.2571810820111072E-7
0.02                     212                      1.2597737900206736E-7
0.02                     213                      1.262334458351008E-7
0.02                     214                      1.2648630870021113E-7
0.02                     215                      1.2673596759739817E-7
0.02                     216                      1.2698245980162038E-7
0.02                     217                      1.272259388230161E-7
0.02                     218                      1.2746626364958905E-7
0.02                     219                      1.277034342813393E-7
0.02                     220                      1.279374507182668E-7
0.02                     221                      1.281683129603716E-7
0.02                     222                      1.283960210076536E-7
0.02                     223                      1.286205748601129E-7
0.02                     224                      1.2884215311927276E-7
0.02                     225                      1.290609222342737E-7
0.02                     226                      1.292766463949548E-7
0.02                     227                      1.2948932560131596E-7
0.02                     228                      1.2969895985335728E-7
0.02                     229                      1.2990554915107868E-7
0.02                     230                      1.3010909349448027E-7
0.02                     231                      1.3030959288356194E-7
0.02                     232                      1.3050746803757387E-7
0.02                     233                      1.30702698239816E-7
0.02                     234                      1.3089504746322556E-7
0.02                     235                      1.310845157078026E-7
0.02                     236                      1.3127110297354707E-7
0.02                     237                      1.3145480926045911E-7
0.02                     238                      1.3163563456853844E-7
0.02                     239                      1.3181357889778536E-7
0.02                     240                      1.3198938561040288E-7
0.02                     241                      1.3216266303186632E-7
0.02                     242                      1.3233326938578816E-7
0.02                     243                      1.3250120467216848E-7
0.02                     244                      1.3266646889100717E-7
0.02                     245                      1.3282906204230426E-7
0.02                     246                      1.3298898412605975E-7
0.02                     247                      1.33146267787684E-7
0.02                     248                      1.333019318482036E-7
0.02                     249                      1.3345516965538659E-7
0.02                     250                      1.3360598120923296E-7
0.02                     251                      1.337543665097427E-7
0.02                     252                      1.339003255569158E-7
0.02                     253                      1.340438583507522E-7
0.02                     254                      1.3418496489125205E-7
0.02                     255                      1.3432390915725169E-7
0.02                     256                      1.3446140431594322E-7
0.02                     257                      1.3459674071190222E-7
0.02                     258                      1.3472991834512856E-7
0.02                     259                      1.348609372156224E-7
0.02                     260                      1.349897973233836E-7
0.02                     261                      1.3511649866841224E-7
0.02                     262                      1.3524104125070841E-7
0.02                     263                      1.3536394821711643E-7
0.02                     264                      1.354855195922911E-7
0.02                     265                      1.356052097126237E-7
0.02                     266                      1.357230185781143E-7
0.02                     267                      1.358389461887628E-7
0.02                     268                      1.359529925445692E-7
0.02                     269                      1.360651576455335E-7
0.02                     270                      1.361754414916559E-7
0.02                     271                      1.3628462750256614E-7
0.02                     272                      1.3639255130805027E-7
0.02                     273                      1.3649887086021714E-7
0.02                     274                      1.3660358615906684E-7
0.02                     275                      1.3670669720459927E-7
0.02                     276                      1.3680820399681443E-7
0.02                     277                      1.3690810653571238E-7
0.02                     278                      1.3700640482129295E-7
0.02                     279                      1.3710412108321617E-7
0.02                     280                      1.37200623813152E-7
0.02                     281                      1.372957901673362E-7
0.02                     282                      1.3738962014576859E-7
0.02                     283                      1.3748211374844922E-7
0.02                     284                      1.3757327097537822E-7
0.02                     285                      1.3766309182655542E-7
0.02                     286                      1.3775166757068846E-7
0.02                     287                      1.3783994541948963E-7
0.02                     288                      1.379271387205956E-7
0.02                     289                      1.3801324747400623E-7
0.02                     290                      1.3809827167972165E-7
0.02                     291                      1.381822113377418E-7
0.02                     292                      1.3826506644806664E-7
0.02                     293                      1.383468370106962E-7
0.02                     294                      1.3842780602682475E-7
