% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              tce_outflow_concentration0.5 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.5                      157                      2.7462354945263743E-7
0.5                      158                      2.73472118751285E-7
0.5                      159                      2.7233517317987266E-7
0.5                      160                      2.7121271273840033E-7
0.5                      161                      2.7010473742686775E-7
0.5                      162                      2.6901124724527525E-7
0.5                      163                      2.679322421936229E-7
0.5                      164                      2.6686772227191044E-7
0.5                      165                      2.658176874801379E-7
0.5                      166                      2.647821378183052E-7
0.5                      167                      2.637610732864126E-7
0.5                      168                      2.6275449388446E-7
0.5                      169                      2.617623996124472E-7
0.5                      170                      2.6070616395298297E-7
0.5                      171                      2.596575262265637E-7
0.5                      172                      2.586164896852783E-7
0.5                      173                      2.575830543291265E-7
0.5                      174                      2.5655722015810817E-7
0.5                      175                      2.555389871722234E-7
0.5                      176                      2.5452835537147245E-7
0.5                      177                      2.5352532475585514E-7
0.5                      178                      2.525298953253712E-7
0.5                      179                      2.51542067080021E-7
0.5                      180                      2.505618400198046E-7
0.5                      181                      2.4958921414472173E-7
0.5                      182                      2.486241894547725E-7
0.5                      183                      2.47666765949957E-7
0.5                      184                      2.4671694363027494E-7
0.5                      185                      2.4577472249572655E-7
0.5                      186                      2.4484010254631154E-7
0.5                      187                      2.439130837820306E-7
0.5                      188                      2.429936662028832E-7
0.5                      189                      2.4208184980886934E-7
0.5                      190                      2.4117763459998916E-7
0.5                      191                      2.4028532645390444E-7
0.5                      192                      2.3942546272658023E-7
0.5                      193                      2.385757178751411E-7
0.5                      194                      2.377360918995868E-7
0.5                      195                      2.3690658479991763E-7
0.5                      196                      2.3608719657613348E-7
0.5                      197                      2.3527792722823414E-7
0.5                      198                      2.3447877675621995E-7
0.5                      199                      2.336897451600907E-7
0.5                      200                      2.3291083243984643E-7
0.5                      201                      2.3214203859548718E-7
0.5                      202                      2.313833636270129E-7
0.5                      203                      2.3063480753442362E-7
0.5                      204                      2.2989637031771933E-7
0.5                      205                      2.2916805197690004E-7
0.5                      206                      2.2844985251196567E-7
0.5                      207                      2.277417719229164E-7
0.5                      208                      2.2704381020975204E-7
0.5                      209                      2.263559673724727E-7
0.5                      210                      2.2567824341107843E-7
0.5                      211                      2.2501063832556898E-7
0.5                      212                      2.2435315211594462E-7
0.5                      213                      2.2368797748097816E-7
0.5                      214                      2.229900823488812E-7
0.5                      215                      2.2229713729995426E-7
0.5                      216                      2.2160914233419716E-7
0.5                      217                      2.2092609745161016E-7
0.5                      218                      2.20248002652193E-7
0.5                      219                      2.195748579359458E-7
0.5                      220                      2.189066633028687E-7
0.5                      221                      2.182434187529614E-7
0.5                      222                      2.175851242862241E-7
0.5                      223                      2.169317799026568E-7
0.5                      224                      2.1628338560225946E-7
0.5                      225                      2.1563994138503197E-7
0.5                      226                      2.1500144725097453E-7
0.5                      227                      2.1436790320008705E-7
0.5                      228                      2.137393092323694E-7
0.5                      229                      2.1311566534782184E-7
0.5                      230                      2.1249697154644412E-7
