% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:02
% Table:              np_outflow_concentraion0 - np_outflow_concentraion (np_outflow_concentraion)
% Q_inject_design        t (s)                    np_outflow_concentraion (mol/(m*s))
0.02                     0                        3.5265814328284594E-37
0.02                     1                        8.146680625666363E-36
0.02                     2                        8.245476930776115E-35
0.02                     3                        2.861648792933658E-35
0.02                     4                        -2.1049404793209996E-33
0.02                     5                        4.293845625481762E-33
0.02                     6                        4.8552965729807986E-33
0.02                     7                        -2.710984805606983E-32
0.02                     8                        -3.775244111968881E-32
0.02                     9                        8.640734414759856E-32
0.02                     10                       2.4098046442779847E-31
0.02                     11                       1.0922409832178624E-31
0.02                     12                       -4.115062197934585E-31
0.02                     13                       -9.733870056195609E-31
0.02                     14                       -6.668800057947813E-31
0.02                     15                       1.3016773223865839E-30
0.02                     16                       4.3508652962910895E-30
0.02                     17                       6.076873377032658E-30
0.02                     18                       2.9814585526367118E-30
0.02                     19                       -7.339131067210906E-30
0.02                     20                       -1.9251077960009228E-29
0.02                     21                       -2.5734104136485934E-29
0.02                     22                       -2.3127456699505358E-29
0.02                     23                       -4.476447670819818E-30
0.02                     24                       2.3831663124527667E-29
0.02                     25                       5.351403024347503E-29
0.02                     26                       8.357750699934226E-29
0.02                     27                       7.268435975558515E-29
0.02                     28                       3.737979564457626E-29
0.02                     29                       -4.538708716479593E-29
0.02                     30                       -1.6802306201541562E-28
0.02                     31                       -2.7439026063284763E-28
0.02                     32                       -3.6550050055620886E-28
0.02                     33                       -3.6327888461474214E-28
0.02                     34                       -2.2904594058236017E-28
0.02                     35                       3.450393902742905E-29
0.02                     36                       4.609736355284826E-28
0.02                     37                       9.815988045489437E-28
0.02                     38                       1.4566830266955187E-27
0.02                     39                       1.896367101730475E-27
0.02                     40                       1.8996410793215226E-27
0.02                     41                       1.629004173261245E-27
0.02                     42                       1.0370631486570386E-27
0.02                     43                       1.40858000279474E-28
0.02                     44                       -1.0594353402907577E-27
0.02                     45                       -2.5638168730536573E-27
0.02                     46                       -3.530866595910063E-27
0.02                     47                       -3.9624639997961805E-27
0.02                     48                       -4.193530365904173E-27
0.02                     49                       -4.2240656942340445E-27
0.02                     50                       -3.781249085360533E-27
0.02                     51                       -2.3802222003416447E-27
0.02                     52                       -4.35649600284555E-28
0.02                     53                       2.0524687148107407E-27
0.02                     54                       5.064368706072275E-27
0.02                     55                       6.884712129757998E-27
0.02                     56                       8.593150744763029E-27
0.02                     57                       1.0189684551087361E-26
0.02                     58                       1.1674313548731E-26
0.02                     59                       1.1321149412423803E-26
0.02                     60                       9.224451202997392E-27
0.02                     61                       6.0137364511616186E-27
0.02                     62                       1.6890051569164762E-27
0.02                     63                       -3.472098520475768E-27
0.02                     64                       -9.030078998320782E-27
0.02                     65                       -1.5373063149771575E-26
0.02                     66                       -2.2501050974828145E-26
0.02                     67                       -3.026702703877423E-26
0.02                     68                       -3.3485708229714445E-26
0.02                     69                       -3.5457488705004726E-26
0.02                     70                       -3.618236846464505E-26
0.02                     71                       -3.566034750863538E-26
0.02                     72                       -3.0727266106324917E-26
0.02                     73                       -2.1712708199016593E-26
0.02                     74                       -9.671071137583638E-27
0.02                     75                       5.397645077973953E-27
0.02                     76                       2.281014760441202E-26
0.02                     77                       4.1604097593125175E-26
0.02                     78                       6.265974740700143E-26
0.02                     79                       8.597709704604065E-26
0.02                     80                       1.1116257163029592E-25
0.02                     81                       1.297023450124366E-25
0.02                     82                       1.470792246007753E-25
0.02                     83                       1.6329321039531207E-25
0.02                     84                       1.7834430239604681E-25
0.02                     85                       1.844800475263523E-25
0.02                     86                       1.8287184068472355E-25
0.02                     87                       1.7587136084396752E-25
0.02                     88                       1.634786080040845E-25
0.02                     89                       1.4281333904236706E-25
0.02                     90                       1.1027334740156508E-25
0.02                     91                       6.928351051442802E-26
0.02                     92                       1.9843828380955833E-26
0.02                     93                       -3.808183360309248E-26
0.02                     94                       -1.050472655825206E-25
0.02                     95                       -1.8069142995076316E-25
0.02                     96                       -2.6501432670782007E-25
0.02                     97                       -3.580159558536914E-25
0.02                     98                       -4.522993687774409E-25
0.02                     99                       -5.493116463125339E-25
0.02                     100                      -6.5108671639986365E-25
0.02                     101                      -7.576245790394301E-25
0.02                     102                      -8.609063934180981E-25
0.02                     103                      -9.520517469217674E-25
0.02                     104                      -1.0398733543702078E-24
0.02                     105                      -1.1243712157634198E-24
0.02                     106                      -1.2013782550372464E-24
0.02                     107                      -1.2221758854808446E-24
0.02                     108                      -1.2189374203433857E-24
0.02                     109                      -1.1916628596248706E-24
0.02                     110                      -1.1403522033252988E-24
0.02                     111                      -1.0650054514446703E-24
0.02                     112                      -9.656226039829866E-25
0.02                     113                      -8.422036609402447E-25
0.02                     114                      -6.94748622316447E-25
0.02                     115                      -5.090238562227118E-25
0.02                     116                      -2.7579962253180345E-25
0.02                     117                      -1.1378247221941867E-26
0.02                     118                      2.8424026970687228E-25
0.02                     119                      6.1105592825464E-25
0.02                     120                      9.690687284213617E-25
0.02                     121                      1.3582786702070355E-24
0.02                     122                      1.7786857536116627E-24
0.02                     123                      2.1930690464495863E-24
0.02                     124                      2.6072957128160657E-24
0.02                     125                      3.0391216935766907E-24
0.02                     126                      3.488546988731463E-24
0.02                     127                      3.955571598280379E-24
0.02                     128                      4.440195522223444E-24
0.02                     129                      4.942418760560658E-24
0.02                     130                      5.462241313292014E-24
0.02                     131                      5.85575180569157E-24
0.02                     132                      6.207539900691353E-24
0.02                     133                      6.538250433821818E-24
0.02                     134                      6.847883405082959E-24
0.02                     135                      7.136438814474788E-24
0.02                     136                      7.40391666199729E-24
0.02                     137                      7.650316947650477E-24
0.02                     138                      7.870108673271952E-24
0.02                     139                      7.987066305373815E-24
0.02                     140                      8.063402429257267E-24
0.02                     141                      8.099117044922309E-24
0.02                     142                      8.094210152368948E-24
0.02                     143                      8.048681751597167E-24
0.02                     144                      7.962531842606977E-24
0.02                     145                      7.835760425398382E-24
0.02                     146                      7.66350182661113E-24
0.02                     147                      7.435601276219192E-24
0.02                     148                      7.16282804516837E-24
0.02                     149                      6.845182133458669E-24
0.02                     150                      6.482663541090083E-24
0.02                     151                      6.075272268062626E-24
0.02                     152                      5.623008314376285E-24
0.02                     153                      5.12587168003106E-24
0.02                     154                      4.164633064466113E-24
0.02                     155                      2.5782827904708625E-24
0.02                     156                      7.426434022688087E-25
0.02                     157                      -1.3422851001400586E-24
0.02                     158                      -3.676502716755724E-24
0.02                     159                      -6.260009447578199E-24
0.02                     160                      -9.092805292607475E-24
0.02                     161                      -1.2174890251843565E-23
0.02                     162                      -1.776418041301313E-23
0.02                     163                      -2.5181542463322566E-23
0.02                     164                      -3.3600347265368E-23
0.02                     165                      -4.3020594819149475E-23
0.02                     166                      -5.344228512466687E-23
0.02                     167                      -6.486541818192033E-23
0.02                     168                      -7.728999399090982E-23
0.02                     169                      -9.071601255163519E-23
0.02                     170                      -1.092581845380835E-22
0.02                     171                      -1.3015500920422606E-22
0.02                     172                      -1.5308252672237702E-22
0.02                     173                      -1.780407370925363E-22
0.02                     174                      -2.05029640314704E-22
0.02                     175                      -2.3404923638888E-22
0.02                     176                      -2.650995253150645E-22
0.02                     177                      -2.977293772443383E-22
0.02                     178                      -3.2887243628315688E-22
0.02                     179                      -3.611689727820017E-22
0.02                     180                      -3.946189867408722E-22
0.02                     181                      -4.292224781597683E-22
0.02                     182                      -4.649794470386908E-22
0.02                     183                      -5.018898933776387E-22
0.02                     184                      -5.399538171766125E-22
0.02                     185                      -5.683702700196918E-22
0.02                     186                      -5.718914613211589E-22
0.02                     187                      -5.687848488418867E-22
0.02                     188                      -5.590504325818735E-22
0.02                     189                      -5.426882125411198E-22
0.02                     190                      -5.196981887196241E-22
0.02                     191                      -4.900803611173892E-22
0.02                     192                      -4.53834729734415E-22
0.02                     193                      -3.5715214549761837E-22
0.02                     194                      -1.922408331806806E-22
0.02                     195                      2.6263556763070748E-24
0.02                     196                      2.274494210733428E-22
0.02                     197                      4.822283630104275E-22
0.02                     198                      7.669631814875636E-22
0.02                     199                      1.0816538765047432E-21
0.02                     200                      1.4263004480619737E-21
0.02                     201                      1.992098920351008E-21
0.02                     202                      2.698297807697118E-21
0.02                     203                      3.492923201237056E-21
0.02                     204                      4.375975100970807E-21
0.02                     205                      5.347453506898393E-21
0.02                     206                      6.4073584190197985E-21
0.02                     207                      7.555689837335047E-21
0.02                     208                      8.792447761844118E-21
0.02                     209                      1.0784276325138607E-20
0.02                     210                      1.3034756047270552E-20
0.02                     211                      1.552949167472867E-20
0.02                     212                      1.8268483207513E-20
0.02                     213                      2.1251730645623445E-20
0.02                     214                      2.4479233989060052E-20
0.02                     215                      2.795099323782289E-20
0.02                     216                      3.199780812063636E-20
0.02                     217                      3.798201717802902E-20
0.02                     218                      4.4652197676136483E-20
0.02                     219                      5.2008349614958837E-20
0.02                     220                      6.00504729944959E-20
0.02                     221                      6.877856781474795E-20
0.02                     222                      7.819263407571471E-20
0.02                     223                      8.829267177739652E-20
0.02                     224                      1.0102322944529812E-19
0.02                     225                      1.1819654487461796E-19
0.02                     226                      1.3724520266857267E-19
0.02                     227                      1.5816920282716258E-19
0.02                     228                      1.8096854535038743E-19
0.02                     229                      2.0564323023824752E-19
0.02                     230                      2.321932574907423E-19
0.02                     231                      2.606186271078721E-19
0.02                     232                      2.979658252173111E-19
0.02                     233                      3.438878747324941E-19
0.02                     234                      3.9443163725374744E-19
0.02                     235                      4.495971127810684E-19
0.02                     236                      5.093843013144589E-19
0.02                     237                      5.737932028539175E-19
0.02                     238                      6.428238173994455E-19
0.02                     239                      7.164761449510419E-19
0.02                     240                      8.105906092311281E-19
0.02                     241                      9.168209553401898E-19
0.02                     242                      1.0321460476262728E-18
0.02                     243                      1.1565658860893771E-18
0.02                     244                      1.290080470729503E-18
0.02                     245                      1.4326898015466509E-18
0.02                     246                      1.5843938785408183E-18
0.02                     247                      1.745158805662136E-18
0.02                     248                      1.913926731043109E-18
0.02                     249                      2.091535209610228E-18
0.02                     250                      2.277984241363495E-18
0.02                     251                      2.473273826302908E-18
0.02                     252                      2.6774039644284627E-18
0.02                     253                      2.890374655740172E-18
0.02                     254                      3.1121859002380235E-18
0.02                     255                      3.3061860623246666E-18
0.02                     256                      3.3733568100690008E-18
0.02                     257                      3.412228890754404E-18
0.02                     258                      3.4228023043808935E-18
0.02                     259                      3.4050770509484546E-18
0.02                     260                      3.3590531304570944E-18
0.02                     261                      3.2847305429068014E-18
0.02                     262                      3.182109288297595E-18
0.02                     263                      2.7083861786884648E-18
0.02                     264                      1.6669636254601531E-18
0.02                     265                      4.153994091778273E-19
0.02                     266                      -1.046306470158513E-18
0.02                     267                      -2.718154012548832E-18
0.02                     268                      -4.600143217993208E-18
0.02                     269                      -6.692274086491513E-18
0.02                     270                      -8.994546618043877E-18
0.02                     271                      -1.3385163460871797E-17
0.02                     272                      -1.9470056660234324E-17
0.02                     273                      -2.642918644384249E-17
0.02                     274                      -3.426255281169642E-17
0.02                     275                      -4.2970155763796096E-17
0.02                     276                      -5.255199530014152E-17
0.02                     277                      -6.300807142073275E-17
0.02                     278                      -7.433838412556964E-17
0.02                     279                      -9.44973576255467E-17
0.02                     280                      -1.1857094437755031E-16
0.02                     281                      -1.4560324234468154E-16
0.02                     282                      -1.7559425152694045E-16
0.02                     283                      -2.0854397192432696E-16
0.02                     284                      -2.4445240353684083E-16
0.02                     285                      -2.833195463644827E-16
0.02                     286                      -3.27109938819948E-16
0.02                     287                      -3.962121000794382E-16
0.02                     288                      -4.736935148586477E-16
0.02                     289                      -5.595541831575777E-16
0.02                     290                      -6.537941049762275E-16
0.02                     291                      -7.564132803145973E-16
0.02                     292                      -8.674117091726873E-16
0.02                     293                      -9.86789391550497E-16
0.02                     294                      -1.1280961727425197E-15
0.02                     295                      -1.3160596319281612E-15
0.02                     296                      -1.523434657676975E-15
0.02                     297                      -1.750221249988962E-15
0.02                     298                      -1.9964194088641195E-15
0.02                     299                      -2.26202913430245E-15
0.02                     300                      -2.547050426303954E-15
0.02                     301                      -2.8514832848686303E-15
0.02                     302                      -3.2041777086005343E-15
0.02                     303                      -3.613657339781641E-15
0.02                     304                      -4.056037832719957E-15
0.02                     305                      -4.5313191874154785E-15
0.02                     306                      -5.039501403868212E-15
0.02                     307                      -5.580584482078151E-15
0.02                     308                      -6.1545684220453E-15
0.02                     309                      -6.7952498701015526E-15
0.02                     310                      -7.486906282314234E-15
0.02                     311                      -8.222590472615046E-15
0.02                     312                      -9.002302441004007E-15
0.02                     313                      -9.826042187481101E-15
0.02                     314                      -1.0693465106306013E-14
0.02                     315                      -1.1600375069633506E-14
0.02                     316                      -1.2549895134299084E-14
0.02                     317                      -1.3542025300302766E-14
0.02                     318                      -1.4576765567644552E-14
0.02                     319                      -1.5654115936324424E-14
0.02                     320                      -1.66510346515314E-14
0.02                     321                      -1.763958282648791E-14
0.02                     322                      -1.8627318151420133E-14
0.02                     323                      -1.9614240626328064E-14
0.02                     324                      -2.0600350251211688E-14
0.02                     325                      -2.126331268965615E-14
0.02                     326                      -2.1710134805435688E-14
0.02                     327                      -2.2016688722266514E-14
0.02                     328                      -2.218297444014875E-14
0.02                     329                      -2.2208991959082283E-14
0.02                     330                      -2.176889233195776E-14
0.02                     331                      -2.0848550297007907E-14
0.02                     332                      -1.9608146652833234E-14
0.02                     333                      -1.792932942340529E-14
0.02                     334                      -1.510017449672237E-14
0.02                     335                      -1.1555037083156424E-14
0.02                     336                      -7.293917182707467E-15
0.02                     337                      -1.559990157482748E-15
0.02                     338                      5.6508699078426866E-15
0.02                     339                      1.409508006579469E-14
0.02                     340                      2.4558585019159498E-14
0.02                     341                      3.7384193586254487E-14
0.02                     342                      5.2167206543106813E-14
0.02                     343                      6.986467819956752E-14
0.02                     344                      9.041908160126639E-14
0.02                     345                      1.1491313073619266E-13
0.02                     346                      1.4333187161093736E-13
0.02                     347                      1.7684372864013063E-13
0.02                     348                      2.1483412881077651E-13
0.02                     349                      2.585897542454969E-13
0.02                     350                      3.0930105697178966E-13
0.02                     351                      3.6916938156068087E-13
0.02                     352                      4.388698261359146E-13
0.02                     353                      5.192563909150598E-13
0.02                     354                      6.113179576585894E-13
0.02                     355                      7.171001568337041E-13
0.02                     356                      8.37793522084643E-13
0.02                     357                      9.752280182090994E-13
0.02                     358                      1.1316023566342473E-12
0.02                     359                      1.3092313746459585E-12
0.02                     360                      1.509815782740335E-12
0.02                     361                      1.7359038421947408E-12
0.02                     362                      1.9910545022711086E-12
0.02                     363                      2.2783119705908593E-12
0.02                     364                      2.600973961357485E-12
0.02                     365                      2.963456154564748E-12
0.02                     366                      3.3776648400620812E-12
0.02                     367                      3.841393528527233E-12
0.02                     368                      4.359205270153286E-12
0.02                     369                      4.944955160602073E-12
0.02                     370                      5.590878562249115E-12
0.02                     371                      6.319776804806447E-12
0.02                     372                      7.129267418366882E-12
0.02                     373                      8.026284258591252E-12
0.02                     374                      9.03313649843677E-12
0.02                     375                      1.0137752262723026E-11
0.02                     376                      1.1380495080618414E-11
0.02                     377                      1.275118151339512E-11
0.02                     378                      1.4267115676097109E-11
0.02                     379                      1.595830678243934E-11
0.02                     380                      1.7807051638337923E-11
0.02                     381                      1.987996407636057E-11
0.02                     382                      2.2151885477082236E-11
0.02                     383                      2.4657983700715325E-11
0.02                     384                      2.7433757838826252E-11
0.02                     385                      3.045892920228094E-11
0.02                     386                      3.382946361932294E-11
0.02                     387                      3.750382746087532E-11
0.02                     388                      4.1543353949414826E-11
0.02                     389                      4.598532301580399E-11
0.02                     390                      5.081302747777327E-11
0.02                     391                      5.6153280156044076E-11
0.02                     392                      6.194878430548722E-11
0.02                     393                      6.830116511206615E-11
0.02                     394                      7.524374033635798E-11
0.02                     395                      8.277107354395628E-11
0.02                     396                      9.104843756566015E-11
0.02                     397                      9.999750681775698E-11
0.02                     398                      1.0978156086666695E-10
0.02                     399                      1.2041765866407775E-10
0.02                     400                      1.3192690431731292E-10
0.02                     401                      1.4452115482427293E-10
0.02                     402                      1.5809434453911853E-10
0.02                     403                      1.7291018149242188E-10
0.02                     404                      1.8894809116309003E-10
0.02                     405                      2.062788258131996E-10
0.02                     406                      2.2516314345231938E-10
0.02                     407                      2.4546163046606517E-10
0.02                     408                      2.675838383333493E-10
0.02                     409                      2.9143555941276127E-10
0.02                     410                      3.1717571302937487E-10
0.02                     411                      3.451095755385416E-10
0.02                     412                      3.750598541417456E-10
0.02                     413                      4.0764089441535645E-10
0.02                     414                      4.426323456077834E-10
0.02                     415                      4.803336183524757E-10
0.02                     416                      5.210753269615329E-10
0.02                     417                      5.646635693393395E-10
0.02                     418                      6.119406341991583E-10
0.02                     419                      6.625443958330875E-10
0.02                     420                      7.169742373885745E-10
0.02                     421                      7.755597542046812E-10
0.02                     422                      8.381412030561693E-10
0.02                     423                      9.057537957790524E-10
0.02                     424                      9.779331744439238E-10
0.02                     425                      1.0554421208484596E-9
0.02                     426                      1.138561974946027E-9
0.02                     427                      1.2272183784306225E-9
0.02                     428                      1.322647816215759E-9
0.02                     429                      1.4242690484193782E-9
0.02                     430                      1.5341957245808564E-9
0.02                     431                      1.6527185659202903E-9
0.02                     432                      1.7792758226443042E-9
0.02                     433                      1.9138674947528953E-9
0.02                     434                      2.0564935822460667E-9
0.02                     435                      2.210793197599413E-9
0.02                     436                      2.3754967066095822E-9
0.02                     437                      2.549833407565771E-9
0.02                     438                      2.7338033004679783E-9
0.02                     439                      2.9298501838530885E-9
0.02                     440                      3.1417249422837963E-9
0.02                     441                      3.3660380103747605E-9
0.02                     442                      3.6027893881259802E-9
0.02                     443                      3.851979075537459E-9
0.02                     444                      4.122047899267327E-9
0.02                     445                      4.408446430047878E-9
0.02                     446                      4.710664656819548E-9
0.02                     447                      5.0287025795823314E-9
0.02                     448                      5.367523779620496E-9
0.02                     449                      5.730186187594922E-9
0.02                     450                      6.112707654534301E-9
0.02                     451                      6.515088180438624E-9
0.02                     452                      6.9380274878981536E-9
0.02                     453                      7.39324809723993E-9
0.02                     454                      7.873044187294878E-9
0.02                     455                      8.377415758062993E-9
0.02                     456                      8.90636280954428E-9
0.02                     457                      9.468715852760786E-9
0.02                     458                      1.0065247549061208E-8
0.02                     459                      1.0691857754465272E-8
0.02                     460                      1.1348546468972962E-8
0.02                     461                      1.2038297832599572E-8
0.02                     462                      1.2773833191715194E-8
0.02                     463                      1.3545853579955557E-8
0.02                     464                      1.4354358997320654E-8
0.02                     465                      1.5199349443810498E-8
0.02                     466                      1.6095598505386723E-8
0.02                     467                      1.7039316495577735E-8
0.02                     468                      1.8026910832769486E-8
0.02                     469                      1.9058381516961982E-8
0.02                     470                      2.014047190210285E-8
0.02                     471                      2.1285376633146622E-8
0.02                     472                      2.2482571268047923E-8
0.02                     473                      2.3732055806806765E-8
0.02                     474                      2.5033830249423115E-8
0.02                     475                      2.6410651320952075E-8
0.02                     476                      2.7851171032801603E-8
0.02                     477                      2.935341881580893E-8
0.02                     478                      3.091739466997406E-8
0.02                     479                      3.2555116267951296E-8
0.02                     480                      3.427570138759621E-8
0.02                     481                      3.6068415645821745E-8
0.02                     482                      3.7933259042627905E-8
0.02                     483                      3.987121131434595E-8
0.02                     484                      4.191143460191885E-8
0.02                     485                      4.403508335382089E-8
