% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:05
% Table:              np_outflow_concentraion0 - np_outflow_concentraion (np_outflow_concentraion)
% Q_inject_design        t (s)                    np_outflow_concentraion (mol/(m*s))
0.5                      0                        3.228261006223442E-35
0.5                      1                        2.518504892425751E-27
0.5                      2                        -2.2409392914930335E-25
0.5                      3                        -2.0026445375706844E-24
0.5                      4                        2.973069870959519E-25
0.5                      5                        -7.381588149844921E-23
0.5                      6                        1.9026335852670386E-21
0.5                      7                        -2.3654316696779093E-21
0.5                      8                        -1.7396260799353272E-19
0.5                      9                        3.471279404099469E-18
0.5                      10                       1.1301981410733942E-16
0.5                      11                       7.193102832885174E-16
0.5                      12                       -3.325712563260332E-14
0.5                      13                       -7.367214544970383E-13
0.5                      14                       -2.793511309462541E-12
0.5                      15                       1.0204136273152882E-10
0.5                      16                       2.076356650945444E-9
0.5                      17                       2.0487988683678796E-8
0.5                      18                       1.3130471498423674E-7
0.5                      19                       6.175632492342355E-7
0.5                      20                       2.178135273465099E-6
0.5                      21                       5.968707899359108E-6
0.5                      22                       1.2957563488986623E-5
0.5                      23                       2.2795037166859852E-5
0.5                      24                       3.309075175952194E-5
0.5                      25                       4.2020900283582215E-5
0.5                      26                       4.9000948871404814E-5
0.5                      27                       5.436073423786432E-5
0.5                      28                       5.8734541728683874E-5
0.5                      29                       6.244837898682065E-5
0.5                      30                       6.554268055145528E-5
0.5                      31                       6.800376565046923E-5
0.5                      32                       6.987892078297176E-5
0.5                      33                       7.123897743155092E-5
0.5                      34                       7.218617675610639E-5
0.5                      35                       7.285111572167668E-5
0.5                      36                       7.334793970503374E-5
0.5                      37                       7.371087151059507E-5
0.5                      38                       7.398886235866742E-5
0.5                      39                       7.42146828888809E-5
0.5                      40                       7.437743329187765E-5
0.5                      41                       7.450047606894526E-5
0.5                      42                       7.458366508746701E-5
0.5                      43                       7.462522456838693E-5
0.5                      44                       7.465768992035992E-5
0.5                      45                       7.466538742222381E-5
0.5                      46                       7.465995386673891E-5
0.5                      47                       7.465375350966302E-5
0.5                      48                       7.463827019936993E-5
0.5                      49                       7.462658243016477E-5
0.5                      50                       7.461629312983096E-5
0.5                      51                       7.460567893128028E-5
0.5                      52                       7.459489646963092E-5
0.5                      53                       7.458386625605297E-5
0.5                      54                       7.45725882905465E-5
0.5                      55                       7.456106257311147E-5
0.5                      56                       7.454928910374791E-5
0.5                      57                       7.454053623073501E-5
0.5                      58                       7.45329110689414E-5
0.5                      59                       7.452618143982734E-5
0.5                      60                       7.452034734339277E-5
0.5                      61                       7.451540877963776E-5
0.5                      62                       7.451087052924021E-5
0.5                      63                       7.450673795137637E-5
0.5                      64                       7.450324044235646E-5
0.5                      65                       7.450037800218044E-5
0.5                      66                       7.449815063084839E-5
0.5                      67                       7.449645660999084E-5
0.5                      68                       7.449515085406519E-5
0.5                      69                       7.449438065243738E-5
0.5                      70                       7.449414600510736E-5
0.5                      71                       7.449444691207513E-5
0.5                      72                       7.449540416561972E-5
0.5                      73                       7.449853524588466E-5
0.5                      74                       7.450274776206967E-5
0.5                      75                       7.450804171417489E-5
0.5                      76                       7.451441710220027E-5
0.5                      77                       7.452187392614582E-5
0.5                      78                       7.452981716488782E-5
0.5                      79                       7.453847593014907E-5
0.5                      80                       7.4547972403227E-5
0.5                      81                       7.45583065841215E-5
0.5                      82                       7.456947847283264E-5
0.5                      83                       7.45804619976924E-5
0.5                      84                       7.459083221718983E-5
0.5                      85                       7.460136386968591E-5
0.5                      86                       7.461205695518067E-5
0.5                      87                       7.462291147367402E-5
0.5                      88                       7.463349393959815E-5
0.5                      89                       7.464248719738127E-5
0.5                      90                       7.465099627787836E-5
0.5                      91                       7.465902118108933E-5
0.5                      92                       7.466656190701425E-5
0.5                      93                       7.46736184556531E-5
0.5                      94                       7.468204108477007E-5
0.5                      95                       7.46906539394662E-5
0.5                      96                       7.469939790058092E-5
0.5                      97                       7.470827296811426E-5
0.5                      98                       7.471727914206619E-5
0.5                      99                       7.472529318984095E-5
0.5                      100                      7.473245443927313E-5
0.5                      101                      7.473919568632296E-5
0.5                      102                      7.474551693099043E-5
0.5                      103                      7.475141817327551E-5
0.5                      104                      7.47574940486472E-5
0.5                      105                      7.476439179045913E-5
0.5                      106                      7.477138778130665E-5
0.5                      107                      7.477848202118964E-5
0.5                      108                      7.478567451010814E-5
0.5                      109                      7.479289436556434E-5
0.5                      110                      7.47995926084944E-5
0.5                      111                      7.480617746633167E-5
0.5                      112                      7.481264893907614E-5
0.5                      113                      7.481900702672788E-5
0.5                      114                      7.482525172928683E-5
0.5                      115                      7.4831580528481E-5
0.5                      116                      7.483790284557988E-5
0.5                      117                      7.484418817814961E-5
0.5                      118                      7.485043652619024E-5
0.5                      119                      7.48566478897018E-5
0.5                      120                      7.48627562425782E-5
0.5                      121                      7.486874533014846E-5
0.5                      122                      7.487465739643381E-5
0.5                      123                      7.488049244143428E-5
0.5                      124                      7.488625046514995E-5
0.5                      125                      7.489229990902635E-5
0.5                      126                      7.489949749150631E-5
0.5                      127                      7.490708340941767E-5
0.5                      128                      7.491505766276043E-5
0.5                      129                      7.492342025153455E-5
0.5                      130                      7.493215857946296E-5
0.5                      131                      7.493816105605527E-5
0.5                      132                      7.494355437833731E-5
0.5                      133                      7.494833854630903E-5
0.5                      134                      7.495251355997052E-5
0.5                      135                      7.495607941932171E-5
0.5                      136                      7.496091382378249E-5
0.5                      137                      7.496659538557885E-5
0.5                      138                      7.497253043560057E-5
0.5                      139                      7.497871897384757E-5
0.5                      140                      7.498516100031992E-5
0.5                      141                      7.499177042441544E-5
0.5                      142                      7.499847723095122E-5
0.5                      143                      7.500536996906124E-5
0.5                      144                      7.501244863874534E-5
0.5                      145                      7.501971324000362E-5
0.5                      146                      7.502690158259609E-5
0.5                      147                      7.503261350266319E-5
0.5                      148                      7.503792909245463E-5
0.5                      149                      7.504284835197052E-5
0.5                      150                      7.504737128121083E-5
0.5                      151                      7.505149788017549E-5
0.5                      152                      7.505663850577803E-5
0.5                      153                      7.50620520526116E-5
0.5                      154                      7.506758587860036E-5
0.5                      155                      7.507323998374443E-5
0.5                      156                      7.507901436804372E-5
0.5                      157                      7.508512198906066E-5
0.5                      158                      7.509158437227932E-5
0.5                      159                      7.509828648915944E-5
0.5                      160                      7.510522833970098E-5
0.5                      161                      7.511240992390398E-5
0.5                      162                      7.511857625358727E-5
0.5                      163                      7.512147712321821E-5
0.5                      164                      7.51232442946636E-5
0.5                      165                      7.512387776792347E-5
0.5                      166                      7.512337754299785E-5
0.5                      167                      7.512174361988678E-5
0.5                      168                      7.511897599859011E-5
0.5                      169                      7.5115074679108E-5
0.5                      170                      7.511003966144034E-5
0.5                      171                      7.510387094558719E-5
0.5                      172                      7.509656853154855E-5
0.5                      173                      7.509463462887997E-5
0.5                      174                      7.509487191793711E-5
0.5                      175                      7.509547364280625E-5
0.5                      176                      7.509643980348741E-5
0.5                      177                      7.509777039998057E-5
0.5                      178                      7.509946543228574E-5
0.5                      179                      7.510152490040293E-5
0.5                      180                      7.510394880433214E-5
0.5                      181                      7.51067371440733E-5
0.5                      182                      7.511026863298339E-5
0.5                      183                      7.511541335425754E-5
0.5                      184                      7.512121763890764E-5
0.5                      185                      7.512768148693366E-5
0.5                      186                      7.513480489833563E-5
0.5                      187                      7.51425878731135E-5
0.5                      188                      7.515103041126739E-5
0.5                      189                      7.516013251279715E-5
0.5                      190                      7.51698941777029E-5
0.5                      191                      7.518031540598453E-5
0.5                      192                      7.518892458381504E-5
0.5                      193                      7.51968511010408E-5
0.5                      194                      7.520480270162521E-5
0.5                      195                      7.521277938556823E-5
0.5                      196                      7.522078115286987E-5
0.5                      197                      7.522880800353014E-5
0.5                      198                      7.523685993754906E-5
0.5                      199                      7.524493695492658E-5
0.5                      200                      7.525303905566278E-5
0.5                      201                      7.526098022250095E-5
0.5                      202                      7.526831083121907E-5
0.5                      203                      7.527551732973776E-5
0.5                      204                      7.528259971805704E-5
0.5                      205                      7.528955799617687E-5
0.5                      206                      7.529639216409724E-5
0.5                      207                      7.530310222181818E-5
0.5                      208                      7.530968816933962E-5
0.5                      209                      7.531615000666172E-5
0.5                      210                      7.532248773378429E-5
0.5                      211                      7.532907161782464E-5
0.5                      212                      7.533573769826707E-5
0.5                      213                      7.534237570487959E-5
0.5                      214                      7.53489856376621E-5
0.5                      215                      7.535556749661463E-5
0.5                      216                      7.536212128173724E-5
0.5                      217                      7.536864699302982E-5
0.5                      218                      7.537514463049243E-5
0.5                      219                      7.538161419412503E-5
0.5                      220                      7.538809543491722E-5
0.5                      221                      7.539468946931402E-5
0.5                      222                      7.540128826917858E-5
0.5                      223                      7.5407891834511E-5
0.5                      224                      7.541450016531125E-5
0.5                      225                      7.54211132615793E-5
0.5                      226                      7.542773112331522E-5
0.5                      227                      7.543435375051893E-5
0.5                      228                      7.544098114319047E-5
0.5                      229                      7.544761330132983E-5
0.5                      230                      7.54534088039917E-5
0.5                      231                      7.545872812841151E-5
0.5                      232                      7.546383169325289E-5
0.5                      233                      7.546871949851582E-5
0.5                      234                      7.547339154420038E-5
0.5                      235                      7.547784783030647E-5
0.5                      236                      7.548208835683414E-5
0.5                      237                      7.548611312378348E-5
0.5                      238                      7.548992213115435E-5
0.5                      239                      7.549384698765086E-5
0.5                      240                      7.549877574584515E-5
0.5                      241                      7.550377116298424E-5
0.5                      242                      7.55088332390682E-5
0.5                      243                      7.551396197409705E-5
0.5                      244                      7.551915736807066E-5
0.5                      245                      7.552441942098918E-5
0.5                      246                      7.55297481328525E-5
0.5                      247                      7.553514350366066E-5
0.5                      248                      7.554060553341372E-5
0.5                      249                      7.554404772682914E-5
0.5                      250                      7.554633333009447E-5
0.5                      251                      7.5548132971059E-5
0.5                      252                      7.554944664972261E-5
0.5                      253                      7.555027436608536E-5
0.5                      254                      7.555061612014722E-5
0.5                      255                      7.555047191190828E-5
0.5                      256                      7.554984174136842E-5
0.5                      257                      7.55487256085277E-5
0.5                      258                      7.554712351338618E-5
0.5                      259                      7.554503545594375E-5
0.5                      260                      7.554246143620044E-5
0.5                      261                      7.55394014541563E-5
0.5                      262                      7.553585550981124E-5
0.5                      263                      7.553182360316538E-5
0.5                      264                      7.552730573421865E-5
0.5                      265                      7.552230190297105E-5
0.5                      266                      7.551681210942256E-5
0.5                      267                      7.551083635357322E-5
0.5                      268                      7.551087964180875E-5
0.5                      269                      7.551362279297162E-5
0.5                      270                      7.551678282139458E-5
0.5                      271                      7.552035972707758E-5
0.5                      272                      7.552435351002059E-5
0.5                      273                      7.55287641702237E-5
0.5                      274                      7.553359170768682E-5
0.5                      275                      7.553883612240998E-5
0.5                      276                      7.55444974143932E-5
0.5                      277                      7.555057558363649E-5
0.5                      278                      7.555707063013977E-5
0.5                      279                      7.556398255390312E-5
0.5                      280                      7.557131135492653E-5
0.5                      281                      7.557905703321E-5
0.5                      282                      7.558721958875345E-5
0.5                      283                      7.559579902155699E-5
0.5                      284                      7.560449513424554E-5
0.5                      285                      7.561353653947348E-5
0.5                      286                      7.562295490806592E-5
0.5                      287                      7.563275024002283E-5
0.5                      288                      7.564292253534424E-5
0.5                      289                      7.565347179403014E-5
0.5                      290                      7.566439801608049E-5
0.5                      291                      7.567570120149534E-5
0.5                      292                      7.568738135027468E-5
0.5                      293                      7.569943846241847E-5
0.5                      294                      7.571187253792676E-5
0.5                      295                      7.572468357679954E-5
0.5                      296                      7.573787157903682E-5
0.5                      297                      7.575143654463855E-5
0.5                      298                      7.576272507871328E-5
0.5                      299                      7.577251798676648E-5
0.5                      300                      7.578214092284165E-5
0.5                      301                      7.579159388693893E-5
0.5                      302                      7.580087687905826E-5
0.5                      303                      7.580998989919967E-5
0.5                      304                      7.581893294736312E-5
0.5                      305                      7.582770602354862E-5
0.5                      306                      7.58363091277562E-5
0.5                      307                      7.584474225998586E-5
0.5                      308                      7.585300542023755E-5
0.5                      309                      7.586109860851131E-5
0.5                      310                      7.586902182480718E-5
0.5                      311                      7.587677506912507E-5
0.5                      312                      7.58841279336529E-5
0.5                      313                      7.589091528340948E-5
0.5                      314                      7.589745468337181E-5
0.5                      315                      7.590374613353984E-5
0.5                      316                      7.590978963391363E-5
0.5                      317                      7.591558518449322E-5
0.5                      318                      7.592113278527856E-5
0.5                      319                      7.59264324362696E-5
0.5                      320                      7.593148413746643E-5
0.5                      321                      7.593628788886901E-5
0.5                      322                      7.594084369047733E-5
0.5                      323                      7.59451515422914E-5
0.5                      324                      7.59492114443112E-5
0.5                      325                      7.595302339653678E-5
0.5                      326                      7.595681691923547E-5
0.5                      327                      7.596172772108273E-5
0.5                      328                      7.59665955693238E-5
0.5                      329                      7.597142046395861E-5
0.5                      330                      7.59762024049872E-5
0.5                      331                      7.598094139240953E-5
0.5                      332                      7.598563742622564E-5
0.5                      333                      7.599029050643555E-5
0.5                      334                      7.599490063303922E-5
0.5                      335                      7.599946780603664E-5
0.5                      336                      7.600399202542785E-5
0.5                      337                      7.600847329121282E-5
0.5                      338                      7.601291160339156E-5
0.5                      339                      7.601730696196404E-5
0.5                      340                      7.602165936693034E-5
0.5                      341                      7.602512085399825E-5
0.5                      342                      7.602833544577215E-5
0.5                      343                      7.603138378761458E-5
0.5                      344                      7.603426587952553E-5
0.5                      345                      7.603698172150502E-5
0.5                      346                      7.603953131355299E-5
0.5                      347                      7.604191465566956E-5
0.5                      348                      7.604413174785462E-5
0.5                      349                      7.604618259010819E-5
0.5                      350                      7.604806718243031E-5
0.5                      351                      7.604978552482095E-5
0.5                      352                      7.60513376172801E-5
0.5                      353                      7.605272345980778E-5
0.5                      354                      7.605394305240399E-5
0.5                      355                      7.605499639506872E-5
0.5                      356                      7.6055883487802E-5
0.5                      357                      7.605660433060383E-5
0.5                      358                      7.605715892347415E-5
0.5                      359                      7.6057547266413E-5
0.5                      360                      7.605776935942036E-5
0.5                      361                      7.605782520249627E-5
0.5                      362                      7.605771479564068E-5
0.5                      363                      7.605743813885366E-5
0.5                      364                      7.605699523213511E-5
0.5                      365                      7.605638607548512E-5
0.5                      366                      7.605561066890367E-5
0.5                      367                      7.605466901239067E-5
0.5                      368                      7.60535611059463E-5
0.5                      369                      7.60550017136006E-5
0.5                      370                      7.606047531964061E-5
0.5                      371                      7.60662387540428E-5
0.5                      372                      7.607229201680725E-5
0.5                      373                      7.607863510793384E-5
0.5                      374                      7.608526802742264E-5
0.5                      375                      7.609219077527367E-5
0.5                      376                      7.60994033514869E-5
0.5                      377                      7.610690575606223E-5
0.5                      378                      7.611469798899983E-5
0.5                      379                      7.612278005029962E-5
0.5                      380                      7.613115193996161E-5
0.5                      381                      7.613981365798582E-5
0.5                      382                      7.614876520437221E-5
0.5                      383                      7.615800657912076E-5
0.5                      384                      7.616753778223157E-5
0.5                      385                      7.617735881370454E-5
0.5                      386                      7.618746967353973E-5
0.5                      387                      7.619787036173714E-5
0.5                      388                      7.620856087829666E-5
0.5                      389                      7.621954122321845E-5
0.5                      390                      7.623081139650242E-5
0.5                      391                      7.624237139814858E-5
0.5                      392                      7.625422122815693E-5
0.5                      393                      7.626379647351416E-5
0.5                      394                      7.627323650629735E-5
0.5                      395                      7.62827393545337E-5
0.5                      396                      7.629230501822329E-5
0.5                      397                      7.630193349736609E-5
0.5                      398                      7.631162479196206E-5
0.5                      399                      7.632137890201129E-5
0.5                      400                      7.633119582751364E-5
0.5                      401                      7.634107556846925E-5
0.5                      402                      7.635101812487806E-5
0.5                      403                      7.636102349674002E-5
0.5                      404                      7.637109168405521E-5
0.5                      405                      7.638122268682365E-5
0.5                      406                      7.639141650504522E-5
0.5                      407                      7.640167313871999E-5
0.5                      408                      7.641199258784804E-5
0.5                      409                      7.642237485242923E-5
0.5                      410                      7.643281993246368E-5
0.5                      411                      7.644332782795125E-5
0.5                      412                      7.645389853889209E-5
0.5                      413                      7.646453206528608E-5
0.5                      414                      7.64752284071333E-5
0.5                      415                      7.64859875644337E-5
0.5                      416                      7.6495919781327E-5
0.5                      417                      7.650465655091374E-5
0.5                      418                      7.651328676469506E-5
0.5                      419                      7.652181042267086E-5
0.5                      420                      7.653022752484121E-5
0.5                      421                      7.653853807120604E-5
0.5                      422                      7.654674206176545E-5
0.5                      423                      7.655483949651939E-5
0.5                      424                      7.656283037546788E-5
0.5                      425                      7.657071469861087E-5
0.5                      426                      7.657849246594838E-5
0.5                      427                      7.658616367748045E-5
0.5                      428                      7.659372833320702E-5
0.5                      429                      7.660118643312817E-5
0.5                      430                      7.660853797724382E-5
0.5                      431                      7.661578296555399E-5
0.5                      432                      7.662292139805873E-5
0.5                      433                      7.662995327475797E-5
0.5                      434                      7.663687859565175E-5
0.5                      435                      7.664369736074004E-5
0.5                      436                      7.665040957002288E-5
0.5                      437                      7.665701522350023E-5
0.5                      438                      7.666351432117215E-5
0.5                      439                      7.666990686303858E-5
0.5                      440                      7.667733285244279E-5
0.5                      441                      7.668480437092374E-5
0.5                      442                      7.669226724899441E-5
0.5                      443                      7.669972148665477E-5
0.5                      444                      7.670716708390483E-5
0.5                      445                      7.671460404074456E-5
0.5                      446                      7.6722032357174E-5
0.5                      447                      7.672945203319315E-5
0.5                      448                      7.673686306880199E-5
0.5                      449                      7.674426546400054E-5
0.5                      450                      7.675165921878873E-5
0.5                      451                      7.675904433316667E-5
0.5                      452                      7.676642080713429E-5
0.5                      453                      7.67737886406916E-5
0.5                      454                      7.678114783383864E-5
0.5                      455                      7.678849838657533E-5
0.5                      456                      7.679584029890174E-5
0.5                      457                      7.680317357081786E-5
0.5                      458                      7.681049820232368E-5
0.5                      459                      7.681781419341915E-5
0.5                      460                      7.682512154410435E-5
0.5                      461                      7.683242025437927E-5
0.5                      462                      7.683971032424384E-5
0.5                      463                      7.684737253676299E-5
0.5                      464                      7.685551164405097E-5
0.5                      465                      7.686371027331527E-5
0.5                      466                      7.68719684245559E-5
0.5                      467                      7.688028609777283E-5
0.5                      468                      7.688866329296611E-5
0.5                      469                      7.689710001013569E-5
0.5                      470                      7.69055962492816E-5
0.5                      471                      7.691415201040379E-5
0.5                      472                      7.692276729350233E-5
0.5                      473                      7.693144209857717E-5
0.5                      474                      7.694017642562832E-5
0.5                      475                      7.694897027465578E-5
0.5                      476                      7.695782364565963E-5
0.5                      477                      7.696673653863971E-5
0.5                      478                      7.697570895359619E-5
0.5                      479                      7.698474089052892E-5
0.5                      480                      7.699383234943799E-5
0.5                      481                      7.700298333032341E-5
0.5                      482                      7.701219383318513E-5
0.5                      483                      7.702146385802313E-5
0.5                      484                      7.703079340483747E-5
0.5                      485                      7.704018247362815E-5
0.5                      486                      7.704963106439513E-5
0.5                      487                      7.705907883404179E-5
0.5                      488                      7.706857991823006E-5
0.5                      489                      7.707813549156385E-5
0.5                      490                      7.708774555404323E-5
0.5                      491                      7.709741010566816E-5
0.5                      492                      7.710712914643865E-5
0.5                      493                      7.71169026763547E-5
0.5                      494                      7.712673069541633E-5
0.5                      495                      7.71366132036235E-5
0.5                      496                      7.714655020097626E-5
0.5                      497                      7.715654168747456E-5
0.5                      498                      7.716658766311842E-5
0.5                      499                      7.717668812790783E-5
0.5                      500                      7.718684308184279E-5
0.5                      501                      7.719705252492335E-5
0.5                      502                      7.72073164571494E-5
0.5                      503                      7.72176348785211E-5
0.5                      504                      7.722800778903834E-5
0.5                      505                      7.723843518870108E-5
0.5                      506                      7.724891707750946E-5
0.5                      507                      7.725945345546335E-5
0.5                      508                      7.72700443225628E-5
0.5                      509                      7.728068967880786E-5
0.5                      510                      7.729141007308183E-5
0.5                      511                      7.730220861665107E-5
0.5                      512                      7.731306512029702E-5
0.5                      513                      7.732397958401977E-5
0.5                      514                      7.733495200781923E-5
0.5                      515                      7.734598239169548E-5
0.5                      516                      7.735707073564846E-5
0.5                      517                      7.73682170396782E-5
0.5                      518                      7.73794213037847E-5
0.5                      519                      7.739068352796797E-5
0.5                      520                      7.7402003712228E-5
0.5                      521                      7.741338185656475E-5
0.5                      522                      7.74248179609783E-5
0.5                      523                      7.743631202546855E-5
0.5                      524                      7.744786405003557E-5
0.5                      525                      7.745947403467941E-5
0.5                      526                      7.747114197939993E-5
0.5                      527                      7.748286788419724E-5
0.5                      528                      7.749465174907131E-5
0.5                      529                      7.750649357402211E-5
0.5                      530                      7.751839335904965E-5
0.5                      531                      7.753035110415397E-5
0.5                      532                      7.754236680933505E-5
0.5                      533                      7.755444553875079E-5
0.5                      534                      7.756728864532749E-5
0.5                      535                      7.758024778926414E-5
0.5                      536                      7.759332297056078E-5
0.5                      537                      7.760651418921738E-5
0.5                      538                      7.761982144523398E-5
0.5                      539                      7.763324473861047E-5
0.5                      540                      7.7646784069347E-5
0.5                      541                      7.766043943744348E-5
0.5                      542                      7.767421084289994E-5
0.5                      543                      7.768809828571639E-5
0.5                      544                      7.770210176589276E-5
0.5                      545                      7.771622128342917E-5
0.5                      546                      7.773045683832549E-5
0.5                      547                      7.774480843058178E-5
0.5                      548                      7.77592760601981E-5
0.5                      549                      7.777385972717437E-5
0.5                      550                      7.778855943151058E-5
0.5                      551                      7.780337517320679E-5
0.5                      552                      7.781830695226297E-5
0.5                      553                      7.783335476867911E-5
0.5                      554                      7.784851862245525E-5
0.5                      555                      7.786379851359135E-5
0.5                      556                      7.78791944420874E-5
0.5                      557                      7.789470640794344E-5
0.5                      558                      7.791033441115943E-5
0.5                      559                      7.792607845173544E-5
0.5                      560                      7.794193852967138E-5
0.5                      561                      7.79579146449673E-5
0.5                      562                      7.797400679762317E-5
0.5                      563                      7.799021498763905E-5
0.5                      564                      7.800653921501488E-5
0.5                      565                      7.802297947975068E-5
0.5                      566                      7.803953578184646E-5
0.5                      567                      7.80562081213022E-5
0.5                      568                      7.80729964981179E-5
0.5                      569                      7.80899009122936E-5
0.5                      570                      7.81069213638293E-5
0.5                      571                      7.812405785272492E-5
0.5                      572                      7.814131037898054E-5
0.5                      573                      7.815867894259608E-5
0.5                      574                      7.817616354357169E-5
0.5                      575                      7.819376418190718E-5
0.5                      576                      7.821148085760269E-5
0.5                      577                      7.822931357065817E-5
0.5                      578                      7.824726232107358E-5
0.5                      579                      7.826532710884901E-5
0.5                      580                      7.82835046404462E-5
0.5                      581                      7.830170460288047E-5
0.5                      582                      7.832001656871535E-5
0.5                      583                      7.833844053795083E-5
0.5                      584                      7.835697651058685E-5
0.5                      585                      7.837562448662357E-5
0.5                      586                      7.839438446606082E-5
0.5                      587                      7.841325644889868E-5
0.5                      588                      7.843224043513716E-5
0.5                      589                      7.845133642477627E-5
0.5                      590                      7.84705444178159E-5
0.5                      591                      7.84898644142562E-5
0.5                      592                      7.850929641409709E-5
0.5                      593                      7.852884041733856E-5
0.5                      594                      7.854849642398064E-5
0.5                      595                      7.856826443402334E-5
0.5                      596                      7.85881444474666E-5
0.5                      597                      7.860813646431052E-5
0.5                      598                      7.862824048455497E-5
0.5                      599                      7.864845650820007E-5
0.5                      600                      7.866878453524577E-5
0.5                      601                      7.868922456569207E-5
0.5                      602                      7.870977659953897E-5
0.5                      603                      7.873044063678643E-5
0.5                      604                      7.875121667743456E-5
0.5                      605                      7.877210472148325E-5
0.5                      606                      7.879310476893257E-5
0.5                      607                      7.881421681978249E-5
0.5                      608                      7.883544087403299E-5
0.5                      609                      7.885677693168409E-5
0.5                      610                      7.887822499273577E-5
0.5                      611                      7.889978505718813E-5
0.5                      612                      7.892145712504101E-5
