% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:14
% Table:              tce_retention_mass_0.02 - tce_outflow_mass_Inte (tce_outflow_Inte)
% Q_inject_design        t (s)                    tce_retention_mass (mol/m)
0.02                     75                       2.3215566111577373E-4
0.02                     76                       2.3209163615941765E-4
0.02                     77                       2.320269181646403E-4
0.02                     78                       2.319614766649635E-4
0.02                     79                       2.3189531166038766E-4
0.02                     80                       2.3182842594276357E-4
0.02                     81                       2.3176087990552118E-4
0.02                     82                       2.3169263465597602E-4
0.02                     83                       2.3162369019412958E-4
0.02                     84                       2.3155404651998136E-4
0.02                     85                       2.3148374468894348E-4
0.02                     86                       2.3141277849754704E-4
0.02                     87                       2.313411354917797E-4
0.02                     88                       2.312688156716411E-4
0.02                     89                       2.3119583860379398E-4
0.02                     90                       2.3112222875949336E-4
0.02                     91                       2.3104796287215344E-4
0.02                     92                       2.3097304094177375E-4
0.02                     93                       2.3089746602726954E-4
0.02                     94                       2.30821285008818E-4
0.02                     95                       2.3074446732338484E-4
0.02                     96                       2.306670129709707E-4
0.02                     97                       2.3058892195157451E-4
0.02                     98                       2.3051022858212807E-4
0.02                     99                       2.30430926149137E-4
0.02                     100                      2.3035100521652543E-4
0.02                     101                      2.3027046578429376E-4
0.02                     102                      2.30189324818255E-4
0.02                     103                      2.3010760110708702E-4
0.02                     104                      2.3002527600534344E-4
0.02                     105                      2.2994234951302384E-4
0.02                     106                      2.2985882720124177E-4
0.02                     107                      2.2977477420362658E-4
0.02                     108                      2.2969014750651932E-4
0.02                     109                      2.2960494710992072E-4
0.02                     110                      2.2951917301382996E-4
0.02                     111                      2.2943282521824775E-4
0.02                     112                      2.2934590372317403E-4
0.02                     113                      2.2925840852860806E-4
0.02                     114                      2.291703396345507E-4
0.02                     115                      2.290817317268705E-4
0.02                     116                      2.2899260729747657E-4
0.02                     117                      2.2890292661930978E-4
0.02                     118                      2.2881268969236952E-4
0.02                     119                      2.287218965166563E-4
0.02                     120                      2.2863054709216997E-4
0.02                     121                      2.2853864141891042E-4
0.02                     122                      2.2844617949687766E-4
0.02                     123                      2.283532323114968E-4
0.02                     124                      2.2825978867328046E-4
0.02                     125                      2.2816581471921357E-4
0.02                     126                      2.280713104492957E-4
0.02                     127                      2.279762758635271E-4
0.02                     128                      2.2788071096190748E-4
0.02                     129                      2.2778461574443696E-4
0.02                     130                      2.276879902111157E-4
0.02                     131                      2.2759092308550594E-4
0.02                     132                      2.2749336221678724E-4
0.02                     133                      2.2739529487710304E-4
0.02                     134                      2.2729672106645382E-4
0.02                     135                      2.271976407848387E-4
0.02                     136                      2.270980540322584E-4
0.02                     137                      2.2699796080871262E-4
0.02                     138                      2.268973675095681E-4
0.02                     139                      2.26796362272669E-4
0.02                     140                      2.2669487316302398E-4
0.02                     141                      2.2659290018063225E-4
0.02                     142                      2.2649044332549392E-4
0.02                     143                      2.263875025976094E-4
0.02                     144                      2.2628407799697836E-4
0.02                     145                      2.2618016952360078E-4
0.02                     146                      2.2607580204011535E-4
0.02                     147                      2.2597102743540897E-4
0.02                     148                      2.2586579068061512E-4
0.02                     149                      2.257600917757337E-4
0.02                     150                      2.2565393072076527E-4
0.02                     151                      2.2554730751570928E-4
0.02                     152                      2.2544022216056534E-4
0.02                     153                      2.2533267465533463E-4
0.02                     154                      2.2522470872984654E-4
0.02                     155                      2.2511634117902864E-4
0.02                     156                      2.2500753280081193E-4
0.02                     157                      2.248982835951967E-4
0.02                     158                      2.24788593562183E-4
0.02                     159                      2.2467846270177036E-4
0.02                     160                      2.2456789101395934E-4
0.02                     161                      2.244568784987496E-4
0.02                     162                      2.2434548944850802E-4
0.02                     163                      2.2423370452545285E-4
0.02                     164                      2.2412150019197682E-4
0.02                     165                      2.24008876448079E-4
0.02                     166                      2.2389583329376016E-4
0.02                     167                      2.237823707290201E-4
0.02                     168                      2.2366848875385821E-4
0.02                     169                      2.2355418736827546E-4
0.02                     170                      2.2343955427658275E-4
0.02                     171                      2.23324530617893E-4
0.02                     172                      2.2320910948706127E-4
0.02                     173                      2.2309329088408727E-4
0.02                     174                      2.2297707480897132E-4
0.02                     175                      2.2286046126171317E-4
0.02                     176                      2.2274345024231304E-4
0.02                     177                      2.2262605344746322E-4
0.02                     178                      2.2250835038026615E-4
0.02                     179                      2.2239027258497498E-4
0.02                     180                      2.2227182006158912E-4
0.02                     181                      2.2215299281010896E-4
0.02                     182                      2.2203379083053483E-4
0.02                     183                      2.2191421412286584E-4
0.02                     184                      2.2179426268710274E-4
0.02                     185                      2.216739693672338E-4
0.02                     186                      2.2155338052939633E-4
0.02                     187                      2.2143244062511883E-4
0.02                     188                      2.2131114965440196E-4
0.02                     189                      2.2118950761724538E-4
0.02                     190                      2.2106751451364908E-4
