% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:38
% Table:              tce_retention_mass_0.1 - tce_outflow_mass_Inte (tce_outflow_Inte)
% Q_inject_design        t (s)                    tce_retention_mass (mol/m)
0.1                      0                        2.343942897058047E-4
0.1                      1                        2.3439428734702117E-4
0.1                      2                        2.343943502984868E-4
0.1                      3                        2.343940701750418E-4
0.1                      4                        2.3438858087071425E-4
0.1                      5                        2.3436992446694785E-4
0.1                      6                        2.343321044779617E-4
0.1                      7                        2.3427322438338225E-4
0.1                      8                        2.341938955152642E-4
0.1                      9                        2.3409606168327694E-4
0.1                      10                       2.339821132176085E-4
0.1                      11                       2.3385369372571447E-4
0.1                      12                       2.3371243599878004E-4
0.1                      13                       2.3355975674502514E-4
0.1                      14                       2.3339682309069087E-4
0.1                      15                       2.3322457529174288E-4
0.1                      16                       2.3304376917337828E-4
0.1                      17                       2.3285503217751658E-4
0.1                      18                       2.3265883011689437E-4
0.1                      19                       2.3245554663880547E-4
0.1                      20                       2.3224549827785115E-4
0.1                      21                       2.3202895299183983E-4
0.1                      22                       2.318061464987549E-4
0.1                      23                       2.3157729121052624E-4
0.1                      24                       2.3134257993974322E-4
0.1                      25                       2.3110226754603956E-4
0.1                      26                       2.3085639884163204E-4
0.1                      27                       2.3060516374573815E-4
0.1                      28                       2.3034866582178097E-4
0.1                      29                       2.3008704340599415E-4
0.1                      30                       2.2982051313038545E-4
0.1                      31                       2.2954908033513604E-4
0.1                      32                       2.292728892922076E-4
0.1                      33                       2.2899199940329027E-4
0.1                      34                       2.2870643723179004E-4
0.1                      35                       2.2841625343015778E-4
0.1                      36                       2.2812144456329326E-4
0.1                      37                       2.2782202245975387E-4
0.1                      38                       2.2751799165500103E-4
0.1                      39                       2.272093566915771E-4
0.1                      40                       2.268961311625119E-4
0.1                      41                       2.2657835383639875E-4
0.1                      42                       2.2625604763454392E-4
0.1                      43                       2.2592930140905758E-4
0.1                      44                       2.2559818360081E-4
0.1                      45                       2.2526277036863845E-4
0.1                      46                       2.2492327468744572E-4
0.1                      47                       2.2457974553479675E-4
0.1                      48                       2.2423238957640016E-4
0.1                      49                       2.2388142646597407E-4
0.1                      50                       2.235269531340887E-4
0.1                      51                       2.2316928050200875E-4
0.1                      52                       2.2280853847216124E-4
0.1                      53                       2.2244490075175045E-4
0.1                      54                       2.2207869061165284E-4
0.1                      55                       2.2170994049827523E-4
0.1                      56                       2.2133888763431315E-4
0.1                      57                       2.2096564797380883E-4
0.1                      58                       2.2059037752668827E-4
0.1                      59                       2.2021320648081988E-4
