% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:34
% Table:              np_outflow_concentraion0 - np_outflow_concentraion (np_outflow_concentraion)
% lowPM_per              t (s)                    np_outflow_concentraion (mol/(m*s))
1.0E-12                  0                        4.712687449427995E-36
1.0E-12                  1                        2.0527706983074158E-32
1.0E-12                  2                        1.2222532622782887E-30
1.0E-12                  3                        1.854903264153729E-30
1.0E-12                  4                        -9.595178000384422E-29
1.0E-12                  5                        4.71849116870714E-28
1.0E-12                  6                        -2.688498876030113E-28
1.0E-12                  7                        -2.9826177441909167E-27
1.0E-12                  8                        1.555902172845474E-26
1.0E-12                  9                        -9.331827983749662E-27
1.0E-12                  10                       -4.83607468913939E-26
1.0E-12                  11                       1.4434074340328337E-26
1.0E-12                  12                       1.0569664819874943E-25
1.0E-12                  13                       7.294254761726714E-27
1.0E-12                  14                       -2.700006847263897E-25
1.0E-12                  15                       -3.3075242919786024E-25
1.0E-12                  16                       2.3312221217199074E-25
1.0E-12                  17                       1.3255538315644264E-24
1.0E-12                  18                       2.2434364171965783E-24
1.0E-12                  19                       1.881518194114361E-24
1.0E-12                  20                       -9.395079713274061E-25
1.0E-12                  21                       -6.868276037200927E-24
1.0E-12                  22                       -1.522197996879118E-23
1.0E-12                  23                       -2.2805260417555488E-23
1.0E-12                  24                       -2.2821960853912725E-23
1.0E-12                  25                       -5.447700061886943E-24
1.0E-12                  26                       2.9252574595606265E-23
1.0E-12                  27                       7.842649511512123E-23
1.0E-12                  28                       1.3712772155621034E-22
1.0E-12                  29                       2.0037557406408816E-22
1.0E-12                  30                       2.584776746078386E-22
1.0E-12                  31                       3.009283345085468E-22
1.0E-12                  32                       2.9954784154339764E-22
1.0E-12                  33                       9.077362604901882E-23
1.0E-12                  34                       -4.535455046457392E-22
1.0E-12                  35                       -1.8966069753124734E-21
1.0E-12                  36                       -4.6268844500681585E-21
1.0E-12                  37                       -9.092926934351729E-21
1.0E-12                  38                       -1.5192678121762485E-20
1.0E-12                  39                       -2.1298984747453012E-20
1.0E-12                  40                       -2.4093347135961675E-20
1.0E-12                  41                       -9.515696059608396E-21
1.0E-12                  42                       3.38804108846874E-20
1.0E-12                  43                       1.5609470066049984E-19
1.0E-12                  44                       4.3171830593924265E-19
1.0E-12                  45                       9.368528246182738E-19
1.0E-12                  46                       2.0671774394798207E-18
1.0E-12                  47                       4.0408671020063885E-18
1.0E-12                  48                       7.497381462463336E-18
1.0E-12                  49                       1.3481089911983381E-17
1.0E-12                  50                       2.2288166007596157E-17
1.0E-12                  51                       3.453148693979564E-17
1.0E-12                  52                       4.6175178298178374E-17
1.0E-12                  53                       5.360876924704295E-17
1.0E-12                  54                       1.9866507493256108E-17
1.0E-12                  55                       -9.696541588701183E-17
1.0E-12                  56                       -3.9623331808425684E-16
1.0E-12                  57                       -1.2285700829261736E-15
1.0E-12                  58                       -2.747018289569176E-15
1.0E-12                  59                       -5.6237442236956976E-15
1.0E-12                  60                       -1.1012736155740157E-14
1.0E-12                  61                       -2.059726014762596E-14
1.0E-12                  62                       -3.685727100568509E-14
1.0E-12                  63                       -6.292880081328857E-14
1.0E-12                  64                       -1.0262689393043078E-13
1.0E-12                  65                       -1.5876987920237265E-13
1.0E-12                  66                       -2.3077646546855263E-13
1.0E-12                  67                       -3.078255403781256E-13
1.0E-12                  68                       -2.665271262204231E-13
1.0E-12                  69                       -7.78905337472027E-14
1.0E-12                  70                       4.713978793201692E-13
1.0E-12                  71                       1.7757341498294422E-12
1.0E-12                  72                       4.4042333036722635E-12
1.0E-12                  73                       9.616235181903934E-12
1.0E-12                  74                       1.9508063969106267E-11
1.0E-12                  75                       3.7384205789222666E-11
1.0E-12                  76                       6.859497674999455E-11
1.0E-12                  77                       1.210158754498071E-10
1.0E-12                  78                       2.073113569900551E-10
1.0E-12                  79                       3.464766732295449E-10
1.0E-12                  80                       5.653561638271113E-10
1.0E-12                  81                       9.01714577667528E-10
1.0E-12                  82                       1.4085988706935843E-9
1.0E-12                  83                       2.1610486873080353E-9
1.0E-12                  84                       3.2635592833013224E-9
1.0E-12                  85                       4.856793885711789E-9
1.0E-12                  86                       7.1271187845184965E-9
1.0E-12                  87                       1.0318662552654785E-8
1.0E-12                  88                       1.4806239479342143E-8
1.0E-12                  89                       2.096604051301991E-8
1.0E-12                  90                       2.9310119248718517E-8
1.0E-12                  91                       4.0480988799484514E-8
1.0E-12                  92                       5.5253383393489366E-8
1.0E-12                  93                       7.453869288528457E-8
1.0E-12                  94                       9.940231383773057E-8
1.0E-12                  95                       1.3108578435472183E-7
1.0E-12                  96                       1.7105933872585557E-7
1.0E-12                  97                       2.2093407168003366E-7
1.0E-12                  98                       2.8245719213515494E-7
1.0E-12                  99                       3.5752572256552593E-7
1.0E-12                  100                      4.4812200951822985E-7
1.0E-12                  101                      5.562433225446586E-7
1.0E-12                  102                      6.838540683325341E-7
1.0E-12                  103                      8.336286056614035E-7
1.0E-12                  104                      1.0061961251436778E-6
1.0E-12                  105                      1.2033271002188426E-6
1.0E-12                  106                      1.4256092295104037E-6
1.0E-12                  107                      1.6741423280030157E-6
1.0E-12                  108                      1.949377851779526E-6
1.0E-12                  109                      2.2507841432088735E-6
1.0E-12                  110                      2.577703224674502E-6
1.0E-12                  111                      2.9278270732722842E-6
1.0E-12                  112                      3.299849858961493E-6
1.0E-12                  113                      3.689239760193231E-6
1.0E-12                  114                      4.088665391139679E-6
1.0E-12                  115                      4.4933520521533665E-6
1.0E-12                  116                      4.9055471304547995E-6
1.0E-12                  117                      5.317379073542115E-6
1.0E-12                  118                      5.723298194184099E-6
1.0E-12                  119                      6.12854724728107E-6
1.0E-12                  120                      6.52737849143178E-6
1.0E-12                  121                      6.909171955056669E-6
1.0E-12                  122                      7.281236636060522E-6
1.0E-12                  123                      7.641904297512928E-6
1.0E-12                  124                      7.983087349861437E-6
1.0E-12                  125                      8.309529258728558E-6
1.0E-12                  126                      8.621171629651174E-6
1.0E-12                  127                      8.91597939756873E-6
1.0E-12                  128                      9.195029563286214E-6
1.0E-12                  129                      9.458322126803632E-6
1.0E-12                  130                      9.708772936517304E-6
1.0E-12                  131                      9.945436753568247E-6
1.0E-12                  132                      1.016799667981076E-5
1.0E-12                  133                      1.0380882296299008E-5
1.0E-12                  134                      1.0584209750164891E-5
1.0E-12                  135                      1.0776647187631596E-5
1.0E-12                  136                      1.096128513946246E-5
1.0E-12                  137                      1.1139915776340154E-5
1.0E-12                  138                      1.1310687458202792E-5
1.0E-12                  139                      1.1475299739561718E-5
1.0E-12                  140                      1.163645748773596E-5
1.0E-12                  141                      1.1792229187462275E-5
1.0E-12                  142                      1.1942614838740662E-5
1.0E-12                  143                      1.2087614441571117E-5
1.0E-12                  144                      1.2227227995953655E-5
1.0E-12                  145                      1.2361543534231389E-5
1.0E-12                  146                      1.2492016880468884E-5
1.0E-12                  147                      1.2617542258651486E-5
1.0E-12                  148                      1.2738119668779178E-5
1.0E-12                  149                      1.285374911085197E-5
1.0E-12                  150                      1.296443058486986E-5
1.0E-12                  151                      1.307016409083285E-5
1.0E-12                  152                      1.3171922566302725E-5
1.0E-12                  153                      1.3269401692797373E-5
1.0E-12                  154                      1.3362305868305862E-5
1.0E-12                  155                      1.3450635092828193E-5
1.0E-12                  156                      1.3534389366364364E-5
1.0E-12                  157                      1.3613568688914375E-5
1.0E-12                  158                      1.3688844972285502E-5
1.0E-12                  159                      1.3760836791794479E-5
1.0E-12                  160                      1.3828735062873076E-5
1.0E-12                  161                      1.3892539785521282E-5
1.0E-12                  162                      1.3952250959739095E-5
1.0E-12                  163                      1.4007868585526525E-5
1.0E-12                  164                      1.4059629364079458E-5
1.0E-12                  165                      1.411013962551423E-5
1.0E-12                  166                      1.4157377144168995E-5
1.0E-12                  167                      1.420134192004374E-5
1.0E-12                  168                      1.4242033953138466E-5
1.0E-12                  169                      1.4279453243453177E-5
1.0E-12                  170                      1.4313599790987869E-5
1.0E-12                  171                      1.4347096139105472E-5
1.0E-12                  172                      1.4378975809688907E-5
1.0E-12                  173                      1.440854905415441E-5
1.0E-12                  174                      1.4435815872501979E-5
1.0E-12                  175                      1.4460776264731623E-5
1.0E-12                  176                      1.4483430230843334E-5
1.0E-12                  177                      1.4505070525213257E-5
1.0E-12                  178                      1.4526665528247104E-5
1.0E-12                  179                      1.4546820185995537E-5
1.0E-12                  180                      1.4565534498458563E-5
1.0E-12                  181                      1.4582808465636175E-5
1.0E-12                  182                      1.4598642087528383E-5
1.0E-12                  183                      1.4613312004345329E-5
1.0E-12                  184                      1.4629041448392285E-5
1.0E-12                  185                      1.4644065253113594E-5
1.0E-12                  186                      1.4658383418509257E-5
1.0E-12                  187                      1.4671995944579282E-5
1.0E-12                  188                      1.468490283132366E-5
1.0E-12                  189                      1.4697104078742393E-5
1.0E-12                  190                      1.4708599686835484E-5
1.0E-12                  191                      1.4719389655602935E-5
1.0E-12                  192                      1.4729473985044738E-5
1.0E-12                  193                      1.47388526751609E-5
1.0E-12                  194                      1.4747525725951413E-5
1.0E-12                  195                      1.4755493137416285E-5
1.0E-12                  196                      1.4763433845708974E-5
1.0E-12                  197                      1.4771602246366917E-5
1.0E-12                  198                      1.4779286091092416E-5
1.0E-12                  199                      1.4786485379885458E-5
1.0E-12                  200                      1.4793200112746053E-5
1.0E-12                  201                      1.4799430289674195E-5
1.0E-12                  202                      1.4805175910669896E-5
1.0E-12                  203                      1.4810436975733137E-5
1.0E-12                  204                      1.4815213484863935E-5
1.0E-12                  205                      1.4819505438062274E-5
1.0E-12                  206                      1.4823312835328164E-5
1.0E-12                  207                      1.4826635676661603E-5
1.0E-12                  208                      1.4829473962062587E-5
1.0E-12                  209                      1.4833019724696113E-5
1.0E-12                  210                      1.4836539853013328E-5
1.0E-12                  211                      1.4839791408477641E-5
1.0E-12                  212                      1.4842774391089042E-5
1.0E-12                  213                      1.4845488800847538E-5
1.0E-12                  214                      1.484793463775311E-5
1.0E-12                  215                      1.4850111901805784E-5
1.0E-12                  216                      1.4852020593005536E-5
1.0E-12                  217                      1.4853660711352386E-5
1.0E-12                  218                      1.4855032256846324E-5
1.0E-12                  219                      1.4856135229487345E-5
1.0E-12                  220                      1.4856969629275466E-5
1.0E-12                  221                      1.4857691680502045E-5
1.0E-12                  222                      1.4858986536527604E-5
1.0E-12                  223                      1.4860155431277632E-5
1.0E-12                  224                      1.4861198364752139E-5
1.0E-12                  225                      1.4862115336951128E-5
1.0E-12                  226                      1.4862906347874586E-5
1.0E-12                  227                      1.4863571397522513E-5
1.0E-12                  228                      1.4864110485894919E-5
1.0E-12                  229                      1.4864523612991799E-5
1.0E-12                  230                      1.486481077881316E-5
1.0E-12                  231                      1.4864971983358987E-5
1.0E-12                  232                      1.486500722662929E-5
1.0E-12                  233                      1.4864916508624067E-5
1.0E-12                  234                      1.4865043591099901E-5
1.0E-12                  235                      1.4865435281600639E-5
1.0E-12                  236                      1.4865800966482434E-5
1.0E-12                  237                      1.4866140645745274E-5
1.0E-12                  238                      1.4866454319389168E-5
1.0E-12                  239                      1.4866741987414111E-5
1.0E-12                  240                      1.4867003649820099E-5
1.0E-12                  241                      1.4867239306607149E-5
1.0E-12                  242                      1.4867448957775243E-5
1.0E-12                  243                      1.4867632603324393E-5
1.0E-12                  244                      1.4867790243254586E-5
1.0E-12                  245                      1.486792187756583E-5
1.0E-12                  246                      1.486802750625813E-5
1.0E-12                  247                      1.4868107129331477E-5
1.0E-12                  248                      1.4868160746785875E-5
1.0E-12                  249                      1.4868188358621325E-5
1.0E-12                  250                      1.4868189964837826E-5
1.0E-12                  251                      1.4868165565435372E-5
1.0E-12                  252                      1.4868115160413973E-5
1.0E-12                  253                      1.4868038749773622E-5
1.0E-12                  254                      1.4867936333514324E-5
1.0E-12                  255                      1.4867807911636082E-5
1.0E-12                  256                      1.486765348413888E-5
1.0E-12                  257                      1.4867473051022734E-5
1.0E-12                  258                      1.4867266612287638E-5
1.0E-12                  259                      1.4867087446673394E-5
1.0E-12                  260                      1.4867077272916107E-5
1.0E-12                  261                      1.486705965824142E-5
1.0E-12                  262                      1.4867034602649339E-5
1.0E-12                  263                      1.4867002106139848E-5
1.0E-12                  264                      1.486696216871296E-5
1.0E-12                  265                      1.4866914790368669E-5
1.0E-12                  266                      1.4866859971106987E-5
1.0E-12                  267                      1.48667977109279E-5
1.0E-12                  268                      1.4866728009831414E-5
1.0E-12                  269                      1.486665086781753E-5
1.0E-12                  270                      1.4866566284886233E-5
1.0E-12                  271                      1.4866474261037546E-5
1.0E-12                  272                      1.4866374796271458E-5
1.0E-12                  273                      1.4866267890587966E-5
1.0E-12                  274                      1.486615354398708E-5
1.0E-12                  275                      1.4866031756468787E-5
1.0E-12                  276                      1.4865902528033097E-5
1.0E-12                  277                      1.4865765858680006E-5
1.0E-12                  278                      1.4865621748409513E-5
1.0E-12                  279                      1.4865470197221623E-5
1.0E-12                  280                      1.4865311205116324E-5
1.0E-12                  281                      1.4865144772093635E-5
1.0E-12                  282                      1.4864970898153544E-5
1.0E-12                  283                      1.4864789583296051E-5
1.0E-12                  284                      1.4864600827521159E-5
1.0E-12                  285                      1.4864607682600668E-5
1.0E-12                  286                      1.4864639046142769E-5
1.0E-12                  287                      1.4864679663667617E-5
1.0E-12                  288                      1.48647295351752E-5
1.0E-12                  289                      1.486478866066552E-5
1.0E-12                  290                      1.4864857040138589E-5
1.0E-12                  291                      1.4864934673594393E-5
1.0E-12                  292                      1.486502156103294E-5
1.0E-12                  293                      1.4865117702454226E-5
1.0E-12                  294                      1.486522309785825E-5
1.0E-12                  295                      1.4865337747245018E-5
1.0E-12                  296                      1.4865461650614528E-5
1.0E-12                  297                      1.486559480796677E-5
1.0E-12                  298                      1.4865737219301757E-5
1.0E-12                  299                      1.4865888884619489E-5
1.0E-12                  300                      1.486604980391995E-5
1.0E-12                  301                      1.4866219977203158E-5
1.0E-12                  302                      1.4866399404469108E-5
1.0E-12                  303                      1.4866588085717798E-5
1.0E-12                  304                      1.4866786020949223E-5
1.0E-12                  305                      1.4866993210163392E-5
1.0E-12                  306                      1.4867209653360302E-5
1.0E-12                  307                      1.4867435350539947E-5
1.0E-12                  308                      1.4867670301702337E-5
1.0E-12                  309                      1.486791450684747E-5
1.0E-12                  310                      1.4868139705472668E-5
1.0E-12                  311                      1.4868354756383168E-5
1.0E-12                  312                      1.4868575602200949E-5
1.0E-12                  313                      1.4868802242926018E-5
1.0E-12                  314                      1.4869034678558373E-5
1.0E-12                  315                      1.4869272909098016E-5
1.0E-12                  316                      1.4869516934544938E-5
1.0E-12                  317                      1.4869766754899152E-5
1.0E-12                  318                      1.4870022370160645E-5
1.0E-12                  319                      1.4870283780329432E-5
1.0E-12                  320                      1.48705509854055E-5
1.0E-12                  321                      1.487082398538885E-5
1.0E-12                  322                      1.4871102780279493E-5
1.0E-12                  323                      1.4871387370077416E-5
1.0E-12                  324                      1.4871677754782624E-5
1.0E-12                  325                      1.4871973934395118E-5
1.0E-12                  326                      1.48722759089149E-5
1.0E-12                  327                      1.4872583678341966E-5
1.0E-12                  328                      1.4872897242676316E-5
1.0E-12                  329                      1.4873216601917959E-5
1.0E-12                  330                      1.4873541756066874E-5
1.0E-12                  331                      1.4873872705123092E-5
1.0E-12                  332                      1.4874209449086581E-5
1.0E-12                  333                      1.4874551987957362E-5
1.0E-12                  334                      1.4874900321735425E-5
1.0E-12                  335                      1.4875222711074343E-5
1.0E-12                  336                      1.4875482326888066E-5
1.0E-12                  337                      1.48757402972317E-5
1.0E-12                  338                      1.4875996622105237E-5
1.0E-12                  339                      1.4876251301508687E-5
1.0E-12                  340                      1.4876504335442028E-5
1.0E-12                  341                      1.4876755723905292E-5
1.0E-12                  342                      1.4877005466898457E-5
1.0E-12                  343                      1.487725356442153E-5
1.0E-12                  344                      1.4877500016474506E-5
1.0E-12                  345                      1.4877744823057394E-5
1.0E-12                  346                      1.487798798417018E-5
1.0E-12                  347                      1.4878229499812875E-5
1.0E-12                  348                      1.4878469369985484E-5
1.0E-12                  349                      1.4878707594687991E-5
1.0E-12                  350                      1.4878944173920409E-5
1.0E-12                  351                      1.4879179107682732E-5
1.0E-12                  352                      1.4879412395974968E-5
1.0E-12                  353                      1.4879644038797098E-5
1.0E-12                  354                      1.4879874036149145E-5
1.0E-12                  355                      1.4880102388031098E-5
1.0E-12                  356                      1.4880329094442949E-5
1.0E-12                  357                      1.4880554155384715E-5
1.0E-12                  358                      1.488077757085638E-5
1.0E-12                  359                      1.4880999340857963E-5
1.0E-12                  360                      1.4881223725160355E-5
1.0E-12                  361                      1.4881566979679217E-5
1.0E-12                  362                      1.4881918052738816E-5
1.0E-12                  363                      1.4882276944339141E-5
1.0E-12                  364                      1.4882643654480208E-5
1.0E-12                  365                      1.4883018183162012E-5
1.0E-12                  366                      1.4883400530384539E-5
1.0E-12                  367                      1.4883790696147801E-5
1.0E-12                  368                      1.4884188680451798E-5
1.0E-12                  369                      1.488459448329653E-5
1.0E-12                  370                      1.4885008104681996E-5
1.0E-12                  371                      1.4885429544608194E-5
1.0E-12                  372                      1.4885858803075123E-5
1.0E-12                  373                      1.4886295880082789E-5
1.0E-12                  374                      1.488674077563119E-5
1.0E-12                  375                      1.4887193489720323E-5
1.0E-12                  376                      1.4887654022350183E-5
1.0E-12                  377                      1.4888122373520783E-5
1.0E-12                  378                      1.4888598543232117E-5
1.0E-12                  379                      1.4889082531484182E-5
1.0E-12                  380                      1.4889574338276981E-5
1.0E-12                  381                      1.4890073963610515E-5
1.0E-12                  382                      1.4890581407484782E-5
1.0E-12                  383                      1.489109666989978E-5
1.0E-12                  384                      1.4891619750855519E-5
1.0E-12                  385                      1.489215065035198E-5
1.0E-12                  386                      1.489265267268281E-5
1.0E-12                  387                      1.489314618047814E-5
1.0E-12                  388                      1.4893643688185457E-5
1.0E-12                  389                      1.489414519580477E-5
1.0E-12                  390                      1.4894650703336052E-5
1.0E-12                  391                      1.4895160210779326E-5
