% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:33
% Table:              np_outflow_concentraion0 - np_outflow_concentraion (np_outflow_concentraion)
% lowPM_per              t (s)                    np_outflow_concentraion (mol/(m*s))
1.0E-14                  0                        4.63434553446316E-36
1.0E-14                  1                        2.0214019713124357E-32
1.0E-14                  2                        1.2744609489594224E-30
1.0E-14                  3                        9.941148514166937E-31
1.0E-14                  4                        -9.324734271451008E-29
1.0E-14                  5                        4.415914586795647E-28
1.0E-14                  6                        -1.1572398576900743E-28
1.0E-14                  7                        -3.714526726513265E-27
1.0E-14                  8                        1.679736229321005E-26
1.0E-14                  9                        -3.768034439156965E-27
1.0E-14                  10                       -5.408312837017405E-26
1.0E-14                  11                       -8.475524578940319E-28
1.0E-14                  12                       1.1282470155203168E-25
1.0E-14                  13                       5.090471095739821E-26
1.0E-14                  14                       -2.5651432149255757E-25
1.0E-14                  15                       -4.588117932682184E-25
1.0E-14                  16                       -2.7504468285742996E-26
1.0E-14                  17                       1.230825933392659E-24
1.0E-14                  18                       2.836687377811197E-24
1.0E-14                  19                       3.624404730250049E-24
1.0E-14                  20                       1.845409864458043E-24
1.0E-14                  21                       -4.4374680961014836E-24
1.0E-14                  22                       -1.6345753108539983E-23
1.0E-14                  23                       -3.1979327477279535E-23
1.0E-14                  24                       -4.387917654959261E-23
1.0E-14                  25                       -3.3038764019764026E-23
1.0E-14                  26                       3.146433100292448E-24
1.0E-14                  27                       7.332198183681269E-23
1.0E-14                  28                       1.7877837541563697E-22
1.0E-14                  29                       3.2294134289242152E-22
1.0E-14                  30                       5.07343879885175E-22
1.0E-14                  31                       7.136530198917536E-22
1.0E-14                  32                       9.05301255381516E-22
1.0E-14                  33                       8.295037501575623E-22
1.0E-14                  34                       2.895343025243736E-22
1.0E-14                  35                       -1.569289503289868E-21
1.0E-14                  36                       -5.375911703657435E-21
1.0E-14                  37                       -1.1819848158396599E-20
1.0E-14                  38                       -2.0779049392261314E-20
1.0E-14                  39                       -2.9247167707036415E-20
1.0E-14                  40                       -3.129412142943744E-20
1.0E-14                  41                       2.1448047531219403E-21
1.0E-14                  42                       9.610460430815415E-20
1.0E-14                  43                       3.598346713628229E-19
1.0E-14                  44                       9.657083508287749E-19
1.0E-14                  45                       2.085704686081723E-18
1.0E-14                  46                       4.591610121884773E-18
1.0E-14                  47                       8.929831716414163E-18
1.0E-14                  48                       1.639295299800966E-17
1.0E-14                  49                       2.849752195437909E-17
1.0E-14                  50                       4.499594192380448E-17
1.0E-14                  51                       6.343099707657494E-17
1.0E-14                  52                       6.757944954199788E-17
1.0E-14                  53                       4.1905245289768997E-17
1.0E-14                  54                       -1.4367671279602942E-16
1.0E-14                  55                       -6.246420529396272E-16
1.0E-14                  56                       -1.713568535030935E-15
1.0E-14                  57                       -3.902293214741037E-15
1.0E-14                  58                       -8.187795914150115E-15
1.0E-14                  59                       -1.620080442749299E-14
1.0E-14                  60                       -3.042710772191803E-14
1.0E-14                  61                       -5.4904943255355125E-14
1.0E-14                  62                       -9.584033006138896E-14
1.0E-14                  63                       -1.5974063674562365E-13
1.0E-14                  64                       -2.538065968410204E-13
1.0E-14                  65                       -3.815195584321111E-13
1.0E-14                  66                       -5.355960866392184E-13
1.0E-14                  67                       -5.847107309952841E-13
1.0E-14                  68                       -4.635707367958574E-13
1.0E-14                  69                       1.297544276675734E-13
1.0E-14                  70                       1.6241131929136037E-12
1.0E-14                  71                       4.9176360232054524E-12
1.0E-14                  72                       1.1388528400367986E-11
1.0E-14                  73                       2.4037552279160484E-11
1.0E-14                  74                       4.730258408116252E-11
1.0E-14                  75                       8.742482252367047E-11
1.0E-14                  76                       1.5536320671920823E-10
1.0E-14                  77                       2.679536340650941E-10
1.0E-14                  78                       4.4906491848714864E-10
1.0E-14                  79                       7.329195440952677E-10
1.0E-14                  80                       1.1675409490946241E-9
1.0E-14                  81                       1.8322530962595165E-9
1.0E-14                  82                       2.814434962336489E-9
1.0E-14                  83                       4.250388858818103E-9
1.0E-14                  84                       6.324385840954107E-9
1.0E-14                  85                       9.265770750215546E-9
1.0E-14                  86                       1.3395184149807141E-8
1.0E-14                  87                       1.9079703495364674E-8
1.0E-14                  88                       2.684913898379753E-8
1.0E-14                  89                       3.729956993092536E-8
1.0E-14                  90                       5.120959825358473E-8
1.0E-14                  91                       6.950649954785146E-8
1.0E-14                  92                       9.32467669379006E-8
1.0E-14                  93                       1.2376056561920052E-7
1.0E-14                  94                       1.6240904741307708E-7
1.0E-14                  95                       2.1093806626250131E-7
1.0E-14                  96                       2.71440940133124E-7
1.0E-14                  97                       3.4578469355524936E-7
1.0E-14                  98                       4.3575753178921344E-7
1.0E-14                  99                       5.437109660030434E-7
1.0E-14                  100                      6.714386143894322E-7
1.0E-14                  101                      8.210122169049567E-7
1.0E-14                  102                      9.943493339473933E-7
1.0E-14                  103                      1.1932550146979634E-6
1.0E-14                  104                      1.4190108408169214E-6
1.0E-14                  105                      1.6724803238116426E-6
1.0E-14                  106                      1.9542903540101106E-6
1.0E-14                  107                      2.264447056415313E-6
1.0E-14                  108                      2.602020685657292E-6
1.0E-14                  109                      2.9619347577976155E-6
1.0E-14                  110                      3.343202381828844E-6
1.0E-14                  111                      3.742862195290747E-6
1.0E-14                  112                      4.153007449474572E-6
1.0E-14                  113                      4.577939566871171E-6
1.0E-14                  114                      5.002995388671843E-6
1.0E-14                  115                      5.429974662634829E-6
1.0E-14                  116                      5.85671250906236E-6
1.0E-14                  117                      6.271091880916957E-6
1.0E-14                  118                      6.679499037814679E-6
1.0E-14                  119                      7.072527600615661E-6
1.0E-14                  120                      7.450622683895048E-6
1.0E-14                  121                      7.81421964445967E-6
1.0E-14                  122                      8.158907000980828E-6
1.0E-14                  123                      8.486943743650166E-6
1.0E-14                  124                      8.797895197898932E-6
1.0E-14                  125                      9.091746235814918E-6
1.0E-14                  126                      9.369818078919102E-6
1.0E-14                  127                      9.637115626817555E-6
1.0E-14                  128                      9.891142985190468E-6
1.0E-14                  129                      1.0131900154037848E-5
1.0E-14                  130                      1.0359387133359693E-5
1.0E-14                  131                      1.0575389649353769E-5
1.0E-14                  132                      1.0787116091866364E-5
1.0E-14                  133                      1.098891926062876E-5
1.0E-14                  134                      1.1180799155640946E-5
1.0E-14                  135                      1.1362755776902932E-5
1.0E-14                  136                      1.1536202139943357E-5
1.0E-14                  137                      1.1708521447197567E-5
1.0E-14                  138                      1.1874121264677902E-5
1.0E-14                  139                      1.2033001592384365E-5
1.0E-14                  140                      1.2185162430316955E-5
1.0E-14                  141                      1.2331115365235906E-5
1.0E-14                  142                      1.247444873356805E-5
1.0E-14                  143                      1.2612525466208786E-5
1.0E-14                  144                      1.2745345563158115E-5
