% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:34
% Table:              np_outflow_concentraion0 - np_outflow_concentraion (np_outflow_concentraion)
% lowPM_per              t (s)                    np_outflow_concentraion (mol/(m*s))
1.0E-11                  0                        5.2235616091017836E-36
1.0E-11                  1                        2.063925156489063E-32
1.0E-11                  2                        8.05496307914434E-31
1.0E-11                  3                        5.6368808399198646E-30
1.0E-11                  4                        -9.095044311375963E-29
1.0E-11                  5                        5.339554559642731E-28
1.0E-11                  6                        -9.537812982714477E-28
1.0E-11                  7                        8.713053945805773E-28
1.0E-11                  8                        5.3749081137100996E-27
1.0E-11                  9                        -2.3249060076205768E-26
1.0E-11                  10                       -3.468011810456325E-27
1.0E-11                  11                       4.170896564147116E-26
1.0E-11                  12                       -4.143699856362662E-27
1.0E-11                  13                       -9.288025033854635E-26
1.0E-11                  14                       -6.626529348214466E-28
1.0E-11                  15                       2.34127279590137E-25
1.0E-11                  16                       1.4950352590197702E-25
1.0E-11                  17                       -4.688468291269774E-25
1.0E-11                  18                       -9.588968650867585E-25
1.0E-11                  19                       -4.81081146135233E-25
1.0E-11                  20                       1.0357570050208052E-24
1.0E-11                  21                       2.9492602738961627E-24
1.0E-11                  22                       4.439380363715271E-24
1.0E-11                  23                       3.2658630047678176E-24
1.0E-11                  24                       -1.991902629945179E-24
1.0E-11                  25                       -8.390094182349273E-24
1.0E-11                  26                       -1.3709837464802385E-23
1.0E-11                  27                       -1.0106128449036553E-23
1.0E-11                  28                       2.4352194739172268E-24
1.0E-11                  29                       2.2980026003878406E-23
1.0E-11                  30                       3.3285743607217414E-23
1.0E-11                  31                       2.5708583336716548E-23
1.0E-11                  32                       -1.442873080087289E-23
1.0E-11                  33                       -7.787848769672153E-23
1.0E-11                  34                       -1.5435984588084074E-22
1.0E-11                  35                       -2.1168498753149862E-22
1.0E-11                  36                       -2.595099819331294E-22
1.0E-11                  37                       -3.0695833438162167E-22
1.0E-11                  38                       -4.505202376910815E-22
1.0E-11                  39                       -6.506447939987076E-22
1.0E-11                  40                       -8.901530582922206E-22
1.0E-11                  41                       -5.641138724452554E-22
1.0E-11                  42                       5.396355347150087E-22
1.0E-11                  43                       3.2600862785348965E-21
1.0E-11                  44                       7.205015296122156E-21
1.0E-11                  45                       1.2022354456521878E-20
1.0E-11                  46                       1.4388607326646916E-20
1.0E-11                  47                       1.2232360389875009E-20
1.0E-11                  48                       1.81816553658212E-21
1.0E-11                  49                       -2.121690710741943E-20
1.0E-11                  50                       -5.55354734962767E-20
1.0E-11                  51                       -9.830236600199456E-20
1.0E-11                  52                       -1.3227044334513016E-19
1.0E-11                  53                       -1.4591816376572066E-19
1.0E-11                  54                       -9.538186268319223E-20
1.0E-11                  55                       1.103011954631672E-20
1.0E-11                  56                       1.7880238468235095E-19
1.0E-11                  57                       2.5545407786108747E-19
1.0E-11                  58                       1.4214108289323243E-19
1.0E-11                  59                       -5.226023513777537E-19
1.0E-11                  60                       -2.182880387366581E-18
1.0E-11                  61                       -5.215315145737343E-18
1.0E-11                  62                       -1.117119568323266E-17
1.0E-11                  63                       -2.1504198171421975E-17
1.0E-11                  64                       -3.876112682826231E-17
1.0E-11                  65                       -7.135174557151186E-17
1.0E-11                  66                       -1.2314720826023775E-16
1.0E-11                  67                       -2.0909384223095463E-16
1.0E-11                  68                       -3.3955911393610033E-16
1.0E-11                  69                       -5.201184845643474E-16
1.0E-11                  70                       -7.29405180455419E-16
1.0E-11                  71                       -8.435568125702676E-16
1.0E-11                  72                       -6.839117770092349E-16
1.0E-11                  73                       1.251234833598258E-16
1.0E-11                  74                       2.4924602305951784E-15
1.0E-11                  75                       7.715355645348004E-15
1.0E-11                  76                       1.8625965549470183E-14
1.0E-11                  77                       4.048396051198259E-14
1.0E-11                  78                       8.435071749791865E-14
1.0E-11                  79                       1.6941920842741846E-13
1.0E-11                  80                       3.275733805090075E-13
1.0E-11                  81                       6.163245380612755E-13
1.0E-11                  82                       1.136118738839911E-12
1.0E-11                  83                       2.0384707738062115E-12
1.0E-11                  84                       3.5901463187002416E-12
1.0E-11                  85                       6.2382530969750794E-12
1.0E-11                  86                       1.0677214182709096E-11
1.0E-11                  87                       1.79578111042899E-11
1.0E-11                  88                       2.9666076256011924E-11
1.0E-11                  89                       4.8198370561492386E-11
1.0E-11                  90                       7.706844197206357E-11
1.0E-11                  91                       1.2128941649341282E-10
1.0E-11                  92                       1.8807764533766272E-10
1.0E-11                  93                       2.8770642140293746E-10
1.0E-11                  94                       4.3453819730837753E-10
1.0E-11                  95                       6.483028563938091E-10
1.0E-11                  96                       9.55856319732588E-10
1.0E-11                  97                       1.3932391016900096E-9
1.0E-11                  98                       2.008202935689324E-9
1.0E-11                  99                       2.863180897626029E-9
1.0E-11                  100                      4.0558194355120924E-9
1.0E-11                  101                      5.6790236287800975E-9
1.0E-11                  102                      7.871994009958506E-9
1.0E-11                  103                      1.0803446000094301E-8
1.0E-11                  104                      1.4683433167760646E-8
1.0E-11                  105                      1.97645931406208E-8
1.0E-11                  106                      2.635173489070633E-8
1.0E-11                  107                      3.481098299675663E-8
1.0E-11                  108                      4.5576253831749676E-8
1.0E-11                  109                      5.915171420103544E-8
1.0E-11                  110                      7.611446123453323E-8
1.0E-11                  111                      9.711631215935017E-8
1.0E-11                  112                      1.2290037524010476E-7
1.0E-11                  113                      1.5427145279394525E-7
1.0E-11                  114                      1.9208030721502266E-7
1.0E-11                  115                      2.3724039605057206E-7
1.0E-11                  116                      2.907002974971321E-7
1.0E-11                  117                      3.5342131626346145E-7
1.0E-11                  118                      4.2658281052821554E-7
1.0E-11                  119                      5.110666336645448E-7
1.0E-11                  120                      6.075813613000414E-7
1.0E-11                  121                      7.16461707857451E-7
1.0E-11                  122                      8.390055538276708E-7
1.0E-11                  123                      9.751439514565174E-7
1.0E-11                  124                      1.1254697451711274E-6
1.0E-11                  125                      1.289897477129583E-6
1.0E-11                  126                      1.468371894072015E-6
1.0E-11                  127                      1.66019261660554E-6
1.0E-11                  128                      1.8648472091150325E-6
1.0E-11                  129                      2.0813839442759204E-6
1.0E-11                  130                      2.3057779821231014E-6
1.0E-11                  131                      2.5379345891623448E-6
1.0E-11                  132                      2.778276293576881E-6
1.0E-11                  133                      3.02274991696816E-6
1.0E-11                  134                      3.2694831510098452E-6
1.0E-11                  135                      3.5207284549911375E-6
1.0E-11                  136                      3.77395847638483E-6
1.0E-11                  137                      4.02200376771572E-6
1.0E-11                  138                      4.269522696277353E-6
1.0E-11                  139                      4.516515262069735E-6
1.0E-11                  140                      4.753802784700008E-6
1.0E-11                  141                      4.986165323553924E-6
1.0E-11                  142                      5.213671480926167E-6
1.0E-11                  143                      5.432487391529707E-6
1.0E-11                  144                      5.642468367422261E-6
1.0E-11                  145                      5.844847004807653E-6
1.0E-11                  146                      6.038727576614663E-6
1.0E-11                  147                      6.222878968353776E-6
1.0E-11                  148                      6.398244789774041E-6
1.0E-11                  149                      6.5648873421072645E-6
1.0E-11                  150                      6.723379325758731E-6
1.0E-11                  151                      6.873393742836407E-6
1.0E-11                  152                      7.014930593340295E-6
1.0E-11                  153                      7.1519840141898685E-6
1.0E-11                  154                      7.28352980024896E-6
1.0E-11                  155                      7.408940156071929E-6
1.0E-11                  156                      7.528215081658783E-6
1.0E-11                  157                      7.641354577009518E-6
1.0E-11                  158                      7.748358642124134E-6
1.0E-11                  159                      7.850598978589378E-6
1.0E-11                  160                      7.951900257859051E-6
1.0E-11                  161                      8.048692857028564E-6
1.0E-11                  162                      8.140976776097904E-6
1.0E-11                  163                      8.228752015067083E-6
1.0E-11                  164                      8.312018573936102E-6
1.0E-11                  165                      8.39077645270495E-6
1.0E-11                  166                      8.46900354933034E-6
1.0E-11                  167                      8.546091354139223E-6
1.0E-11                  168                      8.62031917426586E-6
1.0E-11                  169                      8.691687009710246E-6
1.0E-11                  170                      8.760194860472385E-6
1.0E-11                  171                      8.825842726552278E-6
1.0E-11                  172                      8.88893425348472E-6
1.0E-11                  173                      8.953028264515173E-6
1.0E-11                  174                      9.015337332554708E-6
1.0E-11                  175                      9.075861457603333E-6
1.0E-11                  176                      9.134600639661042E-6
1.0E-11                  177                      9.191554878727839E-6
1.0E-11                  178                      9.246724174803719E-6
1.0E-11                  179                      9.301048000486757E-6
1.0E-11                  180                      9.35490873401183E-6
1.0E-11                  181                      9.407511125789254E-6
1.0E-11                  182                      9.458855175819029E-6
1.0E-11                  183                      9.508940884101148E-6
1.0E-11                  184                      9.557768250635608E-6
1.0E-11                  185                      9.605337275422421E-6
1.0E-11                  186                      9.652586738698917E-6
1.0E-11                  187                      9.69891745090611E-6
1.0E-11                  188                      9.744261061122444E-6
1.0E-11                  189                      9.788617569347915E-6
1.0E-11                  190                      9.831986975582518E-6
1.0E-11                  191                      9.874369279826265E-6
1.0E-11                  192                      9.91596846080318E-6
1.0E-11                  193                      9.957089839531493E-6
1.0E-11                  194                      9.997396741548047E-6
1.0E-11                  195                      1.0036889166852858E-5
1.0E-11                  196                      1.0075567115445914E-5
1.0E-11                  197                      1.0113430587327217E-5
1.0E-11                  198                      1.0150479582496772E-5
1.0E-11                  199                      1.0186647612606095E-5
1.0E-11                  200                      1.0221959231400617E-5
1.0E-11                  201                      1.0256432548595804E-5
1.0E-11                  202                      1.0290067564191658E-5
1.0E-11                  203                      1.0322864278188179E-5
1.0E-11                  204                      1.0354822690585369E-5
1.0E-11                  205                      1.0385951606335756E-5
1.0E-11                  206                      1.041629113719837E-5
1.0E-11                  207                      1.0445806906992938E-5
1.0E-11                  208                      1.0474498915719475E-5
1.0E-11                  209                      1.0502367163377977E-5
1.0E-11                  210                      1.0529411649968438E-5
1.0E-11                  211                      1.0555632375490865E-5
1.0E-11                  212                      1.0581348669416887E-5
1.0E-11                  213                      1.0606574700703379E-5
1.0E-11                  214                      1.0631125726694555E-5
1.0E-11                  215                      1.0655001747390422E-5
1.0E-11                  216                      1.067820276279098E-5
1.0E-11                  217                      1.0700728772896223E-5
1.0E-11                  218                      1.0722592395784026E-5
1.0E-11                  219                      1.0744629609789938E-5
1.0E-11                  220                      1.0766218009290469E-5
1.0E-11                  221                      1.0787357594285614E-5
1.0E-11                  222                      1.080804836477538E-5
1.0E-11                  223                      1.0828290320759761E-5
1.0E-11                  224                      1.0848083462238758E-5
1.0E-11                  225                      1.0867601705468368E-5
1.0E-11                  226                      1.0886977960110998E-5
1.0E-11                  227                      1.0906019149034008E-5
1.0E-11                  228                      1.0924725272237391E-5
1.0E-11                  229                      1.0943096329721149E-5
1.0E-11                  230                      1.0961132321485282E-5
1.0E-11                  231                      1.0978833247529791E-5
1.0E-11                  232                      1.0996745932504978E-5
1.0E-11                  233                      1.1014576118212993E-5
1.0E-11                  234                      1.1032243326774696E-5
1.0E-11                  235                      1.1049747558190074E-5
1.0E-11                  236                      1.1067088812459124E-5
1.0E-11                  237                      1.1084267089581867E-5
1.0E-11                  238                      1.1101257882728695E-5
1.0E-11                  239                      1.1118003973167228E-5
1.0E-11                  240                      1.1134560947314605E-5
1.0E-11                  241                      1.1150928805170828E-5
1.0E-11                  242                      1.1167107546735892E-5
1.0E-11                  243                      1.1183097172009791E-5
1.0E-11                  244                      1.1198897680992542E-5
1.0E-11                  245                      1.1214344637196561E-5
1.0E-11                  246                      1.1229474180123588E-5
1.0E-11                  247                      1.12443493080742E-5
1.0E-11                  248                      1.1258970021048389E-5
1.0E-11                  249                      1.1273336319046153E-5
1.0E-11                  250                      1.1287448202067498E-5
1.0E-11                  251                      1.1301347505567822E-5
1.0E-11                  252                      1.1315388805193327E-5
1.0E-11                  253                      1.1329288006828597E-5
1.0E-11                  254                      1.134304511047363E-5
1.0E-11                  255                      1.135666011612844E-5
1.0E-11                  256                      1.1370133023793018E-5
1.0E-11                  257                      1.1383463833467365E-5
1.0E-11                  258                      1.1396426781548833E-5
1.0E-11                  259                      1.1408955956129282E-5
1.0E-11                  260                      1.1421223276024224E-5
1.0E-11                  261                      1.1433228741233652E-5
1.0E-11                  262                      1.1444972351757568E-5
1.0E-11                  263                      1.1456454107595968E-5
1.0E-11                  264                      1.1467674008748862E-5
1.0E-11                  265                      1.1479093656599008E-5
1.0E-11                  266                      1.1490402108039367E-5
1.0E-11                  267                      1.1501577883480139E-5
1.0E-11                  268                      1.1512620982921322E-5
1.0E-11                  269                      1.1523531406362919E-5
1.0E-11                  270                      1.1534309153804924E-5
1.0E-11                  271                      1.1545062894112826E-5
1.0E-11                  272                      1.1555928759142119E-5
1.0E-11                  273                      1.1566746947177391E-5
1.0E-11                  274                      1.1577517458218638E-5
1.0E-11                  275                      1.1588240292265865E-5
1.0E-11                  276                      1.1598915449319074E-5
1.0E-11                  277                      1.1609542929378258E-5
1.0E-11                  278                      1.16198851894701E-5
1.0E-11                  279                      1.1630042204558078E-5
1.0E-11                  280                      1.1640069594080287E-5
1.0E-11                  281                      1.1649967358036722E-5
1.0E-11                  282                      1.1659735496427391E-5
1.0E-11                  283                      1.1669374009252288E-5
1.0E-11                  284                      1.1678979559674506E-5
1.0E-11                  285                      1.168891218567499E-5
1.0E-11                  286                      1.169885365611452E-5
1.0E-11                  287                      1.1708803970993099E-5
1.0E-11                  288                      1.1718763130310726E-5
1.0E-11                  289                      1.17287311340674E-5
1.0E-11                  290                      1.1738707982263123E-5
1.0E-11                  291                      1.1748584247849895E-5
1.0E-11                  292                      1.1758364088894582E-5
1.0E-11                  293                      1.1768104147327335E-5
1.0E-11                  294                      1.1777804423148165E-5
1.0E-11                  295                      1.1787464916357061E-5
1.0E-11                  296                      1.1797085626954036E-5
1.0E-11                  297                      1.1806669041844654E-5
1.0E-11                  298                      1.1816276397334687E-5
1.0E-11                  299                      1.1825861239247632E-5
1.0E-11                  300                      1.18354235675835E-5
1.0E-11                  301                      1.1844963382342283E-5
1.0E-11                  302                      1.1854480683523982E-5
1.0E-11                  303                      1.1863975471128594E-5
1.0E-11                  304                      1.1873435585302587E-5
1.0E-11                  305                      1.1882853585793013E-5
1.0E-11                  306                      1.1892241604901076E-5
1.0E-11                  307                      1.190159964262678E-5
1.0E-11                  308                      1.1910927698970126E-5
1.0E-11                  309                      1.1920225773931117E-5
1.0E-11                  310                      1.1929493867509748E-5
1.0E-11                  311                      1.1938780411119498E-5
1.0E-11                  312                      1.1948057355122296E-5
1.0E-11                  313                      1.1957319047229405E-5
1.0E-11                  314                      1.196656548744083E-5
1.0E-11                  315                      1.1975796675756558E-5
1.0E-11                  316                      1.19850126121766E-5
