% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration1 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-11                  0                        9.83624972285824E-15
1.0E-11                  1                        2.1627833516891962E-11
1.0E-11                  2                        -2.54261876557094E-10
1.0E-11                  3                        1.4861520212272585E-9
1.0E-11                  4                        1.1345591141185457E-8
1.0E-11                  5                        3.025666366319187E-8
1.0E-11                  6                        5.454420992284991E-8
1.0E-11                  7                        8.06167791063428E-8
1.0E-11                  8                        1.0602136295375168E-7
1.0E-11                  9                        1.2975951529032065E-7
1.0E-11                  10                       1.5173783708923052E-7
1.0E-11                  11                       1.7203796167816903E-7
1.0E-11                  12                       1.907742518373747E-7
1.0E-11                  13                       2.0816896861361492E-7
1.0E-11                  14                       2.244912145334165E-7
1.0E-11                  15                       2.399714912841106E-7
1.0E-11                  16                       2.547750083316076E-7
1.0E-11                  17                       2.6902112284563535E-7
1.0E-11                  18                       2.8280191408218393E-7
1.0E-11                  19                       2.9618827302547323E-7
1.0E-11                  20                       3.0923205918122204E-7
1.0E-11                  21                       3.2197312878115897E-7
1.0E-11                  22                       3.3444478493633813E-7
1.0E-11                  23                       3.4668801205809045E-7
1.0E-11                  24                       3.587237576789827E-7
1.0E-11                  25                       3.705247142663632E-7
1.0E-11                  26                       3.8209664131561417E-7
1.0E-11                  27                       3.9344453462502666E-7
1.0E-11                  28                       4.045931287302616E-7
1.0E-11                  29                       4.155564942365335E-7
1.0E-11                  30                       4.2637801256386806E-7
1.0E-11                  31                       4.370658173539989E-7
1.0E-11                  32                       4.4764491665522524E-7
1.0E-11                  33                       4.581387863077515E-7
1.0E-11                  34                       4.6854943478642425E-7
1.0E-11                  35                       4.788936287009841E-7
1.0E-11                  36                       4.891749928066198E-7
1.0E-11                  37                       4.99397836202983E-7
1.0E-11                  38                       5.095691046852378E-7
1.0E-11                  39                       5.196904889597797E-7
1.0E-11                  40                       5.297669382950511E-7
1.0E-11                  41                       5.398063589294036E-7
1.0E-11                  42                       5.498095928648503E-7
1.0E-11                  43                       5.59782110612287E-7
1.0E-11                  44                       5.697218093550121E-7
1.0E-11                  45                       5.796277602419548E-7
1.0E-11                  46                       5.89490882349455E-7
1.0E-11                  47                       5.993043058993767E-7
1.0E-11                  48                       6.090562995068789E-7
1.0E-11                  49                       6.187189521445989E-7
1.0E-11                  50                       6.282827925906113E-7
1.0E-11                  51                       6.37709079177603E-7
1.0E-11                  52                       6.469669863878924E-7
1.0E-11                  53                       6.560325414278112E-7
