% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration7 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-17                  0                        1.1385700703342762E-14
1.0E-17                  1                        2.2122752819679205E-11
1.0E-17                  2                        -2.3212831252739853E-10
1.0E-17                  3                        1.4844984898517439E-9
1.0E-17                  4                        1.0389805887096704E-8
1.0E-17                  5                        2.681193939790078E-8
1.0E-17                  6                        4.7047546309769775E-8
1.0E-17                  7                        6.77788735745884E-8
1.0E-17                  8                        8.696956905887953E-8
1.0E-17                  9                        1.0399585528006429E-7
1.0E-17                  10                       1.1903912321220802E-7
1.0E-17                  11                       1.3231722402812856E-7
1.0E-17                  12                       1.440586120843113E-7
1.0E-17                  13                       1.5453022662853063E-7
1.0E-17                  14                       1.639865038475319E-7
1.0E-17                  15                       1.7263443210032194E-7
1.0E-17                  16                       1.8063229798361136E-7
1.0E-17                  17                       1.8811225754915983E-7
1.0E-17                  18                       1.9517697863590265E-7
1.0E-17                  19                       2.01908378635265E-7
1.0E-17                  20                       2.0836379010931585E-7
1.0E-17                  21                       2.1457970255009153E-7
1.0E-17                  22                       2.2058011017916413E-7
1.0E-17                  23                       2.26383992819004E-7
1.0E-17                  24                       2.320090952055896E-7
1.0E-17                  25                       2.374942734804253E-7
1.0E-17                  26                       2.428394262565219E-7
1.0E-17                  27                       2.4803165815051385E-7
1.0E-17                  28                       2.530777008319164E-7
1.0E-17                  29                       2.5797992092537075E-7
1.0E-17                  30                       2.627675821633612E-7
1.0E-17                  31                       2.6744858204135206E-7
1.0E-17                  32                       2.720539424867624E-7
1.0E-17                  33                       2.766094757299957E-7
1.0E-17                  34                       2.8112619092170216E-7
1.0E-17                  35                       2.856327373617455E-7
1.0E-17                  36                       2.9013153144688544E-7
1.0E-17                  37                       2.9463189409881203E-7
1.0E-17                  38                       2.991323645088551E-7
1.0E-17                  39                       3.0362715553594446E-7
1.0E-17                  40                       3.0810588642713513E-7
1.0E-17                  41                       3.125494291991571E-7
1.0E-17                  42                       3.169488824559732E-7
1.0E-17                  43                       3.212740788222074E-7
1.0E-17                  44                       3.2551071337782063E-7
1.0E-17                  45                       3.2964017621338495E-7
1.0E-17                  46                       3.336259388241457E-7
1.0E-17                  47                       3.3746489569439944E-7
1.0E-17                  48                       3.411307234883127E-7
1.0E-17                  49                       3.446089877813251E-7
1.0E-17                  50                       3.4789480193548084E-7
1.0E-17                  51                       3.5097789920242085E-7
1.0E-17                  52                       3.538626687862426E-7
1.0E-17                  53                       3.5654998220520717E-7
1.0E-17                  54                       3.5905581057138167E-7
1.0E-17                  55                       3.613861170899463E-7
1.0E-17                  56                       3.635592241922979E-7
1.0E-17                  57                       3.655831756066449E-7
1.0E-17                  58                       3.6748206979072404E-7
1.0E-17                  59                       3.69283309074733E-7
1.0E-17                  60                       3.7100810773219037E-7
1.0E-17                  61                       3.726772106420859E-7
1.0E-17                  62                       3.743151592016814E-7
1.0E-17                  63                       3.7594782701040393E-7
1.0E-17                  64                       3.7758425162441235E-7
1.0E-17                  65                       3.7921760047584464E-7
1.0E-17                  66                       3.808390618063314E-7
1.0E-17                  67                       3.8244669259302513E-7
1.0E-17                  68                       3.8396671660138176E-7
1.0E-17                  69                       3.8549571614282085E-7
1.0E-17                  70                       3.871365895703934E-7
1.0E-17                  71                       3.886486834601282E-7
1.0E-17                  72                       3.903073275274827E-7
1.0E-17                  73                       3.9198583343059913E-7
1.0E-17                  74                       3.936700732716501E-7
1.0E-17                  75                       3.952446750945819E-7
1.0E-17                  76                       3.9680392633309227E-7
1.0E-17                  77                       3.9836055145439095E-7
1.0E-17                  78                       3.999054654395089E-7
1.0E-17                  79                       4.0143001992192896E-7
1.0E-17                  80                       4.029389734923498E-7
1.0E-17                  81                       4.0447298507219145E-7
1.0E-17                  82                       4.059785530574073E-7
1.0E-17                  83                       4.0743250933879246E-7
1.0E-17                  84                       4.088550423118081E-7
1.0E-17                  85                       4.1025490297004194E-7
1.0E-17                  86                       4.1162897917047204E-7
1.0E-17                  87                       4.129702136208462E-7
1.0E-17                  88                       4.1427522465338413E-7
1.0E-17                  89                       4.155436605764925E-7
1.0E-17                  90                       4.1677270978404067E-7
1.0E-17                  91                       4.179536954565026E-7
1.0E-17                  92                       4.190761435978511E-7
1.0E-17                  93                       4.201286082868093E-7
1.0E-17                  94                       4.21101356326416E-7
1.0E-17                  95                       4.2198657786693283E-7
1.0E-17                  96                       4.2277840843762225E-7
1.0E-17                  97                       4.234762981824338E-7
1.0E-17                  98                       4.24055146611893E-7
1.0E-17                  99                       4.245108044747222E-7
1.0E-17                  100                      4.24838185796301E-7
1.0E-17                  101                      4.25037017849729E-7
1.0E-17                  102                      4.251088002068773E-7
1.0E-17                  103                      4.2505685445197926E-7
1.0E-17                  104                      4.248846144830194E-7
1.0E-17                  105                      4.245967514398232E-7
1.0E-17                  106                      4.241984591799375E-7
1.0E-17                  107                      4.2369457928474785E-7
1.0E-17                  108                      4.2308813296061425E-7
1.0E-17                  109                      4.22382352532402E-7
1.0E-17                  110                      4.2157957163127653E-7
1.0E-17                  111                      4.206792673724967E-7
1.0E-17                  112                      4.196833694504072E-7
1.0E-17                  113                      4.185909756092283E-7
1.0E-17                  114                      4.174097893262524E-7
1.0E-17                  115                      4.1614335087756795E-7
1.0E-17                  116                      4.147900998029121E-7
1.0E-17                  117                      4.1337284096556487E-7
1.0E-17                  118                      4.118812029815327E-7
1.0E-17                  119                      4.1033099954899717E-7
1.0E-17                  120                      4.0873247066774815E-7
1.0E-17                  121                      4.0707854265409474E-7
1.0E-17                  122                      4.0539825047590035E-7
1.0E-17                  123                      4.036787287979736E-7
1.0E-17                  124                      4.0193017112690675E-7
1.0E-17                  125                      4.001614305473922E-7
1.0E-17                  126                      3.983662596899055E-7
1.0E-17                  127                      3.965639879568206E-7
1.0E-17                  128                      3.947462679132887E-7
1.0E-17                  129                      3.9291309487472133E-7
1.0E-17                  130                      3.9106446884111813E-7
1.0E-17                  131                      3.8920038981247946E-7
1.0E-17                  132                      3.8733216105537067E-7
1.0E-17                  133                      3.8545289499860686E-7
1.0E-17                  134                      3.8356212898869933E-7
1.0E-17                  135                      3.8165986302564855E-7
1.0E-17                  136                      3.7974609710945426E-7
1.0E-17                  137                      3.7784065719890197E-7
1.0E-17                  138                      3.759327606968872E-7
1.0E-17                  139                      3.7402071023321516E-7
1.0E-17                  140                      3.721045058078862E-7
1.0E-17                  141                      3.7018414742090005E-7
1.0E-17                  142                      3.682810512515487E-7
1.0E-17                  143                      3.6638512167199827E-7
1.0E-17                  144                      3.64493467910472E-7
1.0E-17                  145                      3.6260608996696936E-7
1.0E-17                  146                      3.60722987841491E-7
1.0E-17                  147                      3.58859796279503E-7
1.0E-17                  148                      3.5701040572578985E-7
1.0E-17                  149                      3.5517184820957194E-7
1.0E-17                  150                      3.5334412373084913E-7
1.0E-17                  151                      3.515272322896217E-7
