% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration4 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-14                  135                      3.818110652133566E-7
1.0E-14                  136                      3.798968751803011E-7
1.0E-14                  137                      3.7799117010506567E-7
1.0E-14                  138                      3.7608093697576943E-7
1.0E-14                  139                      3.7416617579241247E-7
1.0E-14                  140                      3.722468865549947E-7
1.0E-14                  141                      3.703260530484142E-7
1.0E-14                  142                      3.6842460393005396E-7
1.0E-14                  143                      3.6652715872572597E-7
1.0E-14                  144                      3.646337174354302E-7
1.0E-14                  145                      3.627442800591666E-7
1.0E-14                  146                      3.6086057460366464E-7
1.0E-14                  147                      3.58999904181696E-7
1.0E-14                  148                      3.571498950921332E-7
1.0E-14                  149                      3.553105473349762E-7
1.0E-14                  150                      3.5348186091022514E-7
1.0E-14                  151                      3.516643769550986E-7
1.0E-14                  152                      3.4986679695360146E-7
1.0E-14                  153                      3.4808305072661634E-7
1.0E-14                  154                      3.4631313827414347E-7
1.0E-14                  155                      3.4455705959618296E-7
1.0E-14                  156                      3.428148685290568E-7
1.0E-14                  157                      3.410884413591546E-7
1.0E-14                  158                      3.393764984907773E-7
1.0E-14                  159                      3.3767903992392453E-7
1.0E-14                  160                      3.359960656585967E-7
1.0E-14                  161                      3.343275756947935E-7
1.0E-14                  162                      3.326729878293404E-7
1.0E-14                  163                      3.3103269019826753E-7
1.0E-14                  164                      3.2940668355316627E-7
1.0E-14                  165                      3.277949678940366E-7
1.0E-14                  166                      3.261975432208787E-7
1.0E-14                  167                      3.24613083849445E-7
1.0E-14                  168                      3.230424161005832E-7
1.0E-14                  169                      3.214855809384103E-7
1.0E-14                  170                      3.199425783629262E-7
1.0E-14                  171                      3.18413408374131E-7
1.0E-14                  172                      3.1689807097202454E-7
1.0E-14                  173                      3.1539656615660677E-7
1.0E-14                  174                      3.1390889392787816E-7
1.0E-14                  175                      3.124350542858379E-7
1.0E-14                  176                      3.1097504723048675E-7
1.0E-14                  177                      3.095280008076686E-7
1.0E-14                  178                      3.080945172653184E-7
1.0E-14                  179                      3.066746887583893E-7
1.0E-14                  180                      3.0526851528688153E-7
1.0E-14                  181                      3.03875996850795E-7
1.0E-14                  182                      3.024971334501297E-7
1.0E-14                  183                      3.0113192508488556E-7
1.0E-14                  184                      2.997803717550627E-7
1.0E-14                  185                      2.9844247346066113E-7
1.0E-14                  186                      2.9711823020168076E-7
1.0E-14                  187                      2.958077971546783E-7
1.0E-14                  188                      2.945110829687909E-7
1.0E-14                  189                      2.932280582439283E-7
1.0E-14                  190                      2.9195872298009076E-7
1.0E-14                  191                      2.9070307717727835E-7
1.0E-14                  192                      2.8946112083549084E-7
1.0E-14                  193                      2.8823285395472816E-7
1.0E-14                  194                      2.870182765349908E-7
1.0E-14                  195                      2.858173885762784E-7
1.0E-14                  196                      2.84630190078591E-7
1.0E-14                  197                      2.8345448745493746E-7
1.0E-14                  198                      2.8229130815534383E-7
1.0E-14                  199                      2.811412844499098E-7
1.0E-14                  200                      2.8000441633863503E-7
1.0E-14                  201                      2.788807038215196E-7
