% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:31
% Table:              tce_outflow_concentration0.02 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-12                  135                      4.0110946764427946E-7
1.0E-12                  136                      3.9911335678569186E-7
1.0E-12                  137                      3.971223485765779E-7
1.0E-12                  138                      3.951334464298508E-7
1.0E-12                  139                      3.931494939518803E-7
1.0E-12                  140                      3.9117501678623076E-7
1.0E-12                  141                      3.8920678322184625E-7
1.0E-12                  142                      3.872447932587263E-7
1.0E-12                  143                      3.8528904689687095E-7
1.0E-12                  144                      3.833395441362802E-7
1.0E-12                  145                      3.813965979004224E-7
1.0E-12                  146                      3.794653831227249E-7
1.0E-12                  147                      3.7754196916527564E-7
1.0E-12                  148                      3.7562635602807443E-7
1.0E-12                  149                      3.7371854371112137E-7
1.0E-12                  150                      3.7181853221441646E-7
1.0E-12                  151                      3.6992632153795954E-7
1.0E-12                  152                      3.6805061804178237E-7
1.0E-12                  153                      3.661886985231085E-7
1.0E-12                  154                      3.643379177787568E-7
1.0E-12                  155                      3.6249827580872775E-7
1.0E-12                  156                      3.6066977261302086E-7
1.0E-12                  157                      3.5885240819163645E-7
1.0E-12                  158                      3.5705110024769536E-7
1.0E-12                  159                      3.5527037611608334E-7
1.0E-12                  160                      3.5350431413020237E-7
1.0E-12                  161                      3.5175291429005245E-7
1.0E-12                  162                      3.5001617659563347E-7
1.0E-12                  163                      3.482941010469454E-7
1.0E-12                  164                      3.4658717623991034E-7
1.0E-12                  165                      3.449007821315721E-7
1.0E-12                  166                      3.432307444666719E-7
1.0E-12                  167                      3.4157706324521006E-7
1.0E-12                  168                      3.3993973846718633E-7
1.0E-12                  169                      3.383187701326009E-7
1.0E-12                  170                      3.367141582414533E-7
1.0E-12                  171                      3.3512507423958616E-7
1.0E-12                  172                      3.3355182347160234E-7
