% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration0 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-10                  0                        7.99935085499157E-15
1.0E-10                  1                        2.41346224032215E-11
1.0E-10                  2                        -3.4664776685888857E-10
1.0E-10                  3                        2.8076351916203164E-9
1.0E-10                  4                        2.2255752075204073E-8
1.0E-10                  5                        6.288130393860276E-8
1.0E-10                  6                        1.2023927464607743E-7
1.0E-10                  7                        1.86922214782448E-7
1.0E-10                  8                        2.561534719326796E-7
1.0E-10                  9                        3.239724949386424E-7
1.0E-10                  10                       3.8791922741317563E-7
1.0E-10                  11                       4.4667356215398256E-7
1.0E-10                  12                       5.000377451761981E-7
1.0E-10                  13                       5.483196134355208E-7
1.0E-10                  14                       5.920797503417813E-7
1.0E-10                  15                       6.31884145637719E-7
1.0E-10                  16                       6.682959688048672E-7
1.0E-10                  17                       7.021020833208191E-7
1.0E-10                  18                       7.335085311095989E-7
1.0E-10                  19                       7.627093806830597E-7
1.0E-10                  20                       7.900455598317648E-7
1.0E-10                  21                       8.156372229644231E-7
1.0E-10                  22                       8.396824509662164E-7
1.0E-10                  23                       8.624197649691859E-7
1.0E-10                  24                       8.839521880407893E-7
1.0E-10                  25                       9.04400973763966E-7
1.0E-10                  26                       9.239037289277304E-7
1.0E-10                  27                       9.425304273189033E-7
1.0E-10                  28                       9.6034119917925E-7
1.0E-10                  29                       9.774181689199712E-7
1.0E-10                  30                       9.938182476831595E-7
1.0E-10                  31                       1.009572671420708E-6
1.0E-10                  32                       1.0247322862093562E-6
1.0E-10                  33                       1.0393473131494797E-6
1.0E-10                  34                       1.053437209629858E-6
1.0E-10                  35                       1.0670421763005203E-6
1.0E-10                  36                       1.0802089006412661E-6
1.0E-10                  37                       1.0929496779854577E-6
1.0E-10                  38                       1.1052952150414167E-6
1.0E-10                  39                       1.1172775892042616E-6
1.0E-10                  40                       1.1289081217652325E-6
1.0E-10                  41                       1.1402069471883515E-6
1.0E-10                  42                       1.15119787317787E-6
1.0E-10                  43                       1.1618916789083335E-6
1.0E-10                  44                       1.1723019356088546E-6
1.0E-10                  45                       1.1824461696869863E-6
1.0E-10                  46                       1.192364473420377E-6
1.0E-10                  47                       1.2020700605409764E-6
1.0E-10                  48                       1.2115559479668893E-6
1.0E-10                  49                       1.220819308773385E-6
1.0E-10                  50                       1.229860886848332E-6
1.0E-10                  51                       1.2386841126821877E-6
1.0E-10                  52                       1.2473023083488118E-6
1.0E-10                  53                       1.2557086101658819E-6
1.0E-10                  54                       1.263924290624718E-6
1.0E-10                  55                       1.2719603077920075E-6
1.0E-10                  56                       1.2798066299370677E-6
1.0E-10                  57                       1.2875127233075183E-6
1.0E-10                  58                       1.2950591629712313E-6
1.0E-10                  59                       1.3024558010443205E-6
1.0E-10                  60                       1.3097296626263152E-6
1.0E-10                  61                       1.3168655531506113E-6
1.0E-10                  62                       1.3238802554092344E-6
1.0E-10                  63                       1.330776546385913E-6
1.0E-10                  64                       1.3375501258708413E-6
1.0E-10                  65                       1.344216577326812E-6
1.0E-10                  66                       1.3507686522927827E-6
1.0E-10                  67                       1.3572108346034106E-6
1.0E-10                  68                       1.3635493651458112E-6
1.0E-10                  69                       1.3697802822460381E-6
1.0E-10                  70                       1.375911466105133E-6
1.0E-10                  71                       1.3819421662425882E-6
1.0E-10                  72                       1.3878721252286162E-6
1.0E-10                  73                       1.3937086470223282E-6
1.0E-10                  74                       1.399448117738867E-6
1.0E-10                  75                       1.4050934385692106E-6
1.0E-10                  76                       1.410646846842259E-6
1.0E-10                  77                       1.4161066223823045E-6
1.0E-10                  78                       1.4214758199919469E-6
1.0E-10                  79                       1.4267535312998784E-6
1.0E-10                  80                       1.4319397094540833E-6
1.0E-10                  81                       1.437034972145755E-6
1.0E-10                  82                       1.4420389897699741E-6
1.0E-10                  83                       1.4469509929568675E-6
1.0E-10                  84                       1.4517707130446448E-6
1.0E-10                  85                       1.4564984369015668E-6
1.0E-10                  86                       1.4611310920865708E-6
1.0E-10                  87                       1.4656700640325083E-6
1.0E-10                  88                       1.4701057879762339E-6
1.0E-10                  89                       1.474420167618276E-6
1.0E-10                  90                       1.4786153655926917E-6
1.0E-10                  91                       1.4826962845300752E-6
1.0E-10                  92                       1.486669553512351E-6
1.0E-10                  93                       1.4905398166431584E-6
1.0E-10                  94                       1.494313232236282E-6
1.0E-10                  95                       1.4980045440968782E-6
1.0E-10                  96                       1.5016223351163402E-6
1.0E-10                  97                       1.505104881800245E-6
1.0E-10                  98                       1.5083509738702334E-6
1.0E-10                  99                       1.5113977309544455E-6
1.0E-10                  100                      1.513874700989059E-6
1.0E-10                  101                      1.517656866786077E-6
1.0E-10                  102                      1.5209961649536172E-6
1.0E-10                  103                      1.524098714028458E-6
1.0E-10                  104                      1.5269653509016454E-6
1.0E-10                  105                      1.5295347741694484E-6
1.0E-10                  106                      1.5316880632642161E-6
1.0E-10                  107                      1.53372676775447E-6
1.0E-10                  108                      1.5357035429292639E-6
1.0E-10                  109                      1.5375481703212005E-6
1.0E-10                  110                      1.5390091700508705E-6
1.0E-10                  111                      1.5405249228897983E-6
1.0E-10                  112                      1.5419251053698069E-6
1.0E-10                  113                      1.5430846531979772E-6
1.0E-10                  114                      1.5440092844768331E-6
1.0E-10                  115                      1.5446404096857064E-6
1.0E-10                  116                      1.544815651318837E-6
1.0E-10                  117                      1.544475047235841E-6
1.0E-10                  118                      1.5440172633357592E-6
1.0E-10                  119                      1.5433738674412661E-6
1.0E-10                  120                      1.5424129858039192E-6
1.0E-10                  121                      1.5407160383546028E-6
1.0E-10                  122                      1.5389480853033496E-6
1.0E-10                  123                      1.5369280623774802E-6
1.0E-10                  124                      1.5345276188445856E-6
1.0E-10                  125                      1.5316299696484626E-6
1.0E-10                  126                      1.5282201237307907E-6
1.0E-10                  127                      1.5243439266222692E-6
1.0E-10                  128                      1.5199566878420735E-6
1.0E-10                  129                      1.5150307190436284E-6
1.0E-10                  130                      1.509389910844091E-6
1.0E-10                  131                      1.5029726058537168E-6
1.0E-10                  132                      1.4961635679017225E-6
1.0E-10                  133                      1.4888692442493035E-6
