% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_0 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-10                  0                        2.343942897057987E-4
1.0E-10                  1                        2.3439428733284547E-4
1.0E-10                  2                        2.3439437794972723E-4
1.0E-10                  3                        2.3439388070740317E-4
1.0E-10                  4                        2.3438261059738108E-4
1.0E-10                  5                        2.3434031805727622E-4
1.0E-10                  6                        2.3424697503698894E-4
1.0E-10                  7                        2.3408979190061733E-4
1.0E-10                  8                        2.3386272392678952E-4
1.0E-10                  9                        2.3356564337873015E-4
1.0E-10                  10                       2.332012523653272E-4
1.0E-10                  11                       2.3277421727772578E-4
1.0E-10                  12                       2.3228992457859278E-4
1.0E-10                  13                       2.317534350390929E-4
1.0E-10                  14                       2.311699330993875E-4
1.0E-10                  15                       2.3054359248892323E-4
1.0E-10                  16                       2.298781173154611E-4
1.0E-10                  17                       2.2917781134399148E-4
1.0E-10                  18                       2.2844428129835262E-4
1.0E-10                  19                       2.2767927068059182E-4
1.0E-10                  20                       2.268857894144036E-4
1.0E-10                  21                       2.2606487545697934E-4
1.0E-10                  22                       2.2521824661014448E-4
1.0E-10                  23                       2.2434790123947214E-4
1.0E-10                  24                       2.234547404345069E-4
1.0E-10                  25                       2.225398515382531E-4
1.0E-10                  26                       2.2160461830221477E-4
1.0E-10                  27                       2.2064986317969795E-4
1.0E-10                  28                       2.1967627818726947E-4
1.0E-10                  29                       2.1868486876254793E-4
1.0E-10                  30                       2.1767640983490948E-4
1.0E-10                  31                       2.1665135080604136E-4
1.0E-10                  32                       2.1561045032345288E-4
1.0E-10                  33                       2.1455445348560954E-4
1.0E-10                  34                       2.1348364475598633E-4
1.0E-10                  35                       2.1239861312043337E-4
1.0E-10                  36                       2.1130003553010199E-4
1.0E-10                  37                       2.1018810637613987E-4
1.0E-10                  38                       2.0906329578305893E-4
1.0E-10                  39                       2.0792614882350713E-4
1.0E-10                  40                       2.067768731532912E-4
1.0E-10                  41                       2.0561582587671053E-4
1.0E-10                  42                       2.0444345293254266E-4
1.0E-10                  43                       2.0325997493227032E-4
1.0E-10                  44                       2.0206566383843778E-4
1.0E-10                  45                       2.0086088868758467E-4
1.0E-10                  46                       1.9964608353606426E-4
1.0E-10                  47                       1.9842140715714416E-4
1.0E-10                  48                       1.971867756436639E-4
1.0E-10                  49                       1.9594283391388207E-4
1.0E-10                  50                       1.9468941226152248E-4
1.0E-10                  51                       1.9342662526860042E-4
1.0E-10                  52                       1.921553043711851E-4
1.0E-10                  53                       1.908750212040603E-4
1.0E-10                  54                       1.8958628751702988E-4
1.0E-10                  55                       1.8828936692700626E-4
1.0E-10                  56                       1.8698401810183287E-4
1.0E-10                  57                       1.8567104848758923E-4
1.0E-10                  58                       1.8435014100776315E-4
1.0E-10                  59                       1.830214693562816E-4
1.0E-10                  60                       1.816855055398417E-4
1.0E-10                  61                       1.8034198417784104E-4
1.0E-10                  62                       1.789913185160659E-4
1.0E-10                  63                       1.776335769326997E-4
1.0E-10                  64                       1.7626866219345305E-4
1.0E-10                  65                       1.748971265920613E-4
1.0E-10                  66                       1.7351871323570948E-4
1.0E-10                  67                       1.721336216044331E-4
1.0E-10                  68                       1.707421293472714E-4
1.0E-10                  69                       1.6934406021444677E-4
1.0E-10                  70                       1.6793980295426396E-4
1.0E-10                  71                       1.665293205438069E-4
1.0E-10                  72                       1.651126074194224E-4
1.0E-10                  73                       1.6369006979779753E-4
1.0E-10                  74                       1.6226150668926186E-4
1.0E-10                  75                       1.608271365171885E-4
1.0E-10                  76                       1.5938712772444401E-4
1.0E-10                  77                       1.5794135080332504E-4
1.0E-10                  78                       1.5649020543395136E-4
1.0E-10                  79                       1.5503357276806969E-4
1.0E-10                  80                       1.5357151944202333E-4
1.0E-10                  81                       1.5210436648291695E-4
1.0E-10                  82                       1.5063194258814155E-4
1.0E-10                  83                       1.491545061053207E-4
1.0E-10                  84                       1.4767214724871458E-4
1.0E-10                  85                       1.461847668640532E-4
1.0E-10                  86                       1.4469281686219117E-4
1.0E-10                  87                       1.4319609346634957E-4
1.0E-10                  88                       1.41694690421231E-4
1.0E-10                  89                       1.401887850895362E-4
1.0E-10                  90                       1.3867857165560275E-4
1.0E-10                  91                       1.3716410446815386E-4
1.0E-10                  92                       1.3564551278329154E-4
