% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_1 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-11                  134                      1.5440611123597266E-4
1.0E-11                  135                      1.5370423514304583E-4
1.0E-11                  136                      1.5300460564733511E-4
1.0E-11                  137                      1.5230732331043928E-4
1.0E-11                  138                      1.5161232279219607E-4
1.0E-11                  139                      1.5091960409260532E-4
1.0E-11                  140                      1.5022929448359852E-4
1.0E-11                  141                      1.495413276846906E-4
1.0E-11                  142                      1.4885570274463935E-4
1.0E-11                  143                      1.4817247065706694E-4
1.0E-11                  144                      1.474916333464446E-4
1.0E-11                  145                      1.468131744182092E-4
1.0E-11                  146                      1.461370990331699E-4
1.0E-11                  147                      1.4546341428449871E-4
1.0E-11                  148                      1.447921147355068E-4
1.0E-11                  149                      1.441231968002125E-4
1.0E-11                  150                      1.4345662751468963E-4
1.0E-11                  151                      1.4279242570053197E-4
1.0E-11                  152                      1.4213059135773955E-4
1.0E-11                  153                      1.4147102210785963E-4
1.0E-11                  154                      1.40813744203507E-4
1.0E-11                  155                      1.4015877373644976E-4
1.0E-11                  156                      1.3950611070668816E-4
1.0E-11                  157                      1.3885575511422195E-4
1.0E-11                  158                      1.3820770695905139E-4
1.0E-11                  159                      1.375619236221226E-4
1.0E-11                  160                      1.3691828627009693E-4
1.0E-11                  161                      1.3627690581190151E-4
1.0E-11                  162                      1.3563778224753625E-4
1.0E-11                  163                      1.350009155770011E-4
1.0E-11                  164                      1.3436630580029613E-4
1.0E-11                  165                      1.3373395291742122E-4
1.0E-11                  166                      1.3310366730939714E-4
1.0E-11                  167                      1.3247547798274524E-4
1.0E-11                  168                      1.318494669596864E-4
1.0E-11                  169                      1.3122563424022117E-4
1.0E-11                  170                      1.3060397982434912E-4
1.0E-11                  171                      1.299845037120702E-4
1.0E-11                  172                      1.2936717983725413E-4
1.0E-11                  173                      1.2875170269647151E-4
1.0E-11                  174                      1.281383115734618E-4
1.0E-11                  175                      1.2752700646822513E-4
1.0E-11                  176                      1.2691778738076128E-4
1.0E-11                  177                      1.2631065431107033E-4
1.0E-11                  178                      1.2570560725915221E-4
1.0E-11                  179                      1.2510247553236263E-4
1.0E-11                  180                      1.2450118965645344E-4
1.0E-11                  181                      1.2390189412021132E-4
1.0E-11                  182                      1.2330458892363612E-4
1.0E-11                  183                      1.2270927406672782E-4
1.0E-11                  184                      1.221159495494863E-4
1.0E-11                  185                      1.2152461537191183E-4
1.0E-11                  186                      1.209349802178218E-4
1.0E-11                  187                      1.2034723002382616E-4
1.0E-11                  188                      1.1976138600013867E-4
1.0E-11                  189                      1.1917744814675937E-4
1.0E-11                  190                      1.1859541646368842E-4
1.0E-11                  191                      1.1801529095092567E-4
1.0E-11                  192                      1.1743699442619953E-4
1.0E-11                  193                      1.1686041136094195E-4
1.0E-11                  194                      1.1628566914736064E-4
1.0E-11                  195                      1.1571276778545538E-4
1.0E-11                  196                      1.151417072752265E-4
1.0E-11                  197                      1.145724876166738E-4
1.0E-11                  198                      1.1400510880979721E-4
1.0E-11                  199                      1.1343943383708927E-4
1.0E-11                  200                      1.1287551329828743E-4
1.0E-11                  201                      1.1231338451343572E-4
1.0E-11                  202                      1.1175304748253438E-4
1.0E-11                  203                      1.1119450220558298E-4
1.0E-11                  204                      1.1063774868258193E-4
1.0E-11                  205                      1.1008276296626782E-4
1.0E-11                  206                      1.0952943596271409E-4
1.0E-11                  207                      1.0897786116651138E-4
1.0E-11                  208                      1.0842803857765961E-4
1.0E-11                  209                      1.0787996819615895E-4
