% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_7 - Global Evaluation 14 (TimeInt)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-17                  116                      1.9651638421031286E-4
1.0E-17                  117                      1.9609323297877442E-4
1.0E-17                  118                      1.956714828664721E-4
1.0E-17                  119                      1.952512791465755E-4
1.0E-17                  120                      1.9483271588925194E-4
1.0E-17                  121                      1.9441572600600347E-4
1.0E-17                  122                      1.9400051621908278E-4
1.0E-17                  123                      1.9358699493028016E-4
1.0E-17                  124                      1.9317523067348045E-4
1.0E-17                  125                      1.9276528297052414E-4
1.0E-17                  126                      1.9235710981854514E-4
1.0E-17                  127                      1.919508695729258E-4
1.0E-17                  128                      1.915464938476283E-4
1.0E-17                  129                      1.9114398260427473E-4
1.0E-17                  130                      1.9074333584286467E-4
1.0E-17                  131                      1.9034455356339836E-4
1.0E-17                  132                      1.8994775044297354E-4
1.0E-17                  133                      1.8955285660385429E-4
1.0E-17                  134                      1.8915986735219725E-4
1.0E-17                  135                      1.8876878268800308E-4
1.0E-17                  136                      1.8837960261127137E-4
1.0E-17                  137                      1.879924199228228E-4
1.0E-17                  138                      1.8760718415176435E-4
1.0E-17                  139                      1.8722388735308967E-4
1.0E-17                  140                      1.8684252952679914E-4
1.0E-17                  141                      1.8646311067289313E-4
1.0E-17                  142                      1.8608562291688377E-4
1.0E-17                  143                      1.8571006997081967E-4
1.0E-17                  144                      1.8533645289760484E-4
1.0E-17                  145                      1.849647716972395E-4
1.0E-17                  146                      1.8459502636972353E-4
1.0E-17                  147                      1.8422712530723786E-4
1.0E-17                  148                      1.8386110430716884E-4
1.0E-17                  149                      1.834969807595879E-4
1.0E-17                  150                      1.831347546644946E-4
1.0E-17                  151                      1.8277442602188907E-4
1.0E-17                  152                      1.8241585892242974E-4
1.0E-17                  153                      1.8205909420381823E-4
1.0E-17                  154                      1.817041660009256E-4
1.0E-17                  155                      1.8135107431375145E-4
1.0E-17                  156                      1.809998191422963E-4
1.0E-17                  157                      1.806502538205304E-4
1.0E-17                  158                      1.8030240748599446E-4
1.0E-17                  159                      1.7995632710283193E-4
1.0E-17                  160                      1.796120126710426E-4
1.0E-17                  161                      1.7926946419062677E-4
1.0E-17                  162                      1.7892854090624543E-4
1.0E-17                  163                      1.7858925449407487E-4
1.0E-17                  164                      1.7825166105657386E-4
1.0E-17                  165                      1.7791576059374183E-4
1.0E-17                  166                      1.7758155310557965E-4
1.0E-17                  167                      1.7724881231521845E-4
1.0E-17                  168                      1.7691752696700087E-4
1.0E-17                  169                      1.7658780755938988E-4
1.0E-17                  170                      1.7625965409238538E-4
1.0E-17                  171                      1.7593306656598688E-4
1.0E-17                  172                      1.7560804498019495E-4
1.0E-17                  173                      1.752845893350091E-4
1.0E-17                  174                      1.749626996304296E-4
1.0E-17                  175                      1.7464237586645653E-4
1.0E-17                  176                      1.7432361804308981E-4
1.0E-17                  177                      1.740061571871742E-4
1.0E-17                  178                      1.7368995573749195E-4
1.0E-17                  179                      1.7337522559348438E-4
1.0E-17                  180                      1.7306196675515107E-4
1.0E-17                  181                      1.7275017922249237E-4
1.0E-17                  182                      1.724398629955085E-4
1.0E-17                  183                      1.7213101807419886E-4
1.0E-17                  184                      1.7182364445856376E-4
1.0E-17                  185                      1.715177421486035E-4
1.0E-17                  186                      1.7121331114431772E-4
1.0E-17                  187                      1.7091003559640796E-4
1.0E-17                  188                      1.7060773463011043E-4
1.0E-17                  189                      1.703067692778935E-4
1.0E-17                  190                      1.700071395397569E-4
1.0E-17                  191                      1.6970884541570025E-4
1.0E-17                  192                      1.6941188690572433E-4
