% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_4 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-14                  0                        2.343942897058047E-4
1.0E-14                  1                        2.3439428734702117E-4
1.0E-14                  2                        2.3439435029848677E-4
1.0E-14                  3                        2.3439407017504182E-4
1.0E-14                  4                        2.3438858087071427E-4
1.0E-14                  5                        2.3436992446694788E-4
1.0E-14                  6                        2.343321044779617E-4
1.0E-14                  7                        2.3427322438338222E-4
1.0E-14                  8                        2.341938955152642E-4
1.0E-14                  9                        2.34096061683277E-4
1.0E-14                  10                       2.3398211321760858E-4
1.0E-14                  11                       2.338536937257145E-4
1.0E-14                  12                       2.3371243599878006E-4
1.0E-14                  13                       2.3355975674502522E-4
1.0E-14                  14                       2.3339682309069095E-4
1.0E-14                  15                       2.332245752917428E-4
1.0E-14                  16                       2.330437691733783E-4
1.0E-14                  17                       2.328550321775166E-4
1.0E-14                  18                       2.3265883011689445E-4
1.0E-14                  19                       2.324555466388055E-4
1.0E-14                  20                       2.3224549827785117E-4
1.0E-14                  21                       2.3202895299183986E-4
1.0E-14                  22                       2.318061464987549E-4
1.0E-14                  23                       2.3157729121052624E-4
1.0E-14                  24                       2.3134257993974328E-4
1.0E-14                  25                       2.3110226754603964E-4
1.0E-14                  26                       2.3085639884163202E-4
1.0E-14                  27                       2.306051637457382E-4
1.0E-14                  28                       2.3034866582178097E-4
1.0E-14                  29                       2.300870434059942E-4
1.0E-14                  30                       2.2982051313038548E-4
1.0E-14                  31                       2.2954908033513612E-4
1.0E-14                  32                       2.2927288929220765E-4
1.0E-14                  33                       2.2899199940329033E-4
1.0E-14                  34                       2.2870643723179007E-4
1.0E-14                  35                       2.284162534301578E-4
1.0E-14                  36                       2.2812144456329326E-4
1.0E-14                  37                       2.2782202245975387E-4
1.0E-14                  38                       2.2751799165500109E-4
1.0E-14                  39                       2.2720935669157718E-4
1.0E-14                  40                       2.2689613116251193E-4
1.0E-14                  41                       2.2657835383639883E-4
1.0E-14                  42                       2.2625604763454397E-4
1.0E-14                  43                       2.259293014090576E-4
1.0E-14                  44                       2.2559818360081002E-4
1.0E-14                  45                       2.2526277036863848E-4
1.0E-14                  46                       2.2492327468744578E-4
1.0E-14                  47                       2.2457974553479683E-4
1.0E-14                  48                       2.242323895764002E-4
1.0E-14                  49                       2.2388142646597407E-4
1.0E-14                  50                       2.2352695313408879E-4
1.0E-14                  51                       2.2316928050200872E-4
1.0E-14                  52                       2.228085384721612E-4
1.0E-14                  53                       2.2244490075175053E-4
1.0E-14                  54                       2.2207869061165292E-4
1.0E-14                  55                       2.2170994049827515E-4
1.0E-14                  56                       2.2133888763431318E-4
1.0E-14                  57                       2.2096564797380883E-4
1.0E-14                  58                       2.2059037752668832E-4
1.0E-14                  59                       2.2021320648081996E-4
1.0E-14                  60                       2.19834222371074E-4
1.0E-14                  61                       2.1945349934062E-4
1.0E-14                  62                       2.1907109004029872E-4
1.0E-14                  63                       2.1868701265686778E-4
1.0E-14                  64                       2.1830126992548307E-4
1.0E-14                  65                       2.17913862870591E-4
1.0E-14                  66                       2.1752479996773919E-4
1.0E-14                  67                       2.171334811224292E-4
1.0E-14                  68                       2.1674090940427553E-4
1.0E-14                  69                       2.1634685223371195E-4
1.0E-14                  70                       2.1595136688538563E-4
1.0E-14                  71                       2.1555428708148227E-4
1.0E-14                  72                       2.1515565088273093E-4
1.0E-14                  73                       2.147553007164959E-4
1.0E-14                  74                       2.1435322173629222E-4
1.0E-14                  75                       2.1394949903965835E-4
1.0E-14                  76                       2.135441798715805E-4
1.0E-14                  77                       2.1313726953075998E-4
1.0E-14                  78                       2.12728775345096E-4
1.0E-14                  79                       2.123187161787334E-4
1.0E-14                  80                       2.1190711138767968E-4
1.0E-14                  81                       2.1149395115870474E-4
