% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              TCE_reacted 0.1 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.1                      0                        1.5857102941609032E-6
0.1                      1                        1.5857103746964903E-6
0.1                      2                        1.5857091148274793E-6
0.1                      3                        1.5857158870502522E-6
0.1                      4                        1.585846692827423E-6
0.1                      5                        1.586289616043907E-6
0.1                      6                        1.5871848857805224E-6
0.1                      7                        1.5885754232124145E-6
0.1                      8                        1.5904449621945655E-6
0.1                      9                        1.5927461361844896E-6
0.1                      10                       1.5954215299360481E-6
0.1                      11                       1.5984319138761163E-6
0.1                      12                       1.6017384280582893E-6
0.1                      13                       1.6053074167948323E-6
0.1                      14                       1.6091111640665114E-6
0.1                      15                       1.6131273182442507E-6
0.1                      16                       1.617337883601044E-6
0.1                      17                       1.6217279040710314E-6
0.1                      18                       1.6262862747589877E-6
0.1                      19                       1.6310038490965317E-6
0.1                      20                       1.6358730693173713E-6
0.1                      21                       1.6408875134145288E-6
0.1                      22                       1.6460415029074298E-6
0.1                      23                       1.6513298954456354E-6
0.1                      24                       1.6567480034386389E-6
0.1                      25                       1.662289596721344E-6
0.1                      26                       1.6679535787794265E-6
0.1                      27                       1.6737353073250659E-6
0.1                      28                       1.6796322798449364E-6
0.1                      29                       1.685641139543031E-6
0.1                      30                       1.6917566884598136E-6
0.1                      31                       1.6979788184382435E-6
0.1                      32                       1.7043041015067945E-6
0.1                      33                       1.7107311866595615E-6
0.1                      34                       1.7172594735026492E-6
0.1                      35                       1.7238878752311543E-6
0.1                      36                       1.730616535333362E-6
0.1                      37                       1.7374452513877603E-6
0.1                      38                       1.7443740655218087E-6
0.1                      39                       1.7514028752265697E-6
0.1                      40                       1.7585314546392805E-6
0.1                      41                       1.765758912481585E-6
0.1                      42                       1.7730847132333169E-6
0.1                      43                       1.7805067467940797E-6
0.1                      44                       1.7880233555988089E-6
0.1                      45                       1.7956327065735845E-6
0.1                      46                       1.8033296511847703E-6
0.1                      47                       1.8111130085193685E-6
0.1                      48                       1.8189777901059968E-6
0.1                      49                       1.8269187273822186E-6
0.1                      50                       1.834933505147697E-6
0.1                      51                       1.8430147216340943E-6
0.1                      52                       1.8511593401167707E-6
0.1                      53                       1.8593632690455043E-6
0.1                      54                       1.867619009233944E-6
0.1                      55                       1.8759258530635594E-6
0.1                      56                       1.8842783692649414E-6
0.1                      57                       1.8926739795785373E-6
0.1                      58                       1.9011092304201776E-6
0.1                      59                       1.9095812996595324E-6
0.1                      60                       1.9180883636005613E-6
0.1                      61                       1.9266289355325075E-6
