% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:14
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.02                     196                      1.8997434295806458E-6
0.02                     197                      1.9024666635591712E-6
0.02                     198                      1.9051966784613314E-6
0.02                     199                      1.9079334742879887E-6
0.02                     200                      1.9106770510390127E-6
0.02                     201                      1.9134256600048786E-6
0.02                     202                      1.9161800397520074E-6
0.02                     203                      1.9189406656416435E-6
0.02                     204                      1.9217075376739514E-6
0.02                     205                      1.924480655848738E-6
0.02                     206                      1.9272600201661688E-6
0.02                     207                      1.930045630626024E-6
0.02                     208                      1.9328374872286867E-6
0.02                     209                      1.935633275305121E-6
0.02                     210                      1.938434718483427E-6
0.02                     211                      1.94124186674626E-6
0.02                     212                      1.9440547200929354E-6
0.02                     213                      1.9468732785235686E-6
0.02                     214                      1.949697542038312E-6
0.02                     215                      1.9525275106375553E-6
0.02                     216                      1.955362781890724E-6
0.02                     217                      1.9582016984631214E-6
0.02                     218                      1.9610457827568347E-6
0.02                     219                      1.963895034771112E-6
0.02                     220                      1.966749454506709E-6
0.02                     221                      1.96960904196311E-6
0.02                     222                      1.9724737971405633E-6
0.02                     223                      1.97534372003917E-6
0.02                     224                      1.9782179553730595E-6
0.02                     225                      1.9810957060522923E-6
0.02                     226                      1.9839781013223486E-6
0.02                     227                      1.98686514118352E-6
0.02                     228                      1.9897568256359248E-6
0.02                     229                      1.9926531546787907E-6
0.02                     230                      1.9955541283131308E-6
0.02                     231                      1.9984597465381826E-6
0.02                     232                      2.0013687296055646E-6
0.02                     233                      2.0042811405315227E-6
0.02                     234                      2.007197697265662E-6
0.02                     235                      2.0101183998082337E-6
0.02                     236                      2.0130432481597693E-6
0.02                     237                      2.0159722423191304E-6
0.02                     238                      2.018905382286873E-6
0.02                     239                      2.021842668063525E-6
0.02                     240                      2.0247824507840994E-6
0.02                     241                      2.0277255992287754E-6
0.02                     242                      2.0306724278740896E-6
0.02                     243                      2.0336229367197676E-6
0.02                     244                      2.0365771257660804E-6
0.02                     245                      2.0395349950132244E-6
0.02                     246                      2.04249654446101E-6
0.02                     247                      2.045461717368828E-6
0.02                     248                      2.048428742939458E-6
0.02                     249                      2.051399023203291E-6
0.02                     250                      2.0543725581598097E-6
0.02                     251                      2.05734934780901E-6
0.02                     252                      2.0603293921511694E-6
0.02                     253                      2.0633126911860887E-6
0.02                     254                      2.066299244913886E-6
0.02                     255                      2.069288677753248E-6
0.02                     256                      2.0722799750326357E-6
0.02                     257                      2.0752741464271336E-6
0.02                     258                      2.0782711919371482E-6
0.02                     259                      2.081271111562456E-6
0.02                     260                      2.0842739053033854E-6
0.02                     261                      2.087279573159374E-6
0.02                     262                      2.0902881151309846E-6
0.02                     263                      2.0932989034382335E-6
0.02                     264                      2.096311578049675E-6
0.02                     265                      2.0993267937651423E-6
0.02                     266                      2.1023445505842556E-6
0.02                     267                      2.1053648485077977E-6
0.02                     268                      2.108387687535372E-6
0.02                     269                      2.111413067666725E-6
0.02                     270                      2.1144409889026115E-6
0.02                     271                      2.117470645589484E-6
0.02                     272                      2.1205022067631615E-6
0.02                     273                      2.1235360241778603E-6
0.02                     274                      2.1265720978340683E-6
0.02                     275                      2.129610427731565E-6
0.02                     276                      2.13265101387049E-6
0.02                     277                      2.135693856250954E-6
0.02                     278                      2.138738954872758E-6
0.02                     279                      2.1417854021232397E-6
0.02                     280                      2.1448337587028443E-6
0.02                     281                      2.147884133682219E-6
0.02                     282                      2.150936527060656E-6
0.02                     283                      2.153990938838816E-6
0.02                     284                      2.1570473690162817E-6
0.02                     285                      2.1601058175930333E-6
0.02                     286                      2.163166214495702E-6
0.02                     287                      2.166227832479119E-6
0.02                     288                      2.169291275514561E-6
0.02                     289                      2.1723565436026785E-6
0.02                     290                      2.1754236367429937E-6
0.02                     291                      2.178492554935683E-6
0.02                     292                      2.1815632981806442E-6
0.02                     293                      2.1846358664777966E-6
0.02                     294                      2.1877100726376967E-6
0.02                     295                      2.190785575049921E-6
0.02                     296                      2.1938627501045976E-6
0.02                     297                      2.1969415978009883E-6
0.02                     298                      2.2000221181391303E-6
0.02                     299                      2.203104311119369E-6
0.02                     300                      2.2061881767413254E-6
0.02                     301                      2.2092737150049245E-6
0.02                     302                      2.2123607006369158E-6
0.02                     303                      2.2154490670800728E-6
0.02                     304                      2.2185390008347976E-6
0.02                     305                      2.221630501900565E-6
0.02                     306                      2.2247235702776835E-6
0.02                     307                      2.2278182059662714E-6
0.02                     308                      2.230914408966488E-6
0.02                     309                      2.234011938460785E-6
0.02                     310                      2.2371109064808095E-6
0.02                     311                      2.2402113625273293E-6
0.02                     312                      2.243313306600785E-6
0.02                     313                      2.2464167387012244E-6
0.02                     314                      2.24952164590864E-6
0.02                     315                      2.2526278709002418E-6
0.02                     316                      2.2557355307664727E-6
0.02                     317                      2.2588446255076004E-6
0.02                     318                      2.261955155123842E-6
0.02                     319                      2.2650671196146346E-6
0.02                     320                      2.2681804261249946E-6
0.02                     321                      2.271295129037002E-6
0.02                     322                      2.274411234054187E-6
0.02                     323                      2.2775287411760988E-6
0.02                     324                      2.2806476504035067E-6
0.02                     325                      2.2837679219487523E-6
0.02                     326                      2.286889569020515E-6
0.02                     327                      2.2900126009837534E-6
0.02                     328                      2.2931370178384204E-6
0.02                     329                      2.2962628195849155E-6
0.02                     330                      2.299389991937967E-6
0.02                     331                      2.302518534278408E-6
0.02                     332                      2.3056484536290015E-6
0.02                     333                      2.308779748456869E-6
0.02                     334                      2.3119124095482635E-6
0.02                     335                      2.3150464425244417E-6
0.02                     336                      2.318181847385898E-6
0.02                     337                      2.321318625448102E-6
0.02                     338                      2.3244567767189068E-6
0.02                     339                      2.32759630077357E-6
0.02                     340                      2.3307372016210913E-6
0.02                     341                      2.333879481008839E-6
0.02                     342                      2.3370231368734205E-6
0.02                     343                      2.3401681727883456E-6
0.02                     344                      2.3433145885386986E-6
0.02                     345                      2.346462388162841E-6
0.02                     346                      2.3496115697148876E-6
0.02                     347                      2.3527621279261307E-6
0.02                     348                      2.3559140556391215E-6
0.02                     349                      2.359067357804978E-6
0.02                     350                      2.3622220495245284E-6
0.02                     351                      2.365378146565678E-6
0.02                     352                      2.3685356611368813E-6
0.02                     353                      2.371694603869568E-6
0.02                     354                      2.3748549853012816E-6
0.02                     355                      2.378016814321599E-6
0.02                     356                      2.3811800938301243E-6
0.02                     357                      2.3843448289767837E-6
0.02                     358                      2.3875110241506988E-6
0.02                     359                      2.3906786829538737E-6
0.02                     360                      2.393847807739E-6
0.02                     361                      2.3970184018047696E-6
0.02                     362                      2.4001904688091317E-6
0.02                     363                      2.403364011148322E-6
0.02                     364                      2.406539031296883E-6
0.02                     365                      2.4097155322117388E-6
0.02                     366                      2.4128935244070824E-6
0.02                     367                      2.4160730059772387E-6
0.02                     368                      2.4192539787085867E-6
0.02                     369                      2.4224364480283917E-6
0.02                     370                      2.4256204108953242E-6
0.02                     371                      2.4288058715061955E-6
0.02                     372                      2.4319928294230895E-6
0.02                     373                      2.4351812833966257E-6
0.02                     374                      2.438371232122902E-6
0.02                     375                      2.4415626763075646E-6
0.02                     376                      2.4447556107040644E-6
0.02                     377                      2.447950036635819E-6
0.02                     378                      2.451145952028906E-6
0.02                     379                      2.4543433532363124E-6
0.02                     380                      2.4575422424094213E-6
0.02                     381                      2.4607426134321667E-6
0.02                     382                      2.463944468614333E-6
0.02                     383                      2.4671478056132435E-6
0.02                     384                      2.4703526220271334E-6
0.02                     385                      2.4735589192707847E-6
0.02                     386                      2.476766692106681E-6
0.02                     387                      2.4799759428018143E-6
0.02                     388                      2.4831866684313936E-6
0.02                     389                      2.486398867218425E-6
0.02                     390                      2.489612540001905E-6
0.02                     391                      2.49282768115643E-6
0.02                     392                      2.496044293223255E-6
0.02                     393                      2.4992623719386056E-6
0.02                     394                      2.502481915904417E-6
0.02                     395                      2.505702925395317E-6
0.02                     396                      2.5089253937301E-6
0.02                     397                      2.5121493240750224E-6
0.02                     398                      2.515374710038367E-6
0.02                     399                      2.5186015509519124E-6
0.02                     400                      2.521829846099896E-6
0.02                     401                      2.5250595875634537E-6
0.02                     402                      2.5282907793067544E-6
0.02                     403                      2.531523411934217E-6
0.02                     404                      2.534757486179406E-6
0.02                     405                      2.537992999732435E-6
0.02                     406                      2.5412299437854767E-6
0.02                     407                      2.5444683230476883E-6
0.02                     408                      2.5477081242567768E-6
0.02                     409                      2.5509493504634364E-6
0.02                     410                      2.5541919968206464E-6
0.02                     411                      2.5574360539066832E-6
0.02                     412                      2.5606815271930883E-6
0.02                     413                      2.563928398554156E-6
0.02                     414                      2.567176674491461E-6
0.02                     415                      2.570426346689809E-6
0.02                     416                      2.5736774059341525E-6
0.02                     417                      2.5769298576612643E-6
0.02                     418                      2.5801836797029163E-6
0.02                     419                      2.5834388815898894E-6
0.02                     420                      2.5866954509724366E-6
0.02                     421                      2.589953379700149E-6
0.02                     422                      2.593212671866053E-6
0.02                     423                      2.596473303474606E-6
0.02                     424                      2.5997352852895775E-6
0.02                     425                      2.6029986007819464E-6
0.02                     426                      2.606263243855298E-6
0.02                     427                      2.609529216399905E-6
0.02                     428                      2.612796493269839E-6
0.02                     429                      2.6160650862856348E-6
0.02                     430                      2.6193349566510895E-6
0.02                     431                      2.6226060990295838E-6
0.02                     432                      2.62587852373247E-6
0.02                     433                      2.629152230759585E-6
0.02                     434                      2.6324272201109635E-6
0.02                     435                      2.6357034299913636E-6
0.02                     436                      2.638980881960559E-6
0.02                     437                      2.6422595891053852E-6
0.02                     438                      2.6455395514260994E-6
0.02                     439                      2.648820729308746E-6
0.02                     440                      2.6521030619511455E-6
0.02                     441                      2.6553866042984954E-6
0.02                     442                      2.6586713563507618E-6
0.02                     443                      2.6619573181075584E-6
0.02                     444                      2.6652443672867232E-6
0.02                     445                      2.668532569795937E-6
0.02                     446                      2.671821933023591E-6
0.02                     447                      2.675112456969942E-6
0.02                     448                      2.678404077325457E-6
0.02                     449                      2.6816967544714238E-6
0.02                     450                      2.684990540001459E-6
0.02                     451                      2.68828543391496E-6
0.02                     452                      2.691581428077537E-6
0.02                     453                      2.694878386202226E-6
0.02                     454                      2.698176397877147E-6
0.02                     455                      2.7014754631027137E-6
0.02                     456                      2.704775581878519E-6
0.02                     457                      2.708076662653922E-6
0.02                     458                      2.7113786974179084E-6
0.02                     459                      2.714681728679152E-6
0.02                     460                      2.717985756437836E-6
0.02                     461                      2.7212907530978775E-6
0.02                     462                      2.7245966010185703E-6
0.02                     463                      2.7279033861920003E-6
0.02                     464                      2.7312111086183707E-6
0.02                     465                      2.734519768297736E-6
0.02                     466                      2.7378292423846295E-6
0.02                     467                      2.7411395623912183E-6
0.02                     468                      2.7444507581905316E-6
0.02                     469                      2.7477628297825694E-6
0.02                     470                      2.7510757260893273E-6
0.02                     471                      2.7543893547421944E-6
0.02                     472                      2.757703795458843E-6
0.02                     473                      2.761019048239456E-6
0.02                     474                      2.7643351130839187E-6
0.02                     475                      2.7676518307914733E-6
0.02                     476                      2.7709692807499305E-6
0.02                     477                      2.7742874767450296E-6
0.02                     478                      2.77760641877654E-6
0.02                     479                      2.780926027916888E-6
0.02                     480                      2.784246244282837E-6
0.02                     481                      2.787567138374741E-6
0.02                     482                      2.7908887101922957E-6
0.02                     483                      2.7942109536185133E-6
0.02                     484                      2.797533686568422E-6
0.02                     485                      2.8008570267112158E-6
0.02                     486                      2.8041809740473415E-6
0.02                     487                      2.8075055285762708E-6
0.02                     488                      2.810830579328617E-6
0.02                     489                      2.8141561068844895E-6
0.02                     490                      2.817482168991193E-6
0.02                     491                      2.8208087656485584E-6
0.02                     492                      2.8241358669831427E-6
0.02                     493                      2.8274633171646143E-6
0.02                     494                      2.8307912273055626E-6
0.02                     495                      2.8341195974060417E-6
0.02                     496                      2.8374484274659975E-6
0.02                     497                      2.840777570925379E-6
0.02                     498                      2.844107056702142E-6
0.02                     499                      2.8474369260278034E-6
0.02                     500                      2.8507671789023705E-6
0.02                     501                      2.8540977581918174E-6
0.02                     502                      2.8574285422074675E-6
0.02                     503                      2.860759631775305E-6
0.02                     504                      2.864091026895377E-6
0.02                     505                      2.8674227275674873E-6
0.02                     506                      2.870754549136278E-6
0.02                     507                      2.874086575784607E-6
0.02                     508                      2.877418828623184E-6
0.02                     509                      2.880751307652064E-6
0.02                     510                      2.884083857080115E-6
0.02                     511                      2.887416333786383E-6
0.02                     512                      2.8907488928038233E-6
0.02                     513                      2.89408153413211E-6
0.02                     514                      2.8974142577712438E-6
0.02                     515                      2.9007470637212716E-6
0.02                     516                      2.9040799519824173E-6
0.02                     517                      2.9074129225541997E-6
0.02                     518                      2.910745975437032E-6
0.02                     519                      2.914078836391069E-6
0.02                     520                      2.9174115012212403E-6
0.02                     521                      2.9207441480879367E-6
0.02                     522                      2.9240767769911176E-6
0.02                     523                      2.927409387931149E-6
0.02                     524                      2.9307419809077796E-6
0.02                     525                      2.9340745559210506E-6
0.02                     526                      2.937407112970901E-6
0.02                     527                      2.940739250460931E-6
0.02                     528                      2.9440709783767584E-6
0.02                     529                      2.947402532491989E-6
0.02                     530                      2.950733912806657E-6
0.02                     531                      2.954065119320593E-6
0.02                     532                      2.9573961520338714E-6
0.02                     533                      2.9607270109466684E-6
0.02                     534                      2.9640576960585367E-6
0.02                     535                      2.9673877986520372E-6
0.02                     536                      2.9707173555493184E-6
0.02                     537                      2.974046585930699E-6
0.02                     538                      2.9773754897959086E-6
0.02                     539                      2.98070406714496E-6
0.02                     540                      2.984032317977962E-6
0.02                     541                      2.987360242295064E-6
0.02                     542                      2.990687840095845E-6
0.02                     543                      2.994014690907269E-6
0.02                     544                      2.997340858204589E-6
0.02                     545                      3.000666547524469E-6
0.02                     546                      3.0039917588673976E-6
0.02                     547                      3.0073164922329816E-6
0.02                     548                      3.010640747621275E-6
0.02                     549                      3.0139645250325356E-6
0.02                     550                      3.0172878244663973E-6
0.02                     551                      3.0206102180932947E-6
0.02                     552                      3.023931794858152E-6
0.02                     553                      3.027252744905581E-6
0.02                     554                      3.0305730682358127E-6
0.02                     555                      3.0338927648485215E-6
0.02                     556                      3.0372118347440463E-6
0.02                     557                      3.040530277922116E-6
0.02                     558                      3.0438480943829205E-6
0.02                     559                      3.0471648521481403E-6
0.02                     560                      3.0504806640812296E-6
0.02                     561                      3.053795704195119E-6
0.02                     562                      3.057109972489863E-6
0.02                     563                      3.060423468965136E-6
0.02                     564                      3.0637361936212905E-6
0.02                     565                      3.067048146458191E-6
0.02                     566                      3.0703593274758375E-6
0.02                     567                      3.073668984295534E-6
0.02                     568                      3.076977351213682E-6
0.02                     569                      3.0802847018943747E-6
0.02                     570                      3.0835910363379514E-6
0.02                     571                      3.0868963545438427E-6
0.02                     572                      3.090200656512496E-6
0.02                     573                      3.0935039422436535E-6
0.02                     574                      3.096806211737478E-6
0.02                     575                      3.1001074649941458E-6
0.02                     576                      3.1034077020130197E-6
0.02                     577                      3.1067069227947233E-6
0.02                     578                      3.110005127338999E-6
0.02                     579                      3.113302315645928E-6
0.02                     580                      3.1165984877154295E-6
0.02                     581                      3.1198936435476385E-6
0.02                     582                      3.123187783142379E-6
0.02                     583                      3.1264798072046522E-6
0.02                     584                      3.129770298935982E-6
0.02                     585                      3.1330595994204767E-6
0.02                     586                      3.136347708657594E-6
0.02                     587                      3.1396346266476723E-6
0.02                     588                      3.1429203533907935E-6
0.02                     589                      3.146204888886551E-6
0.02                     590                      3.1494882331352966E-6
0.02                     591                      3.1527703861369225E-6
0.02                     592                      3.156051347891266E-6
0.02                     593                      3.1593311183986247E-6
0.02                     594                      3.1626096976591076E-6
0.02                     595                      3.1658870856721724E-6
0.02                     596                      3.1691632824382664E-6
0.02                     597                      3.1724382879571997E-6
0.02                     598                      3.175712102229013E-6
0.02                     599                      3.1789831368514182E-6
0.02                     600                      3.1822523566463467E-6
0.02                     601                      3.1855201466656928E-6
0.02                     602                      3.1887865069092126E-6
0.02                     603                      3.1920514373771637E-6
0.02                     604                      3.195314938069478E-6
0.02                     605                      3.1985770089861697E-6
0.02                     606                      3.2018376501271705E-6
0.02                     607                      3.2050968614923586E-6
0.02                     608                      3.2083546430821948E-6
0.02                     609                      3.2116109948960962E-6
0.02                     610                      3.214865916934578E-6
0.02                     611                      3.21811940919722E-6
0.02                     612                      3.2213714716842524E-6
0.02                     613                      3.224622104395662E-6
0.02                     614                      3.2278713073312994E-6
0.02                     615                      3.2311174931639306E-6
0.02                     616                      3.234361735567271E-6
0.02                     617                      3.2376043226862495E-6
0.02                     618                      3.2408452545206894E-6
0.02                     619                      3.2440845310705366E-6
0.02                     620                      3.247322152336035E-6
0.02                     621                      3.2505581183167105E-6
0.02                     622                      3.253792429013078E-6
0.02                     623                      3.257025084424771E-6
0.02                     624                      3.2602560845521023E-6
0.02                     625                      3.263485429394922E-6
0.02                     626                      3.2667131189530543E-6
0.02                     627                      3.269939153226838E-6
0.02                     628                      3.273163532215934E-6
