% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:14
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.02                     0                        1.5857102941713948E-6
0.02                     1                        1.5857102784468058E-6
0.02                     2                        1.5857102976942643E-6
0.02                     3                        1.5857103693679972E-6
0.02                     4                        1.5857102224916655E-6
0.02                     5                        1.585709819430121E-6
0.02                     6                        1.5857098794892294E-6
0.02                     7                        1.585712067487286E-6
0.02                     8                        1.5857187460702643E-6
0.02                     9                        1.5857327061080405E-6
0.02                     10                       1.5857573415760814E-6
0.02                     11                       1.5857955307557624E-6
0.02                     12                       1.5858493757530506E-6
0.02                     13                       1.5859213693678713E-6
0.02                     14                       1.5860135850507665E-6
0.02                     15                       1.5861278392345454E-6
0.02                     16                       1.5862655867627564E-6
0.02                     17                       1.5864280104502685E-6
0.02                     18                       1.5866160856663013E-6
0.02                     19                       1.5868305661037854E-6
0.02                     20                       1.5870721237347217E-6
0.02                     21                       1.5873411160679923E-6
0.02                     22                       1.5876375736925905E-6
0.02                     23                       1.587961670331707E-6
0.02                     24                       1.5883133426740712E-6
0.02                     25                       1.5886926779857127E-6
0.02                     26                       1.5890996046579803E-6
0.02                     27                       1.589533838272515E-6
0.02                     28                       1.5899954926659263E-6
0.02                     29                       1.5904839362808005E-6
0.02                     30                       1.5909993771586286E-6
0.02                     31                       1.5915411638256708E-6
0.02                     32                       1.5921093083047841E-6
0.02                     33                       1.592703340906637E-6
0.02                     34                       1.5933230064774283E-6
0.02                     35                       1.5939680768853378E-6
0.02                     36                       1.5946380308852626E-6
0.02                     37                       1.5953328798725618E-6
0.02                     38                       1.596051873437339E-6
0.02                     39                       1.5967952298988172E-6
0.02                     40                       1.5975620212754695E-6
0.02                     41                       1.5983526236087541E-6
0.02                     42                       1.5991652551529112E-6
0.02                     43                       1.6000005565263952E-6
0.02                     44                       1.6008585343423118E-6
0.02                     45                       1.6017391886008235E-6
0.02                     46                       1.6026411703525569E-6
0.02                     47                       1.6035644826095917E-6
0.02                     48                       1.6045096623126271E-6
0.02                     49                       1.6054767094614998E-6
0.02                     50                       1.6064647446352216E-6
0.02                     51                       1.6074722049238116E-6
0.02                     52                       1.6085004269715783E-6
0.02                     53                       1.6095494107791184E-6
0.02                     54                       1.6106191245382717E-6
0.02                     55                       1.6117068076002956E-6
0.02                     56                       1.6128141975462185E-6
0.02                     57                       1.6139412943764727E-6
0.02                     58                       1.6150880980904631E-6
0.02                     59                       1.6162529353303303E-6
0.02                     60                       1.6174358974865241E-6
0.02                     61                       1.6186375949156547E-6
0.02                     62                       1.6198580276181297E-6
0.02                     63                       1.6210964494761074E-6
0.02                     64                       1.622351679426129E-6
0.02                     65                       1.623624760487579E-6
0.02                     66                       1.6249156926607014E-6
0.02                     67                       1.626224417982549E-6
0.02                     68                       1.6275488920879821E-6
0.02                     69                       1.6288904161999713E-6
0.02                     70                       1.6302489903185707E-6
0.02                     71                       1.6316246144441052E-6
0.02                     72                       1.633015999386255E-6
0.02                     73                       1.6344232794293612E-6
0.02                     74                       1.6358468841719438E-6
0.02                     75                       1.6372868136142741E-6
0.02                     76                       1.6387424806671397E-6
0.02                     77                       1.6402130584841426E-6
0.02                     78                       1.6416993033828754E-6
0.02                     79                       1.6432012153629596E-6
0.02                     80                       1.6447187256744345E-6
0.02                     81                       1.646250347104333E-6
0.02                     82                       1.6477970374019793E-6
0.02                     83                       1.6493587965658814E-6
0.02                     84                       1.6509356245965282E-6
0.02                     85                       1.6525265195683485E-6
0.02                     86                       1.6541316328723532E-6
0.02                     87                       1.6557512684386976E-6
0.02                     88                       1.6573854262677334E-6
0.02                     89                       1.6590336335161417E-6
0.02                     90                       1.6606952988163307E-6
0.02                     91                       1.6623709844237983E-6
0.02                     92                       1.6640606903390057E-6
0.02                     93                       1.6657643434069563E-6
0.02                     94                       1.6674808224852294E-6
0.02                     95                       1.6692108584911464E-6
0.02                     96                       1.6709544514240283E-6
0.02                     97                       1.672711601284959E-6
0.02                     98                       1.6744814962094658E-6
0.02                     99                       1.6762642950241126E-6
0.02                     100                      1.6780602209663682E-6
0.02                     101                      1.679869274035799E-6
0.02                     102                      1.6816910572566819E-6
0.02                     103                      1.6835251310012297E-6
0.02                     104                      1.6853719315455323E-6
0.02                     105                      1.6872314588900005E-6
0.02                     106                      1.6891035851646889E-6
0.02                     107                      1.6909868153997137E-6
0.02                     108                      1.692882136859912E-6
0.02                     109                      1.6947895495445502E-6
0.02                     110                      1.6967090534544432E-6
0.02                     111                      1.6986406485888846E-6
0.02                     112                      1.7005843349479294E-6
0.02                     113                      1.7025401125323374E-6
0.02                     114                      1.7045079813412115E-6
0.02                     115                      1.7064871590590858E-6
0.02                     116                      1.708477138396556E-6
0.02                     117                      1.7104788153695993E-6
0.02                     118                      1.712492189978842E-6
0.02                     119                      1.7145172622237653E-6
0.02                     120                      1.7165540321045348E-6
0.02                     121                      1.7186024996212595E-6
0.02                     122                      1.7206626647739098E-6
0.02                     123                      1.7227329433587297E-6
0.02                     124                      1.724813585095312E-6
0.02                     125                      1.7269053457144991E-6
0.02                     126                      1.729008225216701E-6
0.02                     127                      1.7311222236016967E-6
0.02                     128                      1.7332473408697605E-6
0.02                     129                      1.7353835770207552E-6
0.02                     130                      1.7375309320545445E-6
0.02                     131                      1.7396874589152823E-6
0.02                     132                      1.7418543020631173E-6
0.02                     133                      1.7440317408132576E-6
0.02                     134                      1.7462197751652152E-6
0.02                     135                      1.7484184051198575E-6
0.02                     136                      1.7506276306765086E-6
0.02                     137                      1.752847451835409E-6
0.02                     138                      1.7550777304325999E-6
0.02                     139                      1.7573165623567455E-6
0.02                     140                      1.7595655016754615E-6
0.02                     141                      1.7618245483895067E-6
0.02                     142                      1.7640937024988025E-6
0.02                     143                      1.7663729640029107E-6
0.02                     144                      1.7686623329021882E-6
0.02                     145                      1.7709618091966331E-6
0.02                     146                      1.773270862654222E-6
0.02                     147                      1.775588386669403E-6
0.02                     148                      1.7779155548125484E-6
0.02                     149                      1.7802523670837413E-6
0.02                     150                      1.7825988234824091E-6
0.02                     151                      1.7849549240091262E-6
0.02                     152                      1.7873206686642685E-6
0.02                     153                      1.7896960574466705E-6
0.02                     154                      1.7920801660292891E-6
0.02                     155                      1.7944726394139974E-6
0.02                     156                      1.7968743062240829E-6
0.02                     157                      1.799285166459249E-6
0.02                     158                      1.8017052201194671E-6
0.02                     159                      1.8041344672051963E-6
0.02                     160                      1.806572907715869E-6
0.02                     161                      1.8090205416518408E-6
0.02                     162                      1.811476016044536E-6
0.02                     163                      1.8139397378384145E-6
0.02                     164                      1.8164122023581663E-6
0.02                     165                      1.8188934096047127E-6
0.02                     166                      1.8213833595772948E-6
0.02                     167                      1.8238820522761007E-6
0.02                     168                      1.8263894877017588E-6
0.02                     169                      1.82890566585329E-6
0.02                     170                      1.8314287419153037E-6
0.02                     171                      1.8339599539965923E-6
0.02                     172                      1.8364994473433807E-6
0.02                     173                      1.839047221955967E-6
0.02                     174                      1.8416032778340295E-6
0.02                     175                      1.8441676149778086E-6
0.02                     176                      1.8467402333870892E-6
0.02                     177                      1.8493208864763942E-6
0.02                     178                      1.8519078981870177E-6
0.02                     179                      1.8545027116804444E-6
0.02                     180                      1.8571053269572756E-6
0.02                     181                      1.8597157440171284E-6
0.02                     182                      1.8623339628596538E-6
0.02                     183                      1.864959983485743E-6
0.02                     184                      1.8675938058946641E-6
0.02                     185                      1.8702347352742453E-6
0.02                     186                      1.8728817907521057E-6
0.02                     187                      1.8755361474526587E-6
0.02                     188                      1.8781978053752522E-6
0.02                     189                      1.8808667645202114E-6
0.02                     190                      1.8835430248875635E-6
0.02                     191                      1.8862265864776083E-6
0.02                     192                      1.888917449289636E-6
0.02                     193                      1.891614413191007E-6
0.02                     194                      1.8943173043966578E-6
0.02                     195                      1.897026976526565E-6
