% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              TCE_reacted 0.5 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.5                      156                      3.493298579312196E-6
0.5                      157                      3.4997411371207515E-6
0.5                      158                      3.5061528656519977E-6
0.5                      159                      3.5125337649056365E-6
0.5                      160                      3.518883834881058E-6
0.5                      161                      3.5252030755791706E-6
0.5                      162                      3.531491486999459E-6
0.5                      163                      3.5377490691418145E-6
0.5                      164                      3.5439758220068475E-6
0.5                      165                      3.5501717455938665E-6
0.5                      166                      3.5563368399032104E-6
0.5                      167                      3.562471104934852E-6
0.5                      168                      3.568574540688927E-6
0.5                      169                      3.5746471471649204E-6
0.5                      170                      3.5807516449737635E-6
0.5                      171                      3.5868308074426066E-6
0.5                      172                      3.592884631976981E-6
0.5                      173                      3.5989131185775646E-6
0.5                      174                      3.6049162672437064E-6
0.5                      175                      3.610894077975854E-6
0.5                      176                      3.616846550773614E-6
0.5                      177                      3.622773685637353E-6
0.5                      178                      3.6286754825668805E-6
0.5                      179                      3.6345519415621427E-6
0.5                      180                      3.640403062623492E-6
0.5                      181                      3.6462288457503724E-6
0.5                      182                      3.652029290943489E-6
0.5                      183                      3.6578043982020013E-6
0.5                      184                      3.663554167526411E-6
0.5                      185                      3.6692785989167178E-6
0.5                      186                      3.6749776923728948E-6
0.5                      187                      3.6806514478948877E-6
0.5                      188                      3.686299865482561E-6
0.5                      189                      3.6919229451363214E-6
0.5                      190                      3.697520686855911E-6
0.5                      191                      3.7031022037990416E-6
0.5                      192                      3.7087109621729763E-6
0.5                      193                      3.7142997111698213E-6
0.5                      194                      3.719868450789075E-6
0.5                      195                      3.7254171810311034E-6
0.5                      196                      3.7309459018954456E-6
0.5                      197                      3.736454613382698E-6
0.5                      198                      3.7419433154924E-6
0.5                      199                      3.7474120082245648E-6
0.5                      200                      3.75286069157945E-6
0.5                      201                      3.7582893655571642E-6
0.5                      202                      3.7636980301572465E-6
0.5                      203                      3.769086685380049E-6
0.5                      204                      3.774455331225396E-6
0.5                      205                      3.7798039676934636E-6
0.5                      206                      3.785132594783845E-6
