% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:06
% Table:              Table 61 - NP_retention_mass_lowPM (np_retention_mass_lowPM)
% Q_inject_design        t (s)                    np_retention_mass_lowPM (mol/m)
0.5                      0                        2.473327454591028E-13
0.5                      1                        -1.8495542247176693E-8
0.5                      2                        5.060129965075187E-7
0.5                      3                        2.912069195736819E-6
0.5                      4                        6.526801627397507E-6
0.5                      5                        1.0863577383939092E-5
0.5                      6                        1.5701045175648688E-5
0.5                      7                        2.0972355919469632E-5
0.5                      8                        2.6635013219770464E-5
0.5                      9                        3.271691669395865E-5
0.5                      10                       3.9304451791273136E-5
0.5                      11                       4.6442074590631815E-5
0.5                      12                       5.394433890984372E-5
0.5                      13                       6.14972028063262E-5
0.5                      14                       6.900609911340349E-5
0.5                      15                       7.633252100446279E-5
0.5                      16                       8.344712416450144E-5
0.5                      17                       9.03626476675234E-5
0.5                      18                       9.71160367663621E-5
0.5                      19                       1.0371309115606699E-4
0.5                      20                       1.1013639943516344E-4
0.5                      21                       1.1634948569160727E-4
0.5                      22                       1.2228842335188737E-4
0.5                      23                       1.2788729539702602E-4
0.5                      24                       1.3313005422846446E-4
0.5                      25                       1.3802548372102283E-4
0.5                      26                       1.4262465580347055E-4
0.5                      27                       1.4694667958630846E-4
0.5                      28                       1.5103760177716423E-4
0.5                      29                       1.5497862250755303E-4
0.5                      30                       1.5882688604688163E-4
0.5                      31                       1.6256927426329287E-4
0.5                      32                       1.6626032810962914E-4
0.5                      33                       1.6990722602270902E-4
0.5                      34                       1.735263233471535E-4
0.5                      35                       1.7713335771919346E-4
0.5                      36                       1.8074200545271043E-4
0.5                      37                       1.8435105967679307E-4
0.5                      38                       1.8797209201393711E-4
0.5                      39                       1.9163183115953578E-4
0.5                      40                       1.953235736920818E-4
0.5                      41                       1.9901685454643084E-4
0.5                      42                       2.0271186428178896E-4
0.5                      43                       2.0641586959890243E-4
0.5                      44                       2.101338839934534E-4
0.5                      45                       2.1386349224655836E-4
0.5                      46                       2.1759433687260828E-4
0.5                      47                       2.213154128976632E-4
0.5                      48                       2.250343002382624E-4
0.5                      49                       2.2875996146347875E-4
0.5                      50                       2.324907538822791E-4
0.5                      51                       2.3623061483273473E-4
0.5                      52                       2.4000552005598125E-4
0.5                      53                       2.4380228744259538E-4
0.5                      54                       2.4762091699257616E-4
0.5                      55                       2.514614087059245E-4
0.5                      56                       2.553237625826394E-4
0.5                      57                       2.5914368612477286E-4
0.5                      58                       2.629584147500431E-4
0.5                      59                       2.667725157006833E-4
0.5                      60                       2.7058598897669334E-4
0.5                      61                       2.743988345780718E-4
0.5                      62                       2.78204882106143E-4
0.5                      63                       2.8200419833587234E-4
0.5                      64                       2.8579964152950215E-4
0.5                      65                       2.895912116870321E-4
0.5                      66                       2.933789088084612E-4
