% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:03
% Table:              Table 61 - NP_retention_mass_lowPM (np_retention_mass_lowPM)
% Q_inject_design        t (s)                    np_retention_mass_lowPM (mol/m)
0.02                     0                        3.546014942121491E-14
0.02                     1                        -1.0825770666183767E-12
0.02                     2                        4.407906302651844E-12
0.02                     3                        -5.5064178463499515E-12
0.02                     4                        -1.5290849899133893E-11
0.02                     5                        5.933096540369687E-12
0.02                     6                        4.548295200868948E-11
0.02                     7                        5.031197740763075E-11
0.02                     8                        1.241041481673029E-12
0.02                     9                        -9.502767780647988E-11
0.02                     10                       -1.9512015076156078E-10
0.02                     11                       -2.0482151541166706E-10
0.02                     12                       -1.9346187133261012E-11
0.02                     13                       3.2627180816658643E-10
0.02                     14                       6.408539411160557E-10
0.02                     15                       9.261329790199749E-10
0.02                     16                       1.1530535478723225E-9
0.02                     17                       1.2073933417487643E-9
0.02                     18                       8.514623907847585E-10
0.02                     19                       -1.7975544541960648E-10
0.02                     20                       -2.1091242534960122E-9
0.02                     21                       -5.035888104612601E-9
0.02                     22                       -8.548402984636114E-9
0.02                     23                       -1.2132101823492848E-8
0.02                     24                       -1.5828600886533466E-8
0.02                     25                       -1.893341101181087E-8
0.02                     26                       -2.1766123572603832E-8
0.02                     27                       -2.4355241492304217E-8
0.02                     28                       -2.6689356628038448E-8
0.02                     29                       -2.8235014128454445E-8
0.02                     30                       -2.9167940029233295E-8
0.02                     31                       -2.7860251414285452E-8
0.02                     32                       -2.4341665393186662E-8
0.02                     33                       -1.8053862257020196E-8
0.02                     34                       -8.635181710199037E-9
0.02                     35                       3.6967622929494684E-9
0.02                     36                       1.9021742478842595E-8
0.02                     37                       3.722729360301843E-8
0.02                     38                       5.812216399870315E-8
0.02                     39                       8.178097483174012E-8
0.02                     40                       1.0810925107773183E-7
0.02                     41                       1.3714527636823145E-7
0.02                     42                       1.696752406117755E-7
0.02                     43                       2.0541647325505614E-7
0.02                     44                       2.4436605583020245E-7
0.02                     45                       2.8652398833721463E-7
0.02                     46                       3.3356945079807466E-7
0.02                     47                       3.8549869240626196E-7
0.02                     48                       4.4164332742942736E-7
0.02                     49                       5.020033558675725E-7
0.02                     50                       5.662338320649561E-7
0.02                     51                       6.337217172917019E-7
0.02                     52                       7.049912996036175E-7
0.02                     53                       7.800425790007035E-7
0.02                     54                       8.588665660420732E-7
