% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:03
% Table:              Table 61 - NP_retention_mass_lowPM (np_retention_mass_lowPM)
% Q_inject_design        t (s)                    np_retention_mass_lowPM (mol/m)
0.02                     55                       9.406830592799467E-7
0.02                     56                       1.0259831256327348E-6
0.02                     57                       1.1147667651004398E-6
0.02                     58                       1.2070339776830596E-6
0.02                     59                       1.3029947105041495E-6
0.02                     60                       1.4026374973417023E-6
0.02                     61                       1.505885760011106E-6
0.02                     62                       1.6127394985123577E-6
0.02                     63                       1.7224506953883792E-6
0.02                     64                       1.8338352797441088E-6
0.02                     65                       1.9479389270133567E-6
0.02                     66                       2.064761637196121E-6
0.02                     67                       2.18428673990142E-6
0.02                     68                       2.3059262649136883E-6
0.02                     69                       2.4300544509046227E-6
0.02                     70                       2.5566712978742134E-6
0.02                     71                       2.6857768058224705E-6
0.02                     72                       2.817605723456265E-6
0.02                     73                       2.9521335989746115E-6
0.02                     74                       3.0892822067392013E-6
0.02                     75                       3.2290515467500264E-6
0.02                     76                       3.3709753488679093E-6
0.02                     77                       3.514396925593017E-6
0.02                     78                       3.6599169496761642E-6
0.02                     79                       3.8075354211173437E-6
0.02                     80                       3.957206363944739E-6
0.02                     81                       4.107935224260078E-6
0.02                     82                       4.260362483485827E-6
0.02                     83                       4.414488141621972E-6
0.02                     84                       4.570312198668518E-6
0.02                     85                       4.72821240179923E-6
0.02                     86                       4.8881316734532506E-6
0.02                     87                       5.049955425373569E-6
0.02                     88                       5.213683657560196E-6
0.02                     89                       5.379281784954439E-6
0.02                     90                       5.546706553386462E-6
0.02                     91                       5.715999087713423E-6
0.02                     92                       5.887159387935328E-6
0.02                     93                       6.060124919836557E-6
0.02                     94                       6.233937299257136E-6
0.02                     95                       6.409221334577153E-6
0.02                     96                       6.58597702579661E-6
0.02                     97                       6.764204372915506E-6
0.02                     98                       6.943706668651212E-6
0.02                     99                       7.124522395268985E-6
0.02                     100                      7.3067056410773005E-6
0.02                     101                      7.490256406076165E-6
0.02                     102                      7.675260887376645E-6
0.02                     103                      7.861814543403479E-6
0.02                     104                      8.049822643437385E-6
0.02                     105                      8.239285187478368E-6
0.02                     106                      8.430183651628975E-6
0.02                     107                      8.622301467223252E-6
0.02                     108                      8.815781654245981E-6
0.02                     109                      9.010624212697158E-6
0.02                     110                      9.206829142576776E-6
0.02                     111                      9.404396443884853E-6
0.02                     112                      9.603326116621366E-6
0.02                     113                      9.803618160786337E-6
0.02                     114                      1.000527257637975E-5
0.02                     115                      1.0208053604283065E-5
0.02                     116                      1.0411808367464373E-5
0.02                     117                      1.0616806889908589E-5
0.02                     118                      1.0823049171615723E-5
0.02                     119                      1.1030535212585777E-5
0.02                     120                      1.1239265012818738E-5
0.02                     121                      1.1449238572314625E-5
0.02                     122                      1.1660455891073427E-5
0.02                     123                      1.1872129257048005E-5
0.02                     124                      1.2084382837892662E-5
0.02                     125                      1.229759240518825E-5
0.02                     126                      1.2511757958934775E-5
0.02                     127                      1.2726879499132212E-5
0.02                     128                      1.2942957025780586E-5
0.02                     129                      1.315999053887989E-5
0.02                     130                      1.3377980038430127E-5
0.02                     131                      1.35976886677571E-5
0.02                     132                      1.3818667858866652E-5
0.02                     133                      1.4040808134877745E-5
0.02                     134                      1.426410949579041E-5
0.02                     135                      1.4488571941604628E-5
0.02                     136                      1.4714195472320383E-5
0.02                     137                      1.4940980087937715E-5
0.02                     138                      1.5168848753334126E-5
0.02                     139                      1.5396739807823017E-5
0.02                     140                      1.5625519741319315E-5
0.02                     141                      1.585518855382303E-5
0.02                     142                      1.6085746245334115E-5
0.02                     143                      1.631719281585262E-5
0.02                     144                      1.6549528265378534E-5
0.02                     145                      1.6782752593911835E-5
0.02                     146                      1.70169576697566E-5
0.02                     147                      1.7252335224134997E-5
0.02                     148                      1.7488681923492936E-5
0.02                     149                      1.772599776783039E-5
0.02                     150                      1.796428275714737E-5
0.02                     151                      1.8203536891443882E-5
0.02                     152                      1.8443760170719926E-5
0.02                     153                      1.868495259497549E-5
0.02                     154                      1.8926953444193315E-5
0.02                     155                      1.9169700992062613E-5
0.02                     156                      1.9413339317744138E-5
0.02                     157                      1.965786842123792E-5
0.02                     158                      1.9903288302543926E-5
0.02                     159                      2.014959896166217E-5
0.02                     160                      2.0396800398592652E-5
0.02                     161                      2.0644892613335406E-5
0.02                     162                      2.0893912385543535E-5
0.02                     163                      2.114384865267675E-5
0.02                     164                      2.1394687949605386E-5
0.02                     165                      2.1646430276329437E-5
0.02                     166                      2.1899075632848876E-5
0.02                     167                      2.215262401916375E-5
0.02                     168                      2.240707543527402E-5
0.02                     169                      2.2662429881179696E-5
0.02                     170                      2.2918444319000297E-5
0.02                     171                      2.317528185845149E-5
0.02                     172                      2.3432961634416982E-5
0.02                     173                      2.36914836468967E-5
0.02                     174                      2.3950847895890712E-5
0.02                     175                      2.421105438139897E-5
0.02                     176                      2.4472103103421463E-5
0.02                     177                      2.4734016835029323E-5
0.02                     178                      2.499695036611507E-5
0.02                     179                      2.5260770415618706E-5
0.02                     180                      2.5525476983540217E-5
0.02                     181                      2.5791070069879685E-5
0.02                     182                      2.6057549674637002E-5
0.02                     183                      2.6324915797812253E-5
0.02                     184                      2.65931684394054E-5
0.02                     185                      2.6862238951281797E-5
0.02                     186                      2.713203042228684E-5
0.02                     187                      2.7402658955826665E-5
0.02                     188                      2.7674124551901266E-5
0.02                     189                      2.7946427210510626E-5
0.02                     190                      2.8219566931654788E-5
0.02                     191                      2.8493543715333746E-5
0.02                     192                      2.8768357561547448E-5
0.02                     193                      2.9044107770350293E-5
0.02                     194                      2.9320808720778486E-5
0.02                     195                      2.959838978364902E-5
0.02                     196                      2.9876850958961858E-5
0.02                     197                      3.0156192246717024E-5
0.02                     198                      3.0436413646914533E-5
0.02                     199                      3.071751515955438E-5
0.02                     200                      3.099949678463655E-5
0.02                     201                      3.1282467006623534E-5
0.02                     202                      3.1566380007190654E-5
0.02                     203                      3.185120629638594E-5
0.02                     204                      3.21369458742094E-5
0.02                     205                      3.2423598740661046E-5
0.02                     206                      3.271116489574082E-5
0.02                     207                      3.2999644339448794E-5
0.02                     208                      3.328903707178493E-5
0.02                     209                      3.357935647099671E-5
0.02                     210                      3.3870592574913407E-5
0.02                     211                      3.416274509465038E-5
0.02                     212                      3.445581403020761E-5
0.02                     213                      3.474979938158511E-5
0.02                     214                      3.504470114878291E-5
0.02                     215                      3.534051933180095E-5
0.02                     216                      3.563732941311118E-5
0.02                     217                      3.5935442253550785E-5
0.02                     218                      3.623457230124913E-5
0.02                     219                      3.6534719556206156E-5
0.02                     220                      3.683588401842188E-5
0.02                     221                      3.7138065687896314E-5
0.02                     222                      3.744126456462946E-5
0.02                     223                      3.7745480648621326E-5
0.02                     224                      3.8050725665039916E-5
0.02                     225                      3.835701054125078E-5
0.02                     226                      3.866431979634591E-5
0.02                     227                      3.897265343032533E-5
0.02                     228                      3.928201144318899E-5
0.02                     229                      3.959239383493694E-5
0.02                     230                      3.990380060556919E-5
0.02                     231                      4.021623175508566E-5
0.02                     232                      4.052990755108958E-5
0.02                     233                      4.0844817147350684E-5
0.02                     234                      4.116083697187797E-5
0.02                     235                      4.147796702467139E-5
0.02                     236                      4.179620730573105E-5
0.02                     237                      4.211555781505679E-5
0.02                     238                      4.2436018552648755E-5
0.02                     239                      4.2757589518506924E-5
0.02                     240                      4.308023471644642E-5
0.02                     241                      4.3403973112710784E-5
0.02                     242                      4.372881157260614E-5
0.02                     243                      4.405475009613246E-5
0.02                     244                      4.438178868328973E-5
0.02                     245                      4.470992733407798E-5
0.02                     246                      4.503916604849722E-5
0.02                     247                      4.53695142587541E-5
0.02                     248                      4.570126633181905E-5
0.02                     249                      4.603418920244565E-5
0.02                     250                      4.6368282870633845E-5
0.02                     251                      4.6703547336383576E-5
0.02                     252                      4.703998259969493E-5
0.02                     253                      4.737758866056787E-5
0.02                     254                      4.771636551900244E-5
0.02                     255                      4.8056230887064705E-5
0.02                     256                      4.8396962455059025E-5
0.02                     257                      4.873878143798689E-5
0.02                     258                      4.908168783584818E-5
0.02                     259                      4.942568164864303E-5
0.02                     260                      4.9770762876371327E-5
0.02                     261                      5.011693151903312E-5
0.02                     262                      5.046418757662842E-5
0.02                     263                      5.081257869908507E-5
0.02                     264                      5.1162132213631355E-5
0.02                     265                      5.151279841943861E-5
0.02                     266                      5.1864577316506866E-5
0.02                     267                      5.2217468904836134E-5
0.02                     268                      5.2571473184426404E-5
0.02                     269                      5.2926590155277716E-5
0.02                     270                      5.328281981739001E-5
0.02                     271                      5.363975717337457E-5
0.02                     272                      5.3997487196220336E-5
0.02                     273                      5.4356186711344125E-5
0.02                     274                      5.4715855718746026E-5
0.02                     275                      5.507649421842605E-5
0.02                     276                      5.543810221038411E-5
0.02                     277                      5.5800679694620304E-5
0.02                     278                      5.6164226671134566E-5
0.02                     279                      5.652820302589802E-5
0.02                     280                      5.689294242806726E-5
0.02                     281                      5.7258509784426884E-5
0.02                     282                      5.7624905094976996E-5
0.02                     283                      5.7992128359717654E-5
0.02                     284                      5.836017957864872E-5
0.02                     285                      5.872905875177017E-5
0.02                     286                      5.9098710402148114E-5
0.02                     287                      5.9468558774924396E-5
0.02                     288                      5.983908203027571E-5
0.02                     289                      6.0210280168202184E-5
0.02                     290                      6.058215318870384E-5
0.02                     291                      6.095470109178053E-5
0.02                     292                      6.132792387743237E-5
0.02                     293                      6.170182154565929E-5
0.02                     294                      6.207624992317628E-5
0.02                     295                      6.245094590319183E-5
0.02                     296                      6.282619937958508E-5
0.02                     297                      6.320201035235617E-5
0.02                     298                      6.357837882150514E-5
0.02                     299                      6.39553047870318E-5
0.02                     300                      6.433278824893628E-5
0.02                     301                      6.471082920721863E-5
0.02                     302                      6.50890545691821E-5
0.02                     303                      6.546735410575076E-5
0.02                     304                      6.584603669302092E-5
0.02                     305                      6.622510233099243E-5
0.02                     306                      6.660455101966539E-5
0.02                     307                      6.698438275903974E-5
0.02                     308                      6.736459754911554E-5
0.02                     309                      6.774479178139398E-5
0.02                     310                      6.812515321865761E-5
0.02                     311                      6.850576482604177E-5
0.02                     312                      6.888662660354642E-5
0.02                     313                      6.926773855117172E-5
0.02                     314                      6.964909041970111E-5
0.02                     315                      7.003055740847999E-5
0.02                     316                      7.041223240303329E-5
0.02                     317                      7.079411540336105E-5
0.02                     318                      7.117620640946328E-5
0.02                     319                      7.155850542133991E-5
0.02                     320                      7.194115804826199E-5
0.02                     321                      7.232407901213678E-5
0.02                     322                      7.270725936909191E-5
0.02                     323                      7.30906991191274E-5
0.02                     324                      7.347439826224314E-5
0.02                     325                      7.385828278544938E-5
0.02                     326                      7.424237725919042E-5
0.02                     327                      7.462669910488925E-5
0.02                     328                      7.50112483225457E-5
0.02                     329                      7.539602491215983E-5
0.02                     330                      7.578052490348099E-5
0.02                     331                      7.616472644984761E-5
0.02                     332                      7.654887729291389E-5
0.02                     333                      7.693304367172904E-5
0.02                     334                      7.731762403486895E-5
0.02                     335                      7.770237528308747E-5
0.02                     336                      7.808729741638448E-5
0.02                     337                      7.847230591355874E-5
0.02                     338                      7.885740031383332E-5
0.02                     339                      7.924260782023814E-5
0.02                     340                      7.962788990543401E-5
0.02                     341                      8.001322976478875E-5
0.02                     342                      8.039864723682829E-5
0.02                     343                      8.078370469385819E-5
0.02                     344                      8.116844814354146E-5
0.02                     345                      8.155341632013494E-5
0.02                     346                      8.193828895055994E-5
0.02                     347                      8.232249866898267E-5
0.02                     348                      8.270688550454971E-5
0.02                     349                      8.309172470207779E-5
0.02                     350                      8.347733822630299E-5
0.02                     351                      8.386306349723792E-5
0.02                     352                      8.424891989534213E-5
0.02                     353                      8.463485035018976E-5
0.02                     354                      8.502082375998492E-5
0.02                     355                      8.540680495973097E-5
0.02                     356                      8.579279218280336E-5
0.02                     357                      8.61787819264161E-5
0.02                     358                      8.656479429784526E-5
0.02                     359                      8.695084427070685E-5
0.02                     360                      8.733692991902888E-5
0.02                     361                      8.772304502413111E-5
0.02                     362                      8.81091756226434E-5
0.02                     363                      8.849531216092763E-5
0.02                     364                      8.888143846093185E-5
0.02                     365                      8.926753828860794E-5
0.02                     366                      8.965417277796727E-5
0.02                     367                      9.004124921383888E-5
0.02                     368                      9.042852918986875E-5
0.02                     369                      9.081528881683795E-5
0.02                     370                      9.12019337749094E-5
0.02                     371                      9.158840292411549E-5
0.02                     372                      9.197470265286128E-5
0.02                     373                      9.236086013150721E-5
0.02                     374                      9.274691358985478E-5
0.02                     375                      9.313284234110418E-5
0.02                     376                      9.351863655146752E-5
0.02                     377                      9.390429870194126E-5
0.02                     378                      9.428982252230552E-5
0.02                     379                      9.467519771217173E-5
0.02                     380                      9.506043034799957E-5
0.02                     381                      9.544555675054074E-5
0.02                     382                      9.583056320222422E-5
0.02                     383                      9.621544613591575E-5
0.02                     384                      9.660020286034593E-5
0.02                     385                      9.698483395784366E-5
0.02                     386                      9.736930415257991E-5
0.02                     387                      9.775362871179324E-5
0.02                     388                      9.81378239978294E-5
0.02                     389                      9.852189995614876E-5
0.02                     390                      9.890585377362972E-5
0.02                     391                      9.928973558777117E-5
0.02                     392                      9.96735227453786E-5
0.02                     393                      1.0005723190160398E-4
0.02                     394                      1.0044086851682953E-4
0.02                     395                      1.0082442775281353E-4
0.02                     396                      1.0120791529577034E-4
0.02                     397                      1.0159132845090682E-4
0.02                     398                      1.0197469087674688E-4
0.02                     399                      1.0235800504506076E-4
0.02                     400                      1.0274126119856569E-4
0.02                     401                      1.031244462396738E-4
0.02                     402                      1.0350756672565761E-4
0.02                     403                      1.0389062476994208E-4
0.02                     404                      1.0427362020763755E-4
0.02                     405                      1.0465654880420212E-4
0.02                     406                      1.0503940169306558E-4
0.02                     407                      1.0542218361471754E-4
0.02                     408                      1.0580486690810195E-4
0.02                     409                      1.0618745793599127E-4
0.02                     410                      1.0656996128048452E-4
0.02                     411                      1.0695238005976403E-4
0.02                     412                      1.0733471246290898E-4
0.02                     413                      1.077169825857955E-4
0.02                     414                      1.0809918178582132E-4
0.02                     415                      1.0848130228914384E-4
0.02                     416                      1.0886333680061637E-4
0.02                     417                      1.0924528977727535E-4
0.02                     418                      1.0962714990572848E-4
0.02                     419                      1.1000892204994937E-4
0.02                     420                      1.1039059792250698E-4
0.02                     421                      1.107721720536553E-4
0.02                     422                      1.1115364858783959E-4
0.02                     423                      1.1153502712276761E-4
0.02                     424                      1.1191630783889288E-4
0.02                     425                      1.1229749730883704E-4
0.02                     426                      1.1267859795680723E-4
0.02                     427                      1.1305961273356369E-4
0.02                     428                      1.1344057348354914E-4
0.02                     429                      1.1382146523750693E-4
0.02                     430                      1.1420261742090532E-4
0.02                     431                      1.1458407534446019E-4
0.02                     432                      1.1496575145596127E-4
0.02                     433                      1.1534764575540877E-4
0.02                     434                      1.1572975824280255E-4
0.02                     435                      1.1611132067971405E-4
0.02                     436                      1.1649260109352404E-4
0.02                     437                      1.1687376218397752E-4
0.02                     438                      1.1725480395107429E-4
0.02                     439                      1.1763571724978411E-4
0.02                     440                      1.1801648804378152E-4
0.02                     441                      1.1839712901728588E-4
0.02                     442                      1.1877764017029751E-4
0.02                     443                      1.191580215028163E-4
0.02                     444                      1.1953830174029728E-4
0.02                     445                      1.1991846540032012E-4
0.02                     446                      1.2029851074723722E-4
0.02                     447                      1.2067843778104873E-4
0.02                     448                      1.2105824527030033E-4
0.02                     449                      1.2143793245632553E-4
0.02                     450                      1.2181750032708767E-4
0.02                     451                      1.2219694888258628E-4
0.02                     452                      1.2257627386303782E-4
0.02                     453                      1.2295540390387172E-4
0.02                     454                      1.233343859167247E-4
0.02                     455                      1.2371321990159716E-4
0.02                     456                      1.2409190585848883E-4
0.02                     457                      1.2447045986740436E-4
0.02                     458                      1.2484888333532898E-4
0.02                     459                      1.2522716879606556E-4
0.02                     460                      1.256053162496145E-4
0.02                     461                      1.259833334225351E-4
0.02                     462                      1.2636125325304182E-4
0.02                     463                      1.2673905166417476E-4
0.02                     464                      1.271167286559339E-4
0.02                     465                      1.2749428422831918E-4
0.02                     466                      1.278717490704853E-4
0.02                     467                      1.282491153101204E-4
0.02                     468                      1.2862637548435857E-4
0.02                     469                      1.290035295931997E-4
0.02                     470                      1.293805539438055E-4
0.02                     471                      1.2975740569017447E-4
0.02                     472                      1.3013412181003413E-4
0.02                     473                      1.3051070230338455E-4
0.02                     474                      1.3088714717022557E-4
0.02                     475                      1.3126340173396064E-4
0.02                     476                      1.3163949325990988E-4
0.02                     477                      1.3201542648267446E-4
0.02                     478                      1.3239120140225432E-4
0.02                     479                      1.3276678551359393E-4
0.02                     480                      1.3314215415518937E-4
0.02                     481                      1.335173363610919E-4
0.02                     482                      1.3389233213130153E-4
0.02                     483                      1.342671394009491E-4
0.02                     484                      1.3464169670860472E-4
0.02                     485                      1.350160437727015E-4
0.02                     486                      1.3539018059323944E-4
0.02                     487                      1.3576410717021866E-4
0.02                     488                      1.3613783167792104E-4
0.02                     489                      1.3651135554684513E-4
0.02                     490                      1.3688467452321006E-4
0.02                     491                      1.3725778860701544E-4
0.02                     492                      1.3763070126953658E-4
0.02                     493                      1.3800343061793924E-4
0.02                     494                      1.383759637411554E-4
0.02                     495                      1.3874830063918478E-4
0.02                     496                      1.391204413120276E-4
0.02                     497                      1.3949235162912465E-4
0.02                     498                      1.3986403832482298E-4
0.02                     499                      1.402355110010181E-4
0.02                     500                      1.4060676965770995E-4
0.02                     501                      1.4097778537747635E-4
0.02                     502                      1.413484965697431E-4
0.02                     503                      1.4171895426579517E-4
0.02                     504                      1.4208915846563233E-4
0.02                     505                      1.424591091692547E-4
0.02                     506                      1.4282874655703126E-4
0.02                     507                      1.4319809790017235E-4
0.02                     508                      1.4356717003759958E-4
0.02                     509                      1.439359629693129E-4
0.02                     510                      1.4430461009209576E-4
0.02                     511                      1.446732339541279E-4
0.02                     512                      1.4504170180787415E-4
0.02                     513                      1.4541001365333406E-4
0.02                     514                      1.457781694905079E-4
0.02                     515                      1.4614616931939563E-4
0.02                     516                      1.465140131399972E-4
0.02                     517                      1.468817009523127E-4
0.02                     518                      1.4724923275634188E-4
0.02                     519                      1.4761592500348904E-4
0.02                     520                      1.4798176723741687E-4
0.02                     521                      1.4834720352723888E-4
0.02                     522                      1.487122338729548E-4
0.02                     523                      1.4907685827456486E-4
0.02                     524                      1.4944107673206883E-4
0.02                     525                      1.4980488924546678E-4
0.02                     526                      1.5016829581475887E-4
0.02                     527                      1.505313200844116E-4
0.02                     528                      1.5089396146648199E-4
0.02                     529                      1.5125620607954785E-4
0.02                     530                      1.5161805392360957E-4
0.02                     531                      1.519795049986667E-4
0.02                     532                      1.5234055930471945E-4
0.02                     533                      1.5270121684176797E-4
0.02                     534                      1.5306147760981215E-4
0.02                     535                      1.5342127391191083E-4
0.02                     536                      1.537806118470557E-4
0.02                     537                      1.5413952771856998E-4
0.02                     538                      1.5449802152645443E-4
0.02                     539                      1.5485609327070836E-4
0.02                     540                      1.5521374295133199E-4
0.02                     541                      1.5557097056832547E-4
0.02                     542                      1.559277761216885E-4
0.02                     543                      1.5628400397574543E-4
0.02                     544                      1.5663967762556544E-4
0.02                     545                      1.5699487314934784E-4
0.02                     546                      1.5734959054709217E-4
0.02                     547                      1.5770382981879872E-4
0.02                     548                      1.580575909644677E-4
0.02                     549                      1.5841087398409906E-4
0.02                     550                      1.5876367887769242E-4
0.02                     551                      1.591159424265946E-4
0.02                     552                      1.5946767777384152E-4
0.02                     553                      1.598189130163394E-4
0.02                     554                      1.6016964815408828E-4
0.02                     555                      1.6051988318708805E-4
0.02                     556                      1.6086961811533914E-4
0.02                     557                      1.61218852938841E-4
0.02                     558                      1.6156758765759378E-4
0.02                     559                      1.6191577089557545E-4
0.02                     560                      1.622634160758728E-4
0.02                     561                      1.6261054389416754E-4
0.02                     562                      1.6295715435045942E-4
0.02                     563                      1.6330324744474878E-4
0.02                     564                      1.6364882317703523E-4
0.02                     565                      1.6399388154731927E-4
0.02                     566                      1.6433842255560052E-4
0.02                     567                      1.6468270477065387E-4
0.02                     568                      1.650266476722195E-4
0.02                     569                      1.653701572105752E-4
0.02                     570                      1.657132333857207E-4
0.02                     571                      1.6605587619765623E-4
0.02                     572                      1.663980856463817E-4
0.02                     573                      1.6673986173189732E-4
0.02                     574                      1.6708120445420267E-4
0.02                     575                      1.6742211381329817E-4
0.02                     576                      1.6776258980918355E-4
0.02                     577                      1.6810263244185884E-4
0.02                     578                      1.6844224171132428E-4
0.02                     579                      1.6878141761757958E-4
0.02                     580                      1.6912016016062487E-4
0.02                     581                      1.694584693404599E-4
0.02                     582                      1.697963451570852E-4
0.02                     583                      1.701329986570736E-4
0.02                     584                      1.7046884839844363E-4
0.02                     585                      1.7080413917380268E-4
0.02                     586                      1.7113887098315126E-4
0.02                     587                      1.714730438264886E-4
0.02                     588                      1.7180665770381536E-4
0.02                     589                      1.72139712615131E-4
0.02                     590                      1.7247220856043586E-4
0.02                     591                      1.7280414553973004E-4
0.02                     592                      1.7313552355301332E-4
0.02                     593                      1.7346634260028573E-4
0.02                     594                      1.737966026815474E-4
0.02                     595                      1.7412630379679805E-4
0.02                     596                      1.7445544594603776E-4
0.02                     597                      1.7478402912926696E-4
0.02                     598                      1.7511205334648508E-4
0.02                     599                      1.7543996010638206E-4
0.02                     600                      1.757674812292128E-4
0.02                     601                      1.7609450968688115E-4
0.02                     602                      1.7642104547938725E-4
0.02                     603                      1.767470886067312E-4
0.02                     604                      1.770726390689131E-4
0.02                     605                      1.7739769686593273E-4
0.02                     606                      1.7772226199779006E-4
0.02                     607                      1.7804633446448517E-4
0.02                     608                      1.7836991426601817E-4
0.02                     609                      1.7869300140238906E-4
0.02                     610                      1.7901559587359757E-4
0.02                     611                      1.7933769767964396E-4
0.02                     612                      1.796593068205279E-4
0.02                     613                      1.799804232962499E-4
0.02                     614                      1.8030104710680967E-4
0.02                     615                      1.806212122180183E-4
0.02                     616                      1.809408956552783E-4
0.02                     617                      1.8126009125284015E-4
0.02                     618                      1.8157879901070369E-4
0.02                     619                      1.8189701892886874E-4
0.02                     620                      1.8221475100733557E-4
0.02                     621                      1.8253199524610416E-4
0.02                     622                      1.8284875164517437E-4
0.02                     623                      1.8316502020454623E-4
0.02                     624                      1.8348080092421977E-4
0.02                     625                      1.8379609380419506E-4
0.02                     626                      1.841108988444719E-4
0.02                     627                      1.844252160450505E-4
0.02                     628                      1.8473904540593076E-4
