% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-14                  118                      1.0739207579351748E-4
1.0E-14                  119                      1.0820484250029733E-4
1.0E-14                  120                      1.0900250205834658E-4
1.0E-14                  121                      1.0978518223613813E-4
1.0E-14                  122                      1.1055354648567324E-4
1.0E-14                  123                      1.1130725507264246E-4
1.0E-14                  124                      1.1204719547766303E-4
1.0E-14                  125                      1.1277339858758671E-4
1.0E-14                  126                      1.1348631464067685E-4
1.0E-14                  127                      1.1418860370238059E-4
1.0E-14                  128                      1.1487893922416319E-4
1.0E-14                  129                      1.155573212060245E-4
1.0E-14                  130                      1.1622374964796457E-4
1.0E-14                  131                      1.1687825069853954E-4
1.0E-14                  132                      1.17520929910878E-4
1.0E-14                  133                      1.1815170459249686E-4
1.0E-14                  134                      1.1877057474339601E-4
1.0E-14                  135                      1.1937754036357544E-4
1.0E-14                  136                      1.1997340390803102E-4
1.0E-14                  137                      1.2056235831559446E-4
1.0E-14                  138                      1.2114122762924213E-4
1.0E-14                  139                      1.2171001184897415E-4
1.0E-14                  140                      1.2226871097479057E-4
1.0E-14                  141                      1.228178524752928E-4
1.0E-14                  142                      1.2336113608421952E-4
1.0E-14                  143                      1.23895842866561E-4
1.0E-14                  144                      1.2442197282231735E-4
1.0E-14                  145                      1.249395259514885E-4
1.0E-14                  146                      1.2544893528567463E-4
1.0E-14                  147                      1.259545369159871E-4
1.0E-14                  148                      1.2645323004223033E-4
1.0E-14                  149                      1.269450146644041E-4
1.0E-14                  150                      1.2742989078250852E-4
1.0E-14                  151                      1.2790805309802127E-4
1.0E-14                  152                      1.283826324098207E-4
1.0E-14                  153                      1.2885144466401912E-4
1.0E-14                  154                      1.293144898606165E-4
1.0E-14                  155                      1.2977176799961295E-4
1.0E-14                  156                      1.302233592791758E-4
1.0E-14                  157                      1.306720587403533E-4
1.0E-14                  158                      1.3111596021225162E-4
1.0E-14                  159                      1.3155506369487102E-4
1.0E-14                  160                      1.319893691882113E-4
1.0E-14                  161                      1.324188766922724E-4
1.0E-14                  162                      1.3284582435218036E-4
1.0E-14                  163                      1.332687200689541E-4
1.0E-14                  164                      1.3368756095327402E-4
1.0E-14                  165                      1.3410234700514E-4
1.0E-14                  166                      1.345130782245521E-4
1.0E-14                  167                      1.3492343408869002E-4
1.0E-14                  168                      1.3533112111876512E-4
1.0E-14                  169                      1.3573602561761772E-4
1.0E-14                  170                      1.3613814758524814E-4
1.0E-14                  171                      1.3653748702165607E-4
1.0E-14                  172                      1.3693404392684164E-4
1.0E-14                  173                      1.3732781830080493E-4
1.0E-14                  174                      1.3771881014354586E-4
1.0E-14                  175                      1.3810701945506443E-4
1.0E-14                  176                      1.3849244623536064E-4
1.0E-14                  177                      1.3887724975477066E-4
1.0E-14                  178                      1.392599386320201E-4
1.0E-14                  179                      1.3964028465848546E-4
1.0E-14                  180                      1.4001828783416677E-4
1.0E-14                  181                      1.4039394815906403E-4
1.0E-14                  182                      1.4076726563317716E-4
1.0E-14                  183                      1.4113824025650628E-4
1.0E-14                  184                      1.4150687202905133E-4
1.0E-14                  185                      1.418731609508123E-4
1.0E-14                  186                      1.4223710702178914E-4
1.0E-14                  187                      1.4260239239472365E-4
1.0E-14                  188                      1.4296684942368781E-4
1.0E-14                  189                      1.43329780479971E-4
1.0E-14                  190                      1.4369118556357334E-4
1.0E-14                  191                      1.4405106467449462E-4
1.0E-14                  192                      1.4440941781273506E-4
1.0E-14                  193                      1.4476624497829452E-4
1.0E-14                  194                      1.4512154617117308E-4
1.0E-14                  195                      1.4547532139137068E-4
1.0E-14                  196                      1.4582757063888734E-4
1.0E-14                  197                      1.461803221556815E-4
1.0E-14                  198                      1.4653262593737235E-4
1.0E-14                  199                      1.4688389737220226E-4
1.0E-14                  200                      1.472341364601714E-4
1.0E-14                  201                      1.475833432012797E-4
1.0E-14                  202                      1.479315175955272E-4
1.0E-14                  203                      1.4827865964291397E-4
1.0E-14                  204                      1.4862476934343982E-4
1.0E-14                  205                      1.489698466971048E-4
1.0E-14                  206                      1.493138917039091E-4
1.0E-14                  207                      1.4965867986727234E-4
1.0E-14                  208                      1.5000363531460142E-4
1.0E-14                  209                      1.5034803636638667E-4
1.0E-14                  210                      1.5069188302262794E-4
1.0E-14                  211                      1.5103517528332555E-4
1.0E-14                  212                      1.513779131484792E-4
1.0E-14                  213                      1.51720096618089E-4
1.0E-14                  214                      1.5206172569215502E-4
1.0E-14                  215                      1.5240280037067717E-4
1.0E-14                  216                      1.527433206536555E-4
1.0E-14                  217                      1.5308328654108997E-4
1.0E-14                  218                      1.5342269803298055E-4
1.0E-14                  219                      1.5376155512932728E-4
1.0E-14                  220                      1.5409985783013016E-4
1.0E-14                  221                      1.5443760613538928E-4
1.0E-14                  222                      1.547748000451046E-4
1.0E-14                  223                      1.5511143955927593E-4
1.0E-14                  224                      1.554475246779035E-4
1.0E-14                  225                      1.5578305540098718E-4
1.0E-14                  226                      1.5611803172852696E-4
1.0E-14                  227                      1.5645220364315164E-4
1.0E-14                  228                      1.5678558573948884E-4
1.0E-14                  229                      1.571183697939567E-4
1.0E-14                  230                      1.5745055580655503E-4
1.0E-14                  231                      1.577821437772839E-4
1.0E-14                  232                      1.5811313370614342E-4
1.0E-14                  233                      1.5844352559313333E-4
1.0E-14                  234                      1.5877331943825392E-4
1.0E-14                  235                      1.5910251524150506E-4
1.0E-14                  236                      1.5943111300288664E-4
1.0E-14                  237                      1.5975911272239895E-4
1.0E-14                  238                      1.6008651440004164E-4
1.0E-14                  239                      1.6041331803581506E-4
1.0E-14                  240                      1.607395236297189E-4
1.0E-14                  241                      1.610651311817532E-4
1.0E-14                  242                      1.6139014069191824E-4
1.0E-14                  243                      1.617145521602137E-4
1.0E-14                  244                      1.6203836558663977E-4
1.0E-14                  245                      1.623615809711964E-4
1.0E-14                  246                      1.626841983138835E-4
1.0E-14                  247                      1.6300651177219812E-4
1.0E-14                  248                      1.6332868732163742E-4
1.0E-14                  249                      1.6365033349292462E-4
1.0E-14                  250                      1.6397145028605986E-4
1.0E-14                  251                      1.6429203770104304E-4
1.0E-14                  252                      1.6461209573787392E-4
1.0E-14                  253                      1.6493162439655285E-4
1.0E-14                  254                      1.652506236770796E-4
1.0E-14                  255                      1.655690935794545E-4
1.0E-14                  256                      1.6588703410367722E-4
1.0E-14                  257                      1.6620444524974773E-4
1.0E-14                  258                      1.665213270176663E-4
1.0E-14                  259                      1.6683767940743269E-4
1.0E-14                  260                      1.6715350241904714E-4
1.0E-14                  261                      1.674687960525094E-4
1.0E-14                  262                      1.6778356030781963E-4
1.0E-14                  263                      1.6809779518497781E-4
