% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:38
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-10                  0                        1.1187236431436742E-13
1.0E-10                  1                        1.2945930553043189E-11
1.0E-10                  2                        -3.396865336817488E-10
1.0E-10                  3                        2.206699723499144E-9
1.0E-10                  4                        -8.116631174709364E-9
1.0E-10                  5                        -3.392689160185013E-8
1.0E-10                  6                        3.8021270810238835E-8
1.0E-10                  7                        4.1633951984984243E-7
1.0E-10                  8                        1.2916822201209886E-6
1.0E-10                  9                        2.780831402833407E-6
1.0E-10                  10                       4.937859845509334E-6
1.0E-10                  11                       7.749696975100396E-6
1.0E-10                  12                       1.1148924217764527E-5
1.0E-10                  13                       1.5072460894170326E-5
1.0E-10                  14                       1.9455181351532223E-5
1.0E-10                  15                       2.4247204364103358E-5
1.0E-10                  16                       2.9399740766912594E-5
1.0E-10                  17                       3.486245904699134E-5
1.0E-10                  18                       4.062164207548289E-5
1.0E-10                  19                       4.666229520341364E-5
1.0E-10                  20                       5.2956479907789045E-5
1.0E-10                  21                       5.94944356989047E-5
1.0E-10                  22                       6.626036946056447E-5
1.0E-10                  23                       7.323710223795639E-5
1.0E-10                  24                       8.041376877118082E-5
1.0E-10                  25                       8.77799052124214E-5
1.0E-10                  26                       9.532640337039835E-5
1.0E-10                  27                       1.0304103351513253E-4
1.0E-10                  28                       1.1091638295926354E-4
1.0E-10                  29                       1.1894362392403002E-4
1.0E-10                  30                       1.2711489527544138E-4
1.0E-10                  31                       1.3542692929277035E-4
1.0E-10                  32                       1.438749379484209E-4
1.0E-10                  33                       1.5245002877830831E-4
1.0E-10                  34                       1.6114907468658986E-4
1.0E-10                  35                       1.6996564852306094E-4
1.0E-10                  36                       1.7889287789683538E-4
1.0E-10                  37                       1.879302747173352E-4
1.0E-10                  38                       1.9707488450990961E-4
1.0E-10                  39                       2.0632224664209937E-4
1.0E-10                  40                       2.156695013068208E-4
1.0E-10                  41                       2.251126711135447E-4
1.0E-10                  42                       2.346471077331547E-4
