% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-12                  0                        1.120178373560245E-13
1.0E-12                  1                        2.9256037606449963E-12
1.0E-12                  2                        -2.0716745776160074E-10
1.0E-12                  3                        9.306849330989103E-10
1.0E-12                  4                        -1.5305505994700891E-9
1.0E-12                  5                        -1.851152047835508E-8
1.0E-12                  6                        -3.0414984008619586E-8
1.0E-12                  7                        -2.4196241353567455E-9
1.0E-12                  8                        9.320115888281966E-8
1.0E-12                  9                        2.541059339842247E-7
1.0E-12                  10                       5.13401429368048E-7
1.0E-12                  11                       8.596898016036618E-7
1.0E-12                  12                       1.2860802849645561E-6
1.0E-12                  13                       1.788558691068273E-6
1.0E-12                  14                       2.3470813442698774E-6
1.0E-12                  15                       2.9630549062875823E-6
1.0E-12                  16                       3.628013928027484E-6
1.0E-12                  17                       4.328642872448218E-6
1.0E-12                  18                       5.069562304966036E-6
1.0E-12                  19                       5.846834604160422E-6
1.0E-12                  20                       6.652421406434705E-6
1.0E-12                  21                       7.488264224374101E-6
1.0E-12                  22                       8.350832691806991E-6
1.0E-12                  23                       9.236891603808051E-6
1.0E-12                  24                       1.014931288684106E-5
1.0E-12                  25                       1.1081461185052278E-5
1.0E-12                  26                       1.203325809292149E-5
1.0E-12                  27                       1.30089634850699E-5
1.0E-12                  28                       1.4003741381509237E-5
1.0E-12                  29                       1.5014726127864206E-5
1.0E-12                  30                       1.6045317985170774E-5
1.0E-12                  31                       1.709442105155927E-5
1.0E-12                  32                       1.816079192908839E-5
1.0E-12                  33                       1.9244426731891696E-5
1.0E-12                  34                       2.0345270636178973E-5
1.0E-12                  35                       2.1463436416659237E-5
1.0E-12                  36                       2.259803277482317E-5
1.0E-12                  37                       2.3748374900787854E-5
1.0E-12                  38                       2.4916664710590715E-5
1.0E-12                  39                       2.6101880845888237E-5
1.0E-12                  40                       2.7302837215060737E-5
1.0E-12                  41                       2.8522667700935414E-5
1.0E-12                  42                       2.976134016456125E-5
1.0E-12                  43                       3.101625791611932E-5
1.0E-12                  44                       3.229143182692598E-5
1.0E-12                  45                       3.358945554956089E-5
1.0E-12                  46                       3.490732160662163E-5
1.0E-12                  47                       3.6246983557393426E-5
1.0E-12                  48                       3.761146440878255E-5
1.0E-12                  49                       3.8998257765818274E-5
1.0E-12                  50                       4.040766665735308E-5
1.0E-12                  51                       4.18424372403486E-5
1.0E-12                  52                       4.329996634630669E-5
1.0E-12                  53                       4.477886080273823E-5
1.0E-12                  54                       4.628014502423304E-5
1.0E-12                  55                       4.780125491975467E-5
1.0E-12                  56                       4.9337391724120845E-5
1.0E-12                  57                       5.088677291767498E-5
1.0E-12                  58                       5.244773208238388E-5
1.0E-12                  59                       5.4013903700109746E-5
1.0E-12                  60                       5.558647078043129E-5
1.0E-12                  61                       5.7161901700981464E-5
1.0E-12                  62                       5.873816647229826E-5
1.0E-12                  63                       6.031421634814587E-5
1.0E-12                  64                       6.189092806641245E-5
1.0E-12                  65                       6.346944515707338E-5
1.0E-12                  66                       6.504821023609614E-5
1.0E-12                  67                       6.6625619833556E-5
1.0E-12                  68                       6.820733928365058E-5
1.0E-12                  69                       6.976953516604217E-5
1.0E-12                  70                       7.1332224661773E-5
1.0E-12                  71                       7.289087109183128E-5
1.0E-12                  72                       7.443955776492693E-5
1.0E-12                  73                       7.598557059809525E-5
1.0E-12                  74                       7.752523742924226E-5
1.0E-12                  75                       7.905780813300587E-5
1.0E-12                  76                       8.05849775790951E-5
1.0E-12                  77                       8.210355705381408E-5
1.0E-12                  78                       8.361435964725347E-5
1.0E-12                  79                       8.5117846244913E-5
1.0E-12                  80                       8.661495552191819E-5
1.0E-12                  81                       8.810644788175808E-5
1.0E-12                  82                       8.959169641731995E-5
1.0E-12                  83                       9.107035893450285E-5
1.0E-12                  84                       9.254213094495339E-5
1.0E-12                  85                       9.400771177600795E-5
1.0E-12                  86                       9.546857768636015E-5
1.0E-12                  87                       9.69254384083649E-5
1.0E-12                  88                       9.837936460312805E-5
1.0E-12                  89                       9.982617844887803E-5
1.0E-12                  90                       1.0126581532635764E-4
1.0E-12                  91                       1.0269947169688457E-4
1.0E-12                  92                       1.0412854806371686E-4
1.0E-12                  93                       1.055531255073172E-4
1.0E-12                  94                       1.0697285172806521E-4
1.0E-12                  95                       1.0838688721604971E-4
1.0E-12                  96                       1.0979426886666146E-4
1.0E-12                  97                       1.1119489106393684E-4
1.0E-12                  98                       1.1258991190297575E-4
1.0E-12                  99                       1.1397959077030369E-4
1.0E-12                  100                      1.1536263160426817E-4
1.0E-12                  101                      1.1673762792315223E-4
1.0E-12                  102                      1.1810379509292339E-4
1.0E-12                  103                      1.19461929423768E-4
1.0E-12                  104                      1.2081173491350061E-4
1.0E-12                  105                      1.2214928559783293E-4
1.0E-12                  106                      1.234755434966247E-4
1.0E-12                  107                      1.247902569921884E-4
1.0E-12                  108                      1.260930940574092E-4
1.0E-12                  109                      1.2738340210889963E-4
1.0E-12                  110                      1.2865968064731514E-4
1.0E-12                  111                      1.2992268596247024E-4
1.0E-12                  112                      1.3117220508621638E-4
1.0E-12                  113                      1.3240719937517194E-4
1.0E-12                  114                      1.336287630716881E-4
1.0E-12                  115                      1.3483733308053972E-4
1.0E-12                  116                      1.36032703756497E-4
1.0E-12                  117                      1.3721254484778017E-4
1.0E-12                  118                      1.3837521345503158E-4
1.0E-12                  119                      1.3952226161502361E-4
1.0E-12                  120                      1.4065480736507604E-4
1.0E-12                  121                      1.417749164774181E-4
1.0E-12                  122                      1.4288116722273683E-4
1.0E-12                  123                      1.439738416340397E-4
1.0E-12                  124                      1.4505430700344376E-4
1.0E-12                  125                      1.4612176139817143E-4
1.0E-12                  126                      1.4717626080413488E-4
1.0E-12                  127                      1.482197563476435E-4
1.0E-12                  128                      1.4925121545010967E-4
1.0E-12                  129                      1.5027063811153338E-4
1.0E-12                  130                      1.5127867508771273E-4
1.0E-12                  131                      1.5227511542129183E-4
1.0E-12                  132                      1.5325988838729525E-4
1.0E-12                  133                      1.5423399561176055E-4
1.0E-12                  134                      1.5519746335811767E-4
1.0E-12                  135                      1.5614999046483345E-4
1.0E-12                  136                      1.5709263057934997E-4
1.0E-12                  137                      1.5802599470223617E-4
1.0E-12                  138                      1.5894945155816645E-4
1.0E-12                  139                      1.598654615208175E-4
1.0E-12                  140                      1.607779403129902E-4
1.0E-12                  141                      1.6168409176117035E-4
1.0E-12                  142                      1.6258391586535822E-4
1.0E-12                  143                      1.6347741262555344E-4
1.0E-12                  144                      1.6436458204175647E-4
1.0E-12                  145                      1.6524543770483674E-4
1.0E-12                  146                      1.6612020437213392E-4
1.0E-12                  147                      1.6698871132846238E-4
1.0E-12                  148                      1.678509585738225E-4
1.0E-12                  149                      1.6870694610821387E-4
1.0E-12                  150                      1.6955667393163675E-4
1.0E-12                  151                      1.7040014204409092E-4
1.0E-12                  152                      1.7124187167851754E-4
1.0E-12                  153                      1.7208044866940384E-4
1.0E-12                  154                      1.7291449935660783E-4
1.0E-12                  155                      1.7374402374012964E-4
1.0E-12                  156                      1.745690218199693E-4
1.0E-12                  157                      1.753894935961264E-4
1.0E-12                  158                      1.7620700518806016E-4
1.0E-12                  159                      1.7702299839636026E-4
1.0E-12                  160                      1.7783558737369926E-4
1.0E-12                  161                      1.7864477212007734E-4
1.0E-12                  162                      1.7945055263549455E-4
1.0E-12                  163                      1.8025292891995067E-4
1.0E-12                  164                      1.8105225146671446E-4
1.0E-12                  165                      1.8185237957678448E-4
1.0E-12                  166                      1.8265031885683077E-4
1.0E-12                  167                      1.8344606930685356E-4
1.0E-12                  168                      1.842396309268523E-4
1.0E-12                  169                      1.8503100371682725E-4
1.0E-12                  170                      1.858201876767785E-4
1.0E-12                  171                      1.866093516285083E-4
1.0E-12                  172                      1.873976963025587E-4
1.0E-12                  173                      1.881846512825214E-4
1.0E-12                  174                      1.8897021656839587E-4
1.0E-12                  175                      1.8975439216018251E-4
1.0E-12                  176                      1.905371780578811E-4
1.0E-12                  177                      1.9131935612702987E-4
1.0E-12                  178                      1.9210151204985908E-4
1.0E-12                  179                      1.9288280208944018E-4
1.0E-12                  180                      1.9366322624577353E-4
1.0E-12                  181                      1.9444278451885902E-4
1.0E-12                  182                      1.9522147690869665E-4
1.0E-12                  183                      1.9599983221715568E-4
1.0E-12                  184                      1.9678210018579667E-4
1.0E-12                  185                      1.975649066725406E-4
1.0E-12                  186                      1.9834825167738728E-4
1.0E-12                  187                      1.9913213520033658E-4
1.0E-12                  188                      1.9991655724138863E-4
1.0E-12                  189                      2.0070151780054383E-4
1.0E-12                  190                      2.0148701687780122E-4
1.0E-12                  191                      2.0227305447316195E-4
1.0E-12                  192                      2.0305963058662513E-4
1.0E-12                  193                      2.0384674521819107E-4
1.0E-12                  194                      2.046343983678599E-4
1.0E-12                  195                      2.054225900356315E-4
1.0E-12                  196                      2.0620927957791787E-4
1.0E-12                  197                      2.0699370237109546E-4
1.0E-12                  198                      2.0777799918335576E-4
1.0E-12                  199                      2.0856217001469847E-4
