% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-11                  0                        1.1201660112399372E-13
1.0E-11                  1                        3.670095918615797E-12
1.0E-11                  2                        -2.5530455923371977E-10
1.0E-11                  3                        1.136745422343687E-9
1.0E-11                  4                        -1.1831433232374633E-9
1.0E-11                  5                        -1.9424232878107877E-8
1.0E-11                  6                        -3.293976626557372E-8
1.0E-11                  7                        1.1571999789674175E-8
1.0E-11                  8                        1.489543193270017E-7
1.0E-11                  9                        4.013177412181619E-7
1.0E-11                  10                       8.066166472060662E-7
1.0E-11                  11                       1.355483964733627E-6
1.0E-11                  12                       2.0503337319250546E-6
1.0E-11                  13                       2.8963305262989727E-6
1.0E-11                  14                       3.878353377950925E-6
1.0E-11                  15                       4.991681424852592E-6
1.0E-11                  16                       6.238562901077435E-6
1.0E-11                  17                       7.605389116464709E-6
1.0E-11                  18                       9.087291173308275E-6
1.0E-11                  19                       1.0689833370347442E-5
1.0E-11                  20                       1.2402386351638669E-5
1.0E-11                  21                       1.421893075723096E-5
1.0E-11                  22                       1.614351137250448E-5
1.0E-11                  23                       1.817036555254317E-5
1.0E-11                  24                       2.029403918287327E-5
1.0E-11                  25                       2.2519540817292465E-5
1.0E-11                  26                       2.4844432495354113E-5
1.0E-11                  27                       2.726367471403533E-5
1.0E-11                  28                       2.9778641182004855E-5
1.0E-11                  29                       3.2388906557375056E-5
1.0E-11                  30                       3.509097129155082E-5
1.0E-11                  31                       3.788493243351867E-5
1.0E-11                  32                       4.076978714624421E-5
1.0E-11                  33                       4.3742966624021097E-5
1.0E-11                  34                       4.680547101421973E-5
1.0E-11                  35                       4.995936116149949E-5
1.0E-11                  36                       5.319933846526221E-5
1.0E-11                  37                       5.6523878812971736E-5
1.0E-11                  38                       5.993608281992733E-5
1.0E-11                  39                       6.343451587729175E-5
1.0E-11                  40                       6.701811376691611E-5
1.0E-11                  41                       7.068618133308576E-5
1.0E-11                  42                       7.443891676636347E-5
1.0E-11                  43                       7.827661784825412E-5
1.0E-11                  44                       8.219973774570302E-5
1.0E-11                  45                       8.620845176320893E-5
1.0E-11                  46                       9.030229410926426E-5
1.0E-11                  47                       9.44818364493927E-5
1.0E-11                  48                       9.87476844291789E-5
