% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:50
% Table:              TCE_reacted lg = 7 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-17                  0                        1.5857102941610042E-6
1.0E-17                  1                        1.5857103748516114E-6
1.0E-17                  2                        1.5857091149303974E-6
1.0E-17                  3                        1.5857158879684852E-6
1.0E-17                  4                        1.5858466863800428E-6
1.0E-17                  5                        1.586289564812243E-6
1.0E-17                  6                        1.5871847142014357E-6
1.0E-17                  7                        1.5885750243198915E-6
1.0E-17                  8                        1.5904442048785876E-6
1.0E-17                  9                        1.5927448735280751E-6
1.0E-17                  10                       1.5954196060816514E-6
1.0E-17                  11                       1.5984291695077825E-6
1.0E-17                  12                       1.6017347017572587E-6
1.0E-17                  13                       1.6053025464300296E-6
1.0E-17                  14                       1.6091049873045632E-6
1.0E-17                  15                       1.6131196723270765E-6
1.0E-17                  16                       1.6173286051936913E-6
1.0E-17                  17                       1.6217168291908315E-6
1.0E-17                  18                       1.626273239563276E-6
1.0E-17                  19                       1.6309886894547952E-6
1.0E-17                  20                       1.6358556208360844E-6
1.0E-17                  21                       1.6408676111403103E-6
1.0E-17                  22                       1.646018981131651E-6
1.0E-17                  23                       1.6513045876424177E-6
1.0E-17                  24                       1.6567197424920935E-6
1.0E-17                  25                       1.662258215514348E-6
1.0E-17                  26                       1.667918910550374E-6
1.0E-17                  27                       1.6736971859621689E-6
1.0E-17                  28                       1.6795905389751985E-6
1.0E-17                  29                       1.685595613428744E-6
1.0E-17                  30                       1.691707211790337E-6
1.0E-17                  31                       1.6979252257364704E-6
1.0E-17                  32                       1.704246227992537E-6
1.0E-17                  33                       1.7106688673899776E-6
1.0E-17                  34                       1.7171925438214788E-6
1.0E-17                  35                       1.7238161703861686E-6
1.0E-17                  36                       1.7305398903073724E-6
1.0E-17                  37                       1.7373635010030215E-6
1.0E-17                  38                       1.7442870435617608E-6
1.0E-17                  39                       1.751310414958635E-6
1.0E-17                  40                       1.758433387846163E-6
1.0E-17                  41                       1.7656550691421637E-6
1.0E-17                  42                       1.7729749225834584E-6
1.0E-17                  43                       1.7803908358864833E-6
1.0E-17                  44                       1.7879011511013567E-6
1.0E-17                  45                       1.7955040348092722E-6
1.0E-17                  46                       1.8031943403988112E-6
1.0E-17                  47                       1.8109708880402412E-6
1.0E-17                  48                       1.8188286939210645E-6
1.0E-17                  49                       1.8267624970160096E-6
1.0E-17                  50                       1.8347699871164368E-6
1.0E-17                  51                       1.8428437784083196E-6
1.0E-17                  52                       1.850980842655559E-6
1.0E-17                  53                       1.8591771001396769E-6
1.0E-17                  54                       1.8674250781586745E-6
1.0E-17                  55                       1.875724072967225E-6
1.0E-17                  56                       1.8840686766151922E-6
1.0E-17                  57                       1.8924563331013246E-6
1.0E-17                  58                       1.9008835905917023E-6
1.0E-17                  59                       1.9093476497965456E-6
1.0E-17                  60                       1.917846704775161E-6
1.0E-17                  61                       1.926379287684288E-6
1.0E-17                  62                       1.934944457420798E-6
1.0E-17                  63                       1.943541997866257E-6
1.0E-17                  64                       1.952172038201594E-6
1.0E-17                  65                       1.9608346930018756E-6
1.0E-17                  66                       1.9695299086590984E-6
1.0E-17                  67                       1.97826929717333E-6
1.0E-17                  68                       1.9870335648006443E-6
1.0E-17                  69                       1.9958267280343285E-6
1.0E-17                  70                       2.004648847274571E-6
1.0E-17                  71                       2.0135035065183622E-6
1.0E-17                  72                       2.022389096009632E-6
1.0E-17                  73                       2.031309112625451E-6
1.0E-17                  74                       2.040263955622812E-6
1.0E-17                  75                       2.049251913792476E-6
1.0E-17                  76                       2.0582718911109165E-6
1.0E-17                  77                       2.067323807553754E-6
1.0E-17                  78                       2.076407551953904E-6
1.0E-17                  79                       2.0855227549388623E-6
1.0E-17                  80                       2.094669004098976E-6
1.0E-17                  81                       2.103846461339616E-6
1.0E-17                  82                       2.1130549678549086E-6
1.0E-17                  83                       2.122293665502202E-6
1.0E-17                  84                       2.1315617072442828E-6
1.0E-17                  85                       2.1408585851756832E-6
1.0E-17                  86                       2.1501837233060437E-6
1.0E-17                  87                       2.1595364444774122E-6
1.0E-17                  88                       2.168915944263422E-6
1.0E-17                  89                       2.1783213581436125E-6
1.0E-17                  90                       2.1877518551724042E-6
1.0E-17                  91                       2.1972063512446983E-6
1.0E-17                  92                       2.2066836813553633E-6
1.0E-17                  93                       2.2161822845779117E-6
1.0E-17                  94                       2.2257004498919866E-6
1.0E-17                  95                       2.2352362504836518E-6
1.0E-17                  96                       2.244787234208334E-6
1.0E-17                  97                       2.2543511526213806E-6
1.0E-17                  98                       2.2639254370956235E-6
1.0E-17                  99                       2.2735078327140623E-6
1.0E-17                  100                      2.2830954859069265E-6
1.0E-17                  101                      2.2926854820233008E-6
1.0E-17                  102                      2.3022748327600513E-6
1.0E-17                  103                      2.3118603714203945E-6
1.0E-17                  104                      2.321439934030381E-6
1.0E-17                  105                      2.33101082346335E-6
1.0E-17                  106                      2.34057046390888E-6
1.0E-17                  107                      2.350116273006593E-6
1.0E-17                  108                      2.3596458533632853E-6
1.0E-17                  109                      2.3691559776459507E-6
1.0E-17                  110                      2.3786442342441476E-6
1.0E-17                  111                      2.388110723162787E-6
1.0E-17                  112                      2.3975499502640164E-6
1.0E-17                  113                      2.4069644844100185E-6
1.0E-17                  114                      2.4163496824618046E-6
1.0E-17                  115                      2.4257034105792526E-6
1.0E-17                  116                      2.435027127250424E-6
1.0E-17                  117                      2.444313979202188E-6
1.0E-17                  118                      2.453567083222562E-6
1.0E-17                  119                      2.4627834931573945E-6
1.0E-17                  120                      2.471961301253928E-6
1.0E-17                  121                      2.4811018736317216E-6
1.0E-17                  122                      2.4902011763319187E-6
1.0E-17                  123                      2.4992609967935855E-6
1.0E-17                  124                      2.5082800634421677E-6
1.0E-17                  125                      2.517257271913405E-6
1.0E-17                  126                      2.5261934015255235E-6
1.0E-17                  127                      2.5350857471495832E-6
1.0E-17                  128                      2.5439354770002585E-6
1.0E-17                  129                      2.5527425917328006E-6
1.0E-17                  130                      2.5615070913475956E-6
1.0E-17                  131                      2.5702289758444132E-6
1.0E-17                  132                      2.5789065698177726E-6
1.0E-17                  133                      2.587540894165165E-6
1.0E-17                  134                      2.5961320174628595E-6
1.0E-17                  135                      2.604679939710178E-6
1.0E-17                  136                      2.613184660907547E-6
1.0E-17                  137                      2.621645246972417E-6
1.0E-17                  138                      2.630062205916552E-6
1.0E-17                  139                      2.638435617711117E-6
1.0E-17                  140                      2.6467654823557332E-6
1.0E-17                  141                      2.655051799850048E-6
1.0E-17                  142                      2.663295724226023E-6
1.0E-17                  143                      2.671496711470805E-6
1.0E-17                  144                      2.6796546058125074E-6
1.0E-17                  145                      2.687769407250907E-6
1.0E-17                  146                      2.6958411157861184E-6
1.0E-17                  147                      2.7038725264518304E-6
1.0E-17                  148                      2.711862547039159E-6
1.0E-17                  149                      2.7198106469613676E-6
1.0E-17                  150                      2.727716826218876E-6
1.0E-17                  151                      2.7355810848116093E-6
1.0E-17                  152                      2.743406975494758E-6
1.0E-17                  153                      2.75119343074513E-6
1.0E-17                  154                      2.7589395582558324E-6
1.0E-17                  155                      2.7666453580272722E-6
1.0E-17                  156                      2.7743108300588937E-6
1.0E-17                  157                      2.781939581961665E-6
1.0E-17                  158                      2.789530897025658E-6
1.0E-17                  159                      2.797083620053028E-6
1.0E-17                  160                      2.804597751043991E-6
1.0E-17                  161                      2.8120732899982357E-6
1.0E-17                  162                      2.819513585382164E-6
1.0E-17                  163                      2.826918359428376E-6
1.0E-17                  164                      2.834286277500153E-6
1.0E-17                  165                      2.8416173395980835E-6
1.0E-17                  166                      2.8489115457212805E-6
1.0E-17                  167                      2.85617410456059E-6
1.0E-17                  168                      2.863405275211512E-6
1.0E-17                  169                      2.870602514097992E-6
1.0E-17                  170                      2.8777658212201525E-6
1.0E-17                  171                      2.8848951965784676E-6
1.0E-17                  172                      2.891990640172368E-6
1.0E-17                  173                      2.8990521520023556E-6
1.0E-17                  174                      2.9060797320681453E-6
1.0E-17                  175                      2.9130733803696694E-6
1.0E-17                  176                      2.920033096906996E-6
1.0E-17                  177                      2.9269649327552387E-6
1.0E-17                  178                      2.9338697329267513E-6
1.0E-17                  179                      2.940742730331037E-6
1.0E-17                  180                      2.947583924968522E-6
1.0E-17                  181                      2.9543933168388548E-6
1.0E-17                  182                      2.961170905941818E-6
1.0E-17                  183                      2.9679166922780216E-6
1.0E-17                  184                      2.9746306758471336E-6
1.0E-17                  185                      2.981312856648876E-6
1.0E-17                  186                      2.9879632346835745E-6
1.0E-17                  187                      2.9945888363354774E-6
1.0E-17                  188                      3.0011936853456555E-6
1.0E-17                  189                      3.0077697501839967E-6
1.0E-17                  190                      3.0143170308507584E-6
1.0E-17                  191                      3.0208355273463473E-6
1.0E-17                  192                      3.0273252396699637E-6
1.0E-17                  193                      3.0337861678226104E-6
1.0E-17                  194                      3.040218311803434E-6
1.0E-17                  195                      3.0466216716129894E-6
1.0E-17                  196                      3.0529962472507487E-6
1.0E-17                  197                      3.059347450489738E-6
1.0E-17                  198                      3.0656819703002712E-6
1.0E-17                  199                      3.0719906764658275E-6
1.0E-17                  200                      3.0782735689865017E-6
1.0E-17                  201                      3.0845306478626867E-6
1.0E-17                  202                      3.0907619130937593E-6
1.0E-17                  203                      3.0969673646803834E-6
1.0E-17                  204                      3.1031470026222203E-6
1.0E-17                  205                      3.1093008269189446E-6
1.0E-17                  206                      3.115428837571153E-6
1.0E-17                  207                      3.1215366746418735E-6
1.0E-17                  208                      3.127637764779531E-6
1.0E-17                  209                      3.1337172992518817E-6
1.0E-17                  210                      3.1397752780586955E-6
1.0E-17                  211                      3.145811701199945E-6
1.0E-17                  212                      3.1518265686756306E-6
1.0E-17                  213                      3.1578198804864025E-6
1.0E-17                  214                      3.163791636631285E-6
1.0E-17                  215                      3.1697418371111455E-6
1.0E-17                  216                      3.1756704819253063E-6
1.0E-17                  217                      3.1815775710742554E-6
1.0E-17                  218                      3.1874631045575183E-6
1.0E-17                  219                      3.1933270823754746E-6
1.0E-17                  220                      3.1991695045282734E-6
1.0E-17                  221                      3.2049903710153454E-6
1.0E-17                  222                      3.2107896818372056E-6
1.0E-17                  223                      3.2165674369934475E-6
1.0E-17                  224                      3.2223236364844777E-6
1.0E-17                  225                      3.2280582803097946E-6
1.0E-17                  226                      3.2337713684699675E-6
1.0E-17                  227                      3.23946456607261E-6
1.0E-17                  228                      3.245159563274635E-6
1.0E-17                  229                      3.2508353512727983E-6
1.0E-17                  230                      3.2564919300663136E-6
1.0E-17                  231                      3.2621292996555334E-6
1.0E-17                  232                      3.267747460040173E-6
1.0E-17                  233                      3.273346411220612E-6
1.0E-17                  234                      3.278926153196484E-6
1.0E-17                  235                      3.2844866859680743E-6
1.0E-17                  236                      3.290028009535003E-6
1.0E-17                  237                      3.2955501238978395E-6
1.0E-17                  238                      3.301053029056177E-6
1.0E-17                  239                      3.3065367250102463E-6
1.0E-17                  240                      3.312001211759627E-6
1.0E-17                  241                      3.317446489304793E-6
1.0E-17                  242                      3.32287255764542E-6
1.0E-17                  243                      3.328279416781697E-6
1.0E-17                  244                      3.3336670667134344E-6
1.0E-17                  245                      3.3390355074409034E-6
1.0E-17                  246                      3.3443847389639413E-6
1.0E-17                  247                      3.3497147612825075E-6
1.0E-17                  248                      3.35505109289448E-6
1.0E-17                  249                      3.360374140049259E-6
1.0E-17                  250                      3.365680717648786E-6
1.0E-17                  251                      3.370970825693006E-6
1.0E-17                  252                      3.3762444641820955E-6
1.0E-17                  253                      3.381501633116258E-6
1.0E-17                  254                      3.3867423324949916E-6
1.0E-17                  255                      3.3919665623185E-6
1.0E-17                  256                      3.3971743225870134E-6
1.0E-17                  257                      3.402365613300261E-6
1.0E-17                  258                      3.4075404344581473E-6
1.0E-17                  259                      3.4126987860609847E-6
1.0E-17                  260                      3.4178406681087186E-6
1.0E-17                  261                      3.422966080601024E-6
1.0E-17                  262                      3.428075023538619E-6
1.0E-17                  263                      3.4331674969206226E-6
1.0E-17                  264                      3.438243500747306E-6
1.0E-17                  265                      3.443303035019279E-6
1.0E-17                  266                      3.448346099735837E-6
1.0E-17                  267                      3.4533726948971833E-6
1.0E-17                  268                      3.458398158138302E-6
1.0E-17                  269                      3.463415566967357E-6
1.0E-17                  270                      3.4684186098973575E-6
1.0E-17                  271                      3.4734072869289402E-6
1.0E-17                  272                      3.478381598061414E-6
1.0E-17                  273                      3.4833415432953077E-6
1.0E-17                  274                      3.488287122630431E-6
1.0E-17                  275                      3.493218336066744E-6
1.0E-17                  276                      3.4981351836043816E-6
1.0E-17                  277                      3.5030376652429374E-6
1.0E-17                  278                      3.5079257809830214E-6
1.0E-17                  279                      3.512799530824471E-6
1.0E-17                  280                      3.517658914766852E-6
1.0E-17                  281                      3.52250393281068E-6
1.0E-17                  282                      3.527334584955616E-6
1.0E-17                  283                      3.53215087120166E-6
1.0E-17                  284                      3.5369527915493946E-6
1.0E-17                  285                      3.5417403459978442E-6
1.0E-17                  286                      3.5465135345480117E-6
1.0E-17                  287                      3.5512723571992194E-6
1.0E-17                  288                      3.5560304969132675E-6
1.0E-17                  289                      3.56078924767088E-6
1.0E-17                  290                      3.5655362132784748E-6
1.0E-17                  291                      3.5702713937357805E-6
1.0E-17                  292                      3.574994789042865E-6
1.0E-17                  293                      3.579706399199566E-6
1.0E-17                  294                      3.5844062242061675E-6
1.0E-17                  295                      3.5890942640629274E-6
1.0E-17                  296                      3.593770518769263E-6
1.0E-17                  297                      3.598434988325174E-6
1.0E-17                  298                      3.603087672731365E-6
1.0E-17                  299                      3.607728571987132E-6
1.0E-17                  300                      3.6123576860927725E-6
1.0E-17                  301                      3.6169750150482325E-6
1.0E-17                  302                      3.6215805588533766E-6
1.0E-17                  303                      3.626174317508557E-6
1.0E-17                  304                      3.6307562910134348E-6
1.0E-17                  305                      3.6353264793680644E-6
1.0E-17                  306                      3.63988488257292E-6
1.0E-17                  307                      3.644431500626931E-6
1.0E-17                  308                      3.6489663335312225E-6
1.0E-17                  309                      3.653489381285347E-6
1.0E-17                  310                      3.658000643888925E-6
1.0E-17                  311                      3.6625001213426883E-6
1.0E-17                  312                      3.666987813646163E-6
1.0E-17                  313                      3.671463720799294E-6
1.0E-17                  314                      3.675927842802489E-6
1.0E-17                  315                      3.680380179655395E-6
1.0E-17                  316                      3.684820731358012E-6
1.0E-17                  317                      3.6892494979105567E-6
1.0E-17                  318                      3.693666479312894E-6
1.0E-17                  319                      3.698071675565105E-6
1.0E-17                  320                      3.702465086667054E-6
1.0E-17                  321                      3.706846712618782E-6
1.0E-17                  322                      3.7112165534205463E-6
1.0E-17                  323                      3.7155746090719133E-6
1.0E-17                  324                      3.7199208795732217E-6
1.0E-17                  325                      3.7242553649243903E-6
1.0E-17                  326                      3.7285780651252835E-6
