% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:33
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-12                  134                      2.663952804741787E-6
1.0E-12                  135                      2.6729562065534965E-6
1.0E-12                  136                      2.68191401533397E-6
1.0E-12                  137                      2.6908263417409E-6
1.0E-12                  138                      2.699693071444422E-6
1.0E-12                  139                      2.708514855134778E-6
1.0E-12                  140                      2.7172927283952697E-6
1.0E-12                  141                      2.7260259517277737E-6
1.0E-12                  142                      2.734714525131531E-6
1.0E-12                  143                      2.743358448606989E-6
1.0E-12                  144                      2.7519577221543504E-6
1.0E-12                  145                      2.760512543931275E-6
1.0E-12                  146                      2.769026190947062E-6
1.0E-12                  147                      2.777496174138123E-6
1.0E-12                  148                      2.7859224935050612E-6
1.0E-12                  149                      2.794305149047009E-6
1.0E-12                  150                      2.8026441407647324E-6
1.0E-12                  151                      2.8109394686579194E-6
1.0E-12                  152                      2.8191954739106392E-6
1.0E-12                  153                      2.8274107986737425E-6
1.0E-12                  154                      2.8355841239904853E-6
1.0E-12                  155                      2.8437154498601493E-6
1.0E-12                  156                      2.851804776283812E-6
1.0E-12                  157                      2.859852103260653E-6
1.0E-12                  158                      2.8678603500824752E-6
1.0E-12                  159                      2.8758322043066352E-6
1.0E-12                  160                      2.883764150660147E-6
1.0E-12                  161                      2.8916561891426242E-6
1.0E-12                  162                      2.8995083197542364E-6
1.0E-12                  163                      2.9073205424951326E-6
1.0E-12                  164                      2.915093530675394E-6
1.0E-12                  165                      2.922834698156456E-6
1.0E-12                  166                      2.9305382925972105E-6
1.0E-12                  167                      2.9382043139975354E-6
1.0E-12                  168                      2.945832762357275E-6
1.0E-12                  169                      2.9534236376764698E-6
1.0E-12                  170                      2.9609769399554654E-6
1.0E-12                  171                      2.9684990330614656E-6
1.0E-12                  172                      2.9759875717374183E-6
