% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:50
% Table:              TCE_reacted lg = 1 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-11                  0                        1.5857102941668847E-6
1.0E-11                  1                        1.5857102984045808E-6
1.0E-11                  2                        1.585708891300527E-6
1.0E-11                  3                        1.5857150390346398E-6
1.0E-11                  4                        1.5858559333231586E-6
1.0E-11                  5                        1.5863504772811016E-6
1.0E-11                  6                        1.587378716878424E-6
1.0E-11                  7                        1.5890167013526097E-6
1.0E-11                  8                        1.5912736558750563E-6
1.0E-11                  9                        1.5941184650901693E-6
1.0E-11                  10                       1.5975018983878444E-6
1.0E-11                  11                       1.6013867660313742E-6
1.0E-11                  12                       1.6057343067652162E-6
1.0E-11                  13                       1.6105094416906058E-6
1.0E-11                  14                       1.615682834744965E-6
1.0E-11                  15                       1.62123090976452E-6
1.0E-11                  16                       1.62713473596977E-6
1.0E-11                  17                       1.633378484783562E-6
1.0E-11                  18                       1.639949415233278E-6
1.0E-11                  19                       1.6468370052273478E-6
1.0E-11                  20                       1.6540319918561316E-6
1.0E-11                  21                       1.6615262693604544E-6
1.0E-11                  22                       1.6693126516885443E-6
1.0E-11                  23                       1.6773826464985485E-6
1.0E-11                  24                       1.6857323245653095E-6
1.0E-11                  25                       1.694354501677553E-6
1.0E-11                  26                       1.70324754434224E-6
1.0E-11                  27                       1.7124026508867122E-6
1.0E-11                  28                       1.7218155487037788E-6
1.0E-11                  29                       1.7314828932506548E-6
1.0E-11                  30                       1.7413978676013696E-6
1.0E-11                  31                       1.75155948945422E-6
1.0E-11                  32                       1.7619639867471905E-6
1.0E-11                  33                       1.7726076402043674E-6
1.0E-11                  34                       1.7834899368205478E-6
1.0E-11                  35                       1.7946076561648813E-6
1.0E-11                  36                       1.8059593818786994E-6
1.0E-11                  37                       1.8175438981651991E-6
1.0E-11                  38                       1.8293586981665628E-6
1.0E-11                  39                       1.8414033421932661E-6
1.0E-11                  40                       1.8536763110906493E-6
1.0E-11                  41                       1.866176012588824E-6
1.0E-11                  42                       1.8789021828115147E-6
1.0E-11                  43                       1.891853368361594E-6
1.0E-11                  44                       1.9050288135486654E-6
1.0E-11                  45                       1.9184278541449347E-6
1.0E-11                  46                       1.932048789503119E-6
1.0E-11                  47                       1.94589095040948E-6
1.0E-11                  48                       1.9599528361065647E-6
1.0E-11                  49                       1.9742314889660186E-6
1.0E-11                  50                       1.9887258815709276E-6
1.0E-11                  51                       2.0034318072232593E-6
1.0E-11                  52                       2.018345462499644E-6
1.0E-11                  53                       2.0334638586963967E-6
1.0E-11                  54                       2.04877808862215E-6
1.0E-11                  55                       2.0642849709390946E-6
1.0E-11                  56                       2.079976921646509E-6
1.0E-11                  57                       2.0958419755109115E-6
1.0E-11                  58                       2.1118768283362503E-6
1.0E-11                  59                       2.1280672856383315E-6
1.0E-11                  60                       2.144404358462524E-6
1.0E-11                  61                       2.1608804158672446E-6
1.0E-11                  62                       2.1774771277259153E-6
1.0E-11                  63                       2.1941902796453994E-6
1.0E-11                  64                       2.211006689689106E-6
1.0E-11                  65                       2.227910748725016E-6
1.0E-11                  66                       2.2448987500666558E-6
1.0E-11                  67                       2.2619543762872655E-6
1.0E-11                  68                       2.2790699431586152E-6
1.0E-11                  69                       2.296238160398903E-6
1.0E-11                  70                       2.313444373597086E-6
1.0E-11                  71                       2.3306863821780704E-6
1.0E-11                  72                       2.3479547654846192E-6
1.0E-11                  73                       2.3652463318563904E-6
1.0E-11                  74                       2.382546824587928E-6
1.0E-11                  75                       2.399855906353464E-6
1.0E-11                  76                       2.41717209068157E-6
1.0E-11                  77                       2.4344916479273368E-6
1.0E-11                  78                       2.4518104847952787E-6
1.0E-11                  79                       2.4691250361574325E-6
1.0E-11                  80                       2.486432287576391E-6
1.0E-11                  81                       2.5037297447815426E-6
1.0E-11                  82                       2.521016530056368E-6
1.0E-11                  83                       2.5382887793577892E-6
1.0E-11                  84                       2.5555427566631997E-6
1.0E-11                  85                       2.5727766436909835E-6
1.0E-11                  86                       2.5899893720101997E-6
1.0E-11                  87                       2.607180124759818E-6
1.0E-11                  88                       2.624348111345936E-6
1.0E-11                  89                       2.6414926188931303E-6
1.0E-11                  90                       2.658613094409165E-6
1.0E-11                  91                       2.675709122377738E-6
1.0E-11                  92                       2.6927803654080426E-6
1.0E-11                  93                       2.709826525859267E-6
1.0E-11                  94                       2.7268473314581455E-6
1.0E-11                  95                       2.743842534549551E-6
1.0E-11                  96                       2.760811911599808E-6
1.0E-11                  97                       2.7777552599464385E-6
1.0E-11                  98                       2.794672392337786E-6
1.0E-11                  99                       2.8115631313107786E-6
1.0E-11                  100                      2.828427742991933E-6
1.0E-11                  101                      2.8452658122058686E-6
1.0E-11                  102                      2.8620762248519045E-6
1.0E-11                  103                      2.878858125513087E-6
1.0E-11                  104                      2.8956110244435514E-6
1.0E-11                  105                      2.912334700575051E-6
1.0E-11                  106                      2.9290290345929793E-6
1.0E-11                  107                      2.94569388418004E-6
1.0E-11                  108                      2.9623290292363685E-6
1.0E-11                  109                      2.978934175523427E-6
1.0E-11                  110                      2.9955089716990232E-6
1.0E-11                  111                      3.0120530086521867E-6
1.0E-11                  112                      3.0285657930301967E-6
1.0E-11                  113                      3.045046751595483E-6
1.0E-11                  114                      3.0614952385177736E-6
1.0E-11                  115                      3.0779105231045297E-6
1.0E-11                  116                      3.0942918082748716E-6
1.0E-11                  117                      3.1106382414505373E-6
1.0E-11                  118                      3.1269486207613533E-6
1.0E-11                  119                      3.1432219442483194E-6
1.0E-11                  120                      3.1594570418944307E-6
1.0E-11                  121                      3.175653371499803E-6
1.0E-11                  122                      3.191808576668488E-6
1.0E-11                  123                      3.2079224870062555E-6
1.0E-11                  124                      3.223993512819885E-6
1.0E-11                  125                      3.2400206010029485E-6
1.0E-11                  126                      3.2560032668481744E-6
1.0E-11                  127                      3.271940011429999E-6
1.0E-11                  128                      3.287830650908338E-6
1.0E-11                  129                      3.303674273933175E-6
1.0E-11                  130                      3.3194693655032645E-6
1.0E-11                  131                      3.335215885368414E-6
1.0E-11                  132                      3.350914013052473E-6
1.0E-11                  133                      3.366562575009372E-6
1.0E-11                  134                      3.382161029136588E-6
1.0E-11                  135                      3.3977100276045636E-6
1.0E-11                  136                      3.413208893584548E-6
1.0E-11                  137                      3.428655707086523E-6
