% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:50
% Table:              TCE_reacted lg = 0 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-10                  136                      5.3554663859063135E-6
1.0E-10                  137                      5.388296183386922E-6
1.0E-10                  138                      5.420881263032369E-6
1.0E-10                  139                      5.453206020236722E-6
1.0E-10                  140                      5.48525361073653E-6
1.0E-10                  141                      5.517005200823816E-6
1.0E-10                  142                      5.548447228205175E-6
1.0E-10                  143                      5.579564572698076E-6
1.0E-10                  144                      5.610339743382375E-6
1.0E-10                  145                      5.640755584741916E-6
1.0E-10                  146                      5.670795162519561E-6
1.0E-10                  147                      5.700442089682004E-6
1.0E-10                  148                      5.729680596379573E-6
1.0E-10                  149                      5.758495489412488E-6
1.0E-10                  150                      5.786872096197397E-6
1.0E-10                  151                      5.814796214033326E-6
1.0E-10                  152                      5.842254065933916E-6
1.0E-10                  153                      5.869228222085199E-6
1.0E-10                  154                      5.895705781860781E-6
1.0E-10                  155                      5.921680038386049E-6
1.0E-10                  156                      5.947142358973286E-6
1.0E-10                  157                      5.9720801245199235E-6
1.0E-10                  158                      5.996487690177225E-6
1.0E-10                  159                      6.020350394388011E-6
1.0E-10                  160                      6.043669378117371E-6
1.0E-10                  161                      6.066430027564331E-6
1.0E-10                  162                      6.088635438633989E-6
1.0E-10                  163                      6.110276626787348E-6
1.0E-10                  164                      6.1313551572953775E-6
1.0E-10                  165                      6.1518678284262025E-6
1.0E-10                  166                      6.171816322126994E-6
1.0E-10                  167                      6.191200991137371E-6
1.0E-10                  168                      6.210025956291298E-6
1.0E-10                  169                      6.228292306842355E-6
1.0E-10                  170                      6.246009384988779E-6
1.0E-10                  171                      6.2631766633751765E-6
1.0E-10                  172                      6.279809070301924E-6
1.0E-10                  173                      6.2959056841459455E-6
1.0E-10                  174                      6.311483241452443E-6
1.0E-10                  175                      6.326544117847804E-6
1.0E-10                  176                      6.341103470188024E-6
1.0E-10                  177                      6.3551690711519246E-6
1.0E-10                  178                      6.368751740812751E-6
1.0E-10                  179                      6.381866640671572E-6
1.0E-10                  180                      6.394517637686004E-6
1.0E-10                  181                      6.406729158468718E-6
1.0E-10                  182                      6.418498226173322E-6
1.0E-10                  183                      6.429852955885571E-6
1.0E-10                  184                      6.440790667694592E-6
1.0E-10                  185                      6.451336155200419E-6
1.0E-10                  186                      6.46149189708378E-6
1.0E-10                  187                      6.471276510939172E-6
1.0E-10                  188                      6.480698850344218E-6
1.0E-10                  189                      6.48977011068655E-6
1.0E-10                  190                      6.4985065846612006E-6
1.0E-10                  191                      6.50691103797944E-6
1.0E-10                  192                      6.515008061496635E-6
1.0E-10                  193                      6.52279378423988E-6
1.0E-10                  194                      6.53029366270603E-6
1.0E-10                  195                      6.537505575212102E-6
1.0E-10                  196                      6.544450437690846E-6
1.0E-10                  197                      6.551130769492957E-6
1.0E-10                  198                      6.55756140701579E-6
1.0E-10                  199                      6.563750135330816E-6
1.0E-10                  200                      6.569705133851263E-6
1.0E-10                  201                      6.575439878805104E-6
1.0E-10                  202                      6.580955545328282E-6
1.0E-10                  203                      6.586271560117351E-6
1.0E-10                  204                      6.5913842648163015E-6
1.0E-10                  205                      6.596312136712625E-6
1.0E-10                  206                      6.601053939181043E-6
1.0E-10                  207                      6.605624021778256E-6
1.0E-10                  208                      6.61002453160577E-6
1.0E-10                  209                      6.614265204374847E-6
1.0E-10                  210                      6.6183518570339704E-6
1.0E-10                  211                      6.62228944329433E-6
1.0E-10                  212                      6.626087612631614E-6
1.0E-10                  213                      6.629746591270327E-6
1.0E-10                  214                      6.633279584312925E-6
1.0E-10                  215                      6.636684022903364E-6
1.0E-10                  216                      6.639971851144091E-6
1.0E-10                  217                      6.643142516200173E-6
1.0E-10                  218                      6.646204985631134E-6
1.0E-10                  219                      6.649160940879584E-6
1.0E-10                  220                      6.652016251920982E-6
1.0E-10                  221                      6.654774961592302E-6
1.0E-10                  222                      6.65743980703297E-6
1.0E-10                  223                      6.660017244435284E-6
1.0E-10                  224                      6.662507130482788E-6
1.0E-10                  225                      6.664917676988655E-6
1.0E-10                  226                      6.667247426984875E-6
1.0E-10                  227                      6.669503594755523E-6
1.0E-10                  228                      6.671686014394411E-6
1.0E-10                  229                      6.673799999706463E-6
1.0E-10                  230                      6.675846792113439E-6
1.0E-10                  231                      6.677829761251371E-6
1.0E-10                  232                      6.6797516212849E-6
1.0E-10                  233                      6.681613795583288E-6
1.0E-10                  234                      6.683420494758076E-6
1.0E-10                  235                      6.685171453734058E-6
1.0E-10                  236                      6.686871692001075E-6
1.0E-10                  237                      6.688520413846322E-6
1.0E-10                  238                      6.690121918672564E-6
1.0E-10                  239                      6.691676221269946E-6
1.0E-10                  240                      6.6931864358085215E-6
1.0E-10                  241                      6.6946534532504E-6
1.0E-10                  242                      6.696079182641772E-6
1.0E-10                  243                      6.69746542676029E-6
1.0E-10                  244                      6.698812894906169E-6
1.0E-10                  245                      6.700124313640653E-6
1.0E-10                  246                      6.701399411907725E-6
1.0E-10                  247                      6.70264124706885E-6
1.0E-10                  248                      6.703849396447512E-6
1.0E-10                  249                      6.705026416498408E-6
1.0E-10                  250                      6.706172393367688E-6
1.0E-10                  251                      6.7072891523119866E-6
1.0E-10                  252                      6.708377328635098E-6
1.0E-10                  253                      6.7094380034169354E-6
1.0E-10                  254                      6.710472384441725E-6
1.0E-10                  255                      6.7114808094811615E-6
1.0E-10                  256                      6.712465068558045E-6
1.0E-10                  257                      6.713424925667557E-6
1.0E-10                  258                      6.714362277390138E-6
1.0E-10                  259                      6.715276902965664E-6
1.0E-10                  260                      6.716170352310689E-6
1.0E-10                  261                      6.7170427305338705E-6
1.0E-10                  262                      6.7178951290026555E-6
1.0E-10                  263                      6.718728005515693E-6
1.0E-10                  264                      6.719541981869758E-6
1.0E-10                  265                      6.720337885131702E-6
1.0E-10                  266                      6.721115864763102E-6
1.0E-10                  267                      6.721877125130508E-6
1.0E-10                  268                      6.722621558377217E-6
1.0E-10                  269                      6.7233512271665556E-6
1.0E-10                  270                      6.724065451551729E-6
1.0E-10                  271                      6.724764231532684E-6
1.0E-10                  272                      6.725426965144922E-6
1.0E-10                  273                      6.726062723462359E-6
1.0E-10                  274                      6.726698481779742E-6
1.0E-10                  275                      6.727334240097207E-6
1.0E-10                  276                      6.727934842910106E-6
1.0E-10                  277                      6.728527457879464E-6
1.0E-10                  278                      6.7291200728488495E-6
1.0E-10                  279                      6.7297016052909235E-6
1.0E-10                  280                      6.73022327961047E-6
1.0E-10                  281                      6.730744953930098E-6
1.0E-10                  282                      6.731266628249644E-6
1.0E-10                  283                      6.731788302569245E-6
1.0E-10                  284                      6.7323099768888184E-6
1.0E-10                  285                      6.732831651208392E-6
1.0E-10                  286                      6.7333533255279656E-6
1.0E-10                  287                      6.733824615431851E-6
1.0E-10                  288                      6.734286234002233E-6
1.0E-10                  289                      6.734747852572614E-6
1.0E-10                  290                      6.735209471143023E-6
1.0E-10                  291                      6.735671089713404E-6
1.0E-10                  292                      6.73613270828384E-6
1.0E-10                  293                      6.736594326854222E-6
1.0E-10                  294                      6.737029412535301E-6
1.0E-10                  295                      6.737440172484928E-6
1.0E-10                  296                      6.737850932434528E-6
1.0E-10                  297                      6.738261692384128E-6
1.0E-10                  298                      6.738672452333755E-6
1.0E-10                  299                      6.739083212283355E-6
1.0E-10                  300                      6.7394939722329546E-6
1.0E-10                  301                      6.739895859337767E-6
1.0E-10                  302                      6.740263217958748E-6
1.0E-10                  303                      6.740630576579728E-6
1.0E-10                  304                      6.740997935200709E-6
1.0E-10                  305                      6.7413652938216894E-6
1.0E-10                  306                      6.74173265244267E-6
1.0E-10                  307                      6.742100011063651E-6
1.0E-10                  308                      6.742467369684658E-6
1.0E-10                  309                      6.742801621090102E-6
1.0E-10                  310                      6.743131662156925E-6
1.0E-10                  311                      6.7434617032237755E-6
1.0E-10                  312                      6.743791744290626E-6
1.0E-10                  313                      6.744121785357422E-6
1.0E-10                  314                      6.744451826424245E-6
1.0E-10                  315                      6.744781867491095E-6
1.0E-10                  316                      6.745093488856228E-6
1.0E-10                  317                      6.745391209758006E-6
1.0E-10                  318                      6.745688930659757E-6
1.0E-10                  319                      6.745986651561536E-6
1.0E-10                  320                      6.746284372463314E-6
1.0E-10                  321                      6.746582093365065E-6
1.0E-10                  322                      6.746879814266871E-6
1.0E-10                  323                      6.747174752728708E-6
1.0E-10                  324                      6.7474596382917915E-6
1.0E-10                  325                      6.7477416141935125E-6
1.0E-10                  326                      6.748020680433979E-6
1.0E-10                  327                      6.748296837013056E-6
1.0E-10                  328                      6.748570083930851E-6
1.0E-10                  329                      6.748840421187284E-6
1.0E-10                  330                      6.749107848782462E-6
1.0E-10                  331                      6.74937236671625E-6
1.0E-10                  332                      6.74963397498873E-6
1.0E-10                  333                      6.749892673599847E-6
1.0E-10                  334                      6.75014846254971E-6
1.0E-10                  335                      6.750401341838237E-6
1.0E-10                  336                      6.750651311465428E-6
1.0E-10                  337                      6.750898371431257E-6
1.0E-10                  338                      6.7511418879926375E-6
1.0E-10                  339                      6.751381994605886E-6
1.0E-10                  340                      6.75161905712066E-6
1.0E-10                  341                      6.7518530755369586E-6
1.0E-10                  342                      6.752084049854783E-6
1.0E-10                  343                      6.752311980074105E-6
1.0E-10                  344                      6.752536866194925E-6
1.0E-10                  345                      6.752758708217243E-6
1.0E-10                  346                      6.752977506141087E-6
1.0E-10                  347                      6.7531932599664555E-6
1.0E-10                  348                      6.753405969693322E-6
1.0E-10                  349                      6.753615635321687E-6
1.0E-10                  350                      6.75382225685155E-6
1.0E-10                  351                      6.754025834282911E-6
1.0E-10                  352                      6.754226367615824E-6
