% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:50
% Table:              TCE_reacted lg = 4 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-14                  0                        1.5857102941609032E-6
1.0E-14                  1                        1.5857103746964903E-6
1.0E-14                  2                        1.5857091148275064E-6
1.0E-14                  3                        1.585715887050225E-6
1.0E-14                  4                        1.5858466928273959E-6
1.0E-14                  5                        1.5862896160438799E-6
1.0E-14                  6                        1.5871848857805222E-6
1.0E-14                  7                        1.5885754232124416E-6
1.0E-14                  8                        1.5904449621945655E-6
1.0E-14                  9                        1.592746136184435E-6
1.0E-14                  10                       1.5954215299359662E-6
1.0E-14                  11                       1.5984319138760886E-6
1.0E-14                  12                       1.6017384280582614E-6
1.0E-14                  13                       1.60530741679475E-6
1.0E-14                  14                       1.6091111640664292E-6
1.0E-14                  15                       1.6131273182443305E-6
1.0E-14                  16                       1.617337883601015E-6
1.0E-14                  17                       1.6217279040710013E-6
1.0E-14                  18                       1.6262862747589025E-6
1.0E-14                  19                       1.6310038490965004E-6
1.0E-14                  20                       1.6358730693173391E-6
1.0E-14                  21                       1.6408875134144957E-6
1.0E-14                  22                       1.6460415029074221E-6
1.0E-14                  23                       1.6513298954456269E-6
1.0E-14                  24                       1.6567480034385745E-6
1.0E-14                  25                       1.6622895967212525E-6
1.0E-14                  26                       1.6679535787794439E-6
1.0E-14                  27                       1.6737353073250015E-6
1.0E-14                  28                       1.679632279844927E-6
1.0E-14                  29                       1.6856411395429683E-6
1.0E-14                  30                       1.691756688459778E-6
1.0E-14                  31                       1.6979788184381537E-6
1.0E-14                  32                       1.704304101506731E-6
1.0E-14                  33                       1.7107311866594997E-6
1.0E-14                  34                       1.7172594735026161E-6
1.0E-14                  35                       1.7238878752311213E-6
1.0E-14                  36                       1.730616535333357E-6
1.0E-14                  37                       1.7374452513877552E-6
1.0E-14                  38                       1.7443740655217486E-6
1.0E-14                  39                       1.7514028752264824E-6
1.0E-14                  40                       1.7585314546392491E-6
1.0E-14                  41                       1.7657589124815002E-6
1.0E-14                  42                       1.7730847132332576E-6
1.0E-14                  43                       1.7805067467940492E-6
1.0E-14                  44                       1.78802335559878E-6
1.0E-14                  45                       1.7956327065735557E-6
1.0E-14                  46                       1.8033296511847161E-6
1.0E-14                  47                       1.8111130085192855E-6
1.0E-14                  48                       1.8189777901059426E-6
1.0E-14                  49                       1.8269187273822203E-6
1.0E-14                  50                       1.8349335051476225E-6
1.0E-14                  51                       1.8430147216341265E-6
1.0E-14                  52                       1.8511593401168046E-6
1.0E-14                  53                       1.8593632690454315E-6
1.0E-14                  54                       1.8676190092338712E-6
1.0E-14                  55                       1.875925853063651E-6
